readout,model_arm,checkpoint,text_arm,block_type,replicate,row_seed,mask_seed,mean_loss,row_loss_mean_unweighted,row_loss_sd_unweighted,n_rows,n_tokens_masked,n_subword_tokens,eval_time_sec
own_arm,view,chck_60M,view,changed,1,32518,295101,7.08604,7.07991,0.513637,300,9044,61772,4.9
own_arm,view,chck_60M,view,unchanged,1,33518,295101,5.908082,5.972456,0.965,300,9915,67469,5.9
own_arm,view,chck_60M,view,changed,2,32536,295102,7.117785,7.115167,0.510774,300,9006,61577,5.4
own_arm,view,chck_60M,view,unchanged,2,33536,295102,5.889381,5.955682,0.954229,300,9916,67423,6.0
own_arm,view,chck_60M,view,changed,3,32554,295103,7.133316,7.114416,0.590107,300,8951,61205,5.4
own_arm,view,chck_60M,view,unchanged,3,33554,295103,5.929418,5.999498,0.934273,300,9748,66350,5.8
own_arm,view,chck_80M,view,changed,1,32518,295101,6.349771,6.338982,0.648902,300,9044,61772,5.4
own_arm,view,chck_80M,view,unchanged,1,33518,295101,4.664414,4.750435,1.290582,300,9915,67469,5.6
own_arm,view,chck_80M,view,changed,2,32536,295102,6.399068,6.391325,0.656893,300,9006,61577,5.5
own_arm,view,chck_80M,view,unchanged,2,33536,295102,4.656872,4.744168,1.246211,300,9916,67423,5.7
own_arm,view,chck_80M,view,changed,3,32554,295103,6.444345,6.423615,0.673247,300,8951,61205,5.2
own_arm,view,chck_80M,view,unchanged,3,33554,295103,4.645871,4.739494,1.233406,300,9748,66350,5.5
own_arm,view,chck_100M,view,changed,1,32518,295101,6.141828,6.130634,0.657147,300,9044,61772,5.3
own_arm,view,chck_100M,view,unchanged,1,33518,295101,4.466606,4.55093,1.281854,300,9915,67469,5.6
own_arm,view,chck_100M,view,changed,2,32536,295102,6.191852,6.182461,0.663913,300,9006,61577,5.4
own_arm,view,chck_100M,view,unchanged,2,33536,295102,4.443995,4.531604,1.243136,300,9916,67423,5.7
own_arm,view,chck_100M,view,changed,3,32554,295103,6.241743,6.220558,0.676303,300,8951,61205,5.3
own_arm,view,chck_100M,view,unchanged,3,33554,295103,4.427386,4.520005,1.224884,300,9748,66350,5.8
own_arm,repeat,chck_60M,repeat,changed,1,32619,295101,7.000879,6.993592,0.553851,300,8684,59414,5.4
own_arm,repeat,chck_60M,repeat,unchanged,1,33619,295101,5.973195,6.019312,0.924274,300,9805,66669,5.8
own_arm,repeat,chck_60M,repeat,changed,2,32637,295102,6.986771,6.978061,0.540978,300,8697,59534,5.2
own_arm,repeat,chck_60M,repeat,unchanged,2,33637,295102,6.050336,6.11463,0.965596,300,9880,67214,5.6
own_arm,repeat,chck_60M,repeat,changed,3,32655,295103,7.048658,7.034976,0.540233,300,8643,59169,5.2
own_arm,repeat,chck_60M,repeat,unchanged,3,33655,295103,5.937373,5.998804,0.924215,300,9883,67224,5.6
own_arm,repeat,chck_80M,repeat,changed,1,32619,295101,6.823162,6.816666,0.546177,300,8684,59414,5.2
own_arm,repeat,chck_80M,repeat,unchanged,1,33619,295101,5.740235,5.790358,0.9529,300,9805,66669,5.8
own_arm,repeat,chck_80M,repeat,changed,2,32637,295102,6.812101,6.802882,0.544459,300,8697,59534,5.2
own_arm,repeat,chck_80M,repeat,unchanged,2,33637,295102,5.816074,5.884008,0.972846,300,9880,67214,5.7
own_arm,repeat,chck_80M,repeat,changed,3,32655,295103,6.870915,6.860968,0.526169,300,8643,59169,5.3
own_arm,repeat,chck_80M,repeat,unchanged,3,33655,295103,5.692635,5.757982,0.934144,300,9883,67224,5.6
own_arm,repeat,chck_100M,repeat,changed,1,32619,295101,6.763121,6.75676,0.558908,300,8684,59414,5.2
own_arm,repeat,chck_100M,repeat,unchanged,1,33619,295101,5.644666,5.697077,0.966631,300,9805,66669,5.6
own_arm,repeat,chck_100M,repeat,changed,2,32637,295102,6.765145,6.755728,0.545186,300,8697,59534,5.2
own_arm,repeat,chck_100M,repeat,unchanged,2,33637,295102,5.717618,5.786495,0.986682,300,9880,67214,5.6
own_arm,repeat,chck_100M,repeat,changed,3,32655,295103,6.821169,6.811595,0.531973,300,8643,59169,5.1
own_arm,repeat,chck_100M,repeat,unchanged,3,33655,295103,5.597339,5.664013,0.945588,300,9883,67224,5.7
own_arm,clean,chck_60M,clean,changed,1,32720,295101,5.423752,5.460071,0.844445,300,9204,62848,5.4
own_arm,clean,chck_60M,clean,unchanged,1,33720,295101,5.552579,5.630504,0.996288,300,9928,67530,5.8
own_arm,clean,chck_60M,clean,changed,2,32738,295102,5.510822,5.553984,0.904638,300,9133,62416,5.3
own_arm,clean,chck_60M,clean,unchanged,2,33738,295102,5.650464,5.721082,1.024955,300,9843,66989,5.7
own_arm,clean,chck_60M,clean,changed,3,32756,295103,5.479686,5.507443,0.89758,300,9300,63530,5.4
own_arm,clean,chck_60M,clean,unchanged,3,33756,295103,5.619958,5.690808,0.987083,300,9852,67054,5.7
own_arm,clean,chck_80M,clean,changed,1,32720,295101,4.322743,4.364275,1.086356,300,9204,62848,5.4
own_arm,clean,chck_80M,clean,unchanged,1,33720,295101,4.491358,4.580536,1.263858,300,9928,67530,5.7
own_arm,clean,chck_80M,clean,changed,2,32738,295102,4.407142,4.458829,1.115118,300,9133,62416,5.3
own_arm,clean,chck_80M,clean,unchanged,2,33738,295102,4.658116,4.742665,1.285306,300,9843,66989,5.7
own_arm,clean,chck_80M,clean,changed,3,32756,295103,4.361072,4.395413,1.146377,300,9300,63530,5.5
own_arm,clean,chck_80M,clean,unchanged,3,33756,295103,4.581919,4.664617,1.245896,300,9852,67054,5.8
own_arm,clean,chck_100M,clean,changed,1,32720,295101,4.171361,4.214356,1.093872,300,9204,62848,5.4
own_arm,clean,chck_100M,clean,unchanged,1,33720,295101,4.342486,4.431999,1.267148,300,9928,67530,5.7
own_arm,clean,chck_100M,clean,changed,2,32738,295102,4.259013,4.310609,1.117422,300,9133,62416,5.3
own_arm,clean,chck_100M,clean,unchanged,2,33738,295102,4.513973,4.597767,1.286561,300,9843,66989,5.6
own_arm,clean,chck_100M,clean,changed,3,32756,295103,4.211168,4.245053,1.150891,300,9300,63530,5.4
own_arm,clean,chck_100M,clean,unchanged,3,33756,295103,4.426393,4.509502,1.25357,300,9852,67054,5.7
clean_prior,clean,chck_80M,view,changed,1,32518,295101,6.558227,6.54887,0.67592,300,9044,61772,5.4
clean_prior,clean,chck_80M,repeat,changed,1,32619,295101,6.534879,6.523194,0.73588,300,8684,59414,5.2
clean_prior,clean,chck_80M,clean,changed,1,32720,295101,4.322743,4.364275,1.086356,300,9204,62848,5.4
clean_prior,clean,chck_80M,view,changed,2,32536,295102,6.615681,6.606286,0.710069,300,9006,61577,5.3
clean_prior,clean,chck_80M,repeat,changed,2,32637,295102,6.555988,6.539702,0.691353,300,8697,59534,5.2
clean_prior,clean,chck_80M,clean,changed,2,32738,295102,4.407142,4.458829,1.115118,300,9133,62416,5.4
clean_prior,clean,chck_80M,view,changed,3,32554,295103,6.670623,6.648673,0.725506,300,8951,61205,5.4
clean_prior,clean,chck_80M,repeat,changed,3,32655,295103,6.617534,6.599563,0.704667,300,8643,59169,5.3
clean_prior,clean,chck_80M,clean,changed,3,32756,295103,4.361072,4.395413,1.146377,300,9300,63530,5.6
clean_prior,clean,chck_100M,view,changed,1,32518,295101,6.427758,6.417927,0.699875,300,9044,61772,5.6
clean_prior,clean,chck_100M,repeat,changed,1,32619,295101,6.402736,6.391182,0.745851,300,8684,59414,5.5
clean_prior,clean,chck_100M,clean,changed,1,32720,295101,4.171361,4.214356,1.093872,300,9204,62848,5.6
clean_prior,clean,chck_100M,view,changed,2,32536,295102,6.482776,6.472663,0.72254,300,9006,61577,5.5
clean_prior,clean,chck_100M,repeat,changed,2,32637,295102,6.423758,6.406557,0.698072,300,8697,59534,5.4
clean_prior,clean,chck_100M,clean,changed,2,32738,295102,4.259013,4.310609,1.117422,300,9133,62416,5.6
clean_prior,clean,chck_100M,view,changed,3,32554,295103,6.541083,6.517602,0.736383,300,8951,61205,5.5
clean_prior,clean,chck_100M,repeat,changed,3,32655,295103,6.48523,6.467228,0.719954,300,8643,59169,5.3
clean_prior,clean,chck_100M,clean,changed,3,32756,295103,4.211168,4.245053,1.150891,300,9300,63530,5.7
