readout,model_arm,text_arm,block_type,replicate,rate_60_to_100,rate_80_to_100,loss_60M,loss_80M,loss_100M
own_arm,view,view,changed,1,0.944212,0.207943,7.08604,6.349771,6.141828
own_arm,view,view,changed,2,0.925933,0.207216,7.117785,6.399068,6.191852
own_arm,view,view,changed,3,0.891573,0.202602,7.133316,6.444345,6.241743
own_arm,view,view,unchanged,1,1.441476,0.197808,5.908082,4.664414,4.466606
own_arm,view,view,unchanged,2,1.445386,0.212877,5.889381,4.656872,4.443995
own_arm,view,view,unchanged,3,1.502032,0.218485,5.929418,4.645871,4.427386
own_arm,repeat,repeat,changed,1,0.237758,0.060041,7.000879,6.823162,6.763121
own_arm,repeat,repeat,changed,2,0.221626,0.046956,6.986771,6.812101,6.765145
own_arm,repeat,repeat,changed,3,0.227489,0.049746,7.048658,6.870915,6.821169
own_arm,repeat,repeat,unchanged,1,0.328529,0.095569,5.973195,5.740235,5.644666
own_arm,repeat,repeat,unchanged,2,0.332718,0.098456,6.050336,5.816074,5.717618
own_arm,repeat,repeat,unchanged,3,0.340034,0.095296,5.937373,5.692635,5.597339
own_arm,clean,clean,changed,1,1.252391,0.151382,5.423752,4.322743,4.171361
own_arm,clean,clean,changed,2,1.251809,0.148129,5.510822,4.407142,4.259013
own_arm,clean,clean,changed,3,1.268518,0.149904,5.479686,4.361072,4.211168
own_arm,clean,clean,unchanged,1,1.210093,0.148872,5.552579,4.491358,4.342486
own_arm,clean,clean,unchanged,2,1.136491,0.144143,5.650464,4.658116,4.513973
own_arm,clean,clean,unchanged,3,1.193565,0.155526,5.619958,4.581919,4.426393
clean_prior,clean,view,changed,1,,0.130469,,6.558227,6.427758
clean_prior,clean,view,changed,2,,0.132905,,6.615681,6.482776
clean_prior,clean,view,changed,3,,0.12954,,6.670623,6.541083
clean_prior,clean,repeat,changed,1,,0.132143,,6.534879,6.402736
clean_prior,clean,repeat,changed,2,,0.13223,,6.555988,6.423758
clean_prior,clean,repeat,changed,3,,0.132304,,6.617534,6.48523
clean_prior,clean,clean,changed,1,,0.151382,,4.322743,4.171361
clean_prior,clean,clean,changed,2,,0.148129,,4.407142,4.259013
clean_prior,clean,clean,changed,3,,0.149904,,4.361072,4.211168
