pair_id,family,target_word,ord_word_pos,scr_word_pos,nll_ord_s,nll_scr_s,nll_ord,nll_scr,I_f,source_effect_ord,source_effect_scr,order_effect_with_source,order_effect_without_source,copy_zone,lex_class,source_match_bin,source_decile_min,source_decile_max,counterpart_visible,complete_bpe_copy,contentlike,min_visible_gap,family_x_copy_zone
compact:frontier_consolidation_fwcompact_medium_050448,compact_vs_compact_scrambled,I,0,7,3.541869878768921,4.280970573425293,1.4689154624938965,4.610261917114258,-2.4022457599639893,-2.0729544162750244,0.32929134368896484,0.7391006946563721,3.1413464546203613,prefix_only,function,1_unique,5,5,True,True,False,5,compact_vs_compact_scrambled/prefix_only
compact:frontier_consolidation_fwcompact_medium_050448,compact_vs_compact_scrambled,from,5,6,3.8725292682647705,8.642903327941895,3.34938907623291,10.064791679382324,-1.94502854347229,-0.5231401920318604,1.4218883514404297,4.770374059677124,6.715402603149414,absent,function,0,,,False,False,False,,compact_vs_compact_scrambled/absent
compact:frontier_consolidation_fwcompact_medium_050448,compact_vs_compact_scrambled,my,6,0,0.010280747897922993,10.29167652130127,1.482319712638855,10.222020149230957,1.5416953368112445,1.472038964740932,-0.0696563720703125,10.281395773403347,8.739700436592102,tail_only,function,1_unique,8,8,True,True,False,8,compact_vs_compact_scrambled/tail_only
compact:frontier_consolidation_fwcompact_medium_050448,compact_vs_compact_scrambled,require,1,1,0.7433542013168335,12.04937744140625,7.179778099060059,9.159857749938965,9.32594358921051,6.436423897743225,-2.889519691467285,11.306023240089417,1.9800796508789062,tail_only,content,1_unique,6,6,True,True,True,5,compact_vs_compact_scrambled/tail_only
compact:frontier_consolidation_fwcompact_medium_050448,compact_vs_compact_scrambled,drawing,3,2,0.037788912653923035,12.720956802368164,8.955320358276367,12.413764953613281,9.224723294377327,8.917531445622444,-0.3071918487548828,12.683167889714241,3.458444595336914,prefix_only,content,1_unique,4,4,True,True,True,10,compact_vs_compact_scrambled/prefix_only
compact:frontier_consolidation_fwcompact_medium_025568,compact_vs_compact_scrambled,the,9,9,0.0033906372264027596,9.066024780273438,0.4185235798358917,7.022444248199463,2.4587134746834636,0.41513294260948896,-2.0435805320739746,9.062634143047035,6.603920668363571,both_prefix_tail,function,2_3,1,8,True,True,False,31,compact_vs_compact_scrambled/both_prefix_tail
compact:frontier_consolidation_fwcompact_medium_025568,compact_vs_compact_scrambled,Chikungunya,5,5,0.0463252617046237,0.39172342866659166,6.5712028503417965,7.764843559265136,-0.8482425419613719,6.524877588637173,7.3731201305985445,0.34539816696196796,1.1936407089233398,tail_only,capitalized_content,1_unique,9,9,True,False,True,11,compact_vs_compact_scrambled/tail_only
compact:frontier_consolidation_fwcompact_medium_025568,compact_vs_compact_scrambled,are,6,10,0.6521641612052917,8.095379829406738,1.1197950839996338,9.65089225769043,-1.0878815054893494,0.46763092279434204,1.5555124282836914,7.4432156682014465,8.531097173690796,absent,function,0,,,False,False,False,,compact_vs_compact_scrambled/absent
compact:frontier_consolidation_fwcompact_medium_025568,compact_vs_compact_scrambled,Asin,0,12,1.6006240537390113,0.7849593311548233,8.447731494903564,5.852383613586426,1.7796831587329507,6.847107441164553,5.0674242824316025,-0.815664722584188,-2.5953478813171387,prefix_only,capitalized_content,1_unique,0,0,True,True,True,39,compact_vs_compact_scrambled/prefix_only
compact:frontier_consolidation_fwcompact_medium_025568,compact_vs_compact_scrambled,stated,1,4,5.075864791870117,9.87995433807373,14.489547729492188,12.088418960571289,7.205218315124512,9.41368293762207,2.2084646224975586,4.804089546203613,-2.4011287689208984,absent,content,0,,,False,False,True,,compact_vs_compact_scrambled/absent
