contrast,n_rows,mean_delta_loss,median_delta_loss,se_delta_loss
RminusC,6992,0.10741466047064864,0.0967401762803396,0.0019946917921662356
VminusC,6992,0.09940497820439372,0.09015964468320203,0.001982445353292923
HVminusC,6992,0.07060706043068225,0.06330221891403187,0.00194484473642389
HMminusC,6992,0.09284959763300396,0.08595037460327154,0.001964471479201677
HVminusV,6992,-0.028797917773711452,-0.024149656295776256,0.0017311928490233671
VminusHV,6992,0.028797917773711452,0.024149656295776256,0.0017311928490233671
HMminusHV,6992,0.022242537202321715,0.020047207673390743,0.0016898075474417727
HVminusHM,6992,-0.022242537202321715,-0.020047207673390743,0.0016898075474417727
HMminusV,6992,-0.006555380571389738,-0.004137595494588364,0.0016508622669776567
HMminusR,6992,-0.014565062837644666,-0.012191494305928585,0.0016599460725480462
