contrast,n_min,delta_loss,loss_a,loss_b
RminusC,6992,0.10741466047064918,2.617623100743127,2.510208440272478
VminusC,6992,0.09940497820439376,2.609613418476872,2.510208440272478
HVminusC,6992,0.07060706043068254,2.5808155007031606,2.510208440272478
HMminusC,6992,0.09284959763300416,2.603058037905482,2.510208440272478
HVminusV,6992,-0.028797917773711212,2.5808155007031606,2.609613418476872
VminusHV,6992,0.028797917773711212,2.609613418476872,2.5808155007031606
HMminusHV,6992,0.02224253720232161,2.603058037905482,2.5808155007031606
HVminusHM,6992,-0.02224253720232161,2.5808155007031606,2.603058037905482
HMminusV,6992,-0.006555380571389602,2.603058037905482,2.609613418476872
HMminusR,6992,-0.014565062837645026,2.603058037905482,2.617623100743127
