ContextDiff,n,lost_correct,gained_correct,net_correct_gain_b_minus_a,added_stable_failure,removed_stable_failure,net_stable_failure_b_minus_a,lost_frac,gain_frac
antonym,3374,276,278,2,293,246,47,0.08180201541197392,0.08239478363959692
variable swap,2564,155,131,-24,145,122,23,0.060452418096723866,0.051092043681747266
negation,190,26,9,-17,27,9,18,0.1368421052631579,0.04736842105263158
other,490,42,51,9,38,50,-12,0.08571428571428572,0.10408163265306122
game,20,5,2,-3,5,1,4,0.25,0.1
number,80,7,8,1,8,11,-3,0.0875,0.1
variable_swap,30,4,0,-4,2,0,2,0.13333333333333333,0.0
active-passive,30,2,3,1,1,0,1,0.06666666666666667,0.1
material,840,58,80,22,94,94,0,0.06904761904761905,0.09523809523809523
