window,column,n_items,ref_gain,ref_loss,ref_net,ref_net_pct,ref_churn_pct,other_gain,other_loss,other_net,other_net_pct,other_churn_pct,same_gain,same_loss,same_signed_transition_on_ref_changed,opposite_signed_transition_on_ref_changed,other_zero_on_ref_changed,sign_agreement_on_ref_changed,opposition_on_ref_changed,other_zero_on_ref_changed_fraction,signed_transition_cosine,gain_jaccard,loss_jaccard,other_label,reference_label,reference_window,other_window
rise,ALL,170722,4443,4501,-58,-0.03397336019962278,5.238926441817692,4844,4458,386,0.22609856960438607,5.448624078911915,163,153,316,370,8258,0.0353309481216458,0.04136851520572451,0.9233005366726297,-0.005920245235520622,0.017864971503726436,0.017374517374517374,scale1p25_seed43022_dense,scale1p75_seed43022_reference,chck_82M->chck_84M,chck_84M->chck_86M
rise,BLiMP,59875,1015,1154,-139,-0.2321503131524008,3.622546972860125,1164,929,235,0.3924843423799582,3.495615866388309,34,28,62,92,2015,0.02858460119870908,0.04241585984324574,0.9289995389580452,-0.014080136482015141,0.015850815850815853,0.013625304136253041,scale1p25_seed43022_dense,scale1p75_seed43022_reference,chck_82M->chck_84M,chck_84M->chck_86M
rise,Supplement,5218,51,61,-10,-0.19164430816404754,2.146416251437332,72,47,25,0.4791107704101188,2.2805672671521657,2,2,4,3,105,0.03571428571428571,0.026785714285714284,0.9375,0.008661986608440463,0.01652892561983471,0.018867924528301886,scale1p25_seed43022_dense,scale1p75_seed43022_reference,chck_82M->chck_84M,chck_84M->chck_86M
rise,EWoK,7618,237,240,-3,-0.03938041480703597,6.261485954318719,203,244,-41,-0.5381990023628249,5.86768180624836,10,14,24,26,427,0.050314465408805034,0.05450733752620545,0.8951781970649895,-0.004331287824256971,0.023255813953488372,0.029787234042553193,scale1p25_seed43022_dense,scale1p75_seed43022_reference,chck_82M->chck_84M,chck_84M->chck_86M
rise,Entity,6780,134,123,11,0.16224188790560473,3.7905604719764017,178,142,36,0.5309734513274336,4.71976401179941,3,3,6,16,235,0.023346303501945526,0.0622568093385214,0.914396887159533,-0.034870522040729414,0.009708737864077669,0.011450381679389313,scale1p25_seed43022_dense,scale1p75_seed43022_reference,chck_82M->chck_84M,chck_84M->chck_86M
rise,COMPS,91028,3001,2919,82,0.09008217251834601,6.503493430592784,3224,3093,131,0.14391176341345518,6.939622973151119,114,106,220,233,5467,0.037162162162162164,0.03935810810810811,0.9234797297297297,-0.0021258227991953617,0.018654884634266077,0.017947849644429394,scale1p25_seed43022_dense,scale1p75_seed43022_reference,chck_82M->chck_84M,chck_84M->chck_86M
rise,GlobalPIQA,203,5,4,1,0.49261083743842365,4.433497536945813,3,3,0,0.0,2.955665024630542,0,0,0,0,9,0.0,0.0,1.0,0.0,0.0,0.0,scale1p25_seed43022_dense,scale1p75_seed43022_reference,chck_82M->chck_84M,chck_84M->chck_86M
fall,ALL,170722,4225,4049,176,0.10309157577816568,4.846475556753084,3323,3105,218,0.12769297454340975,3.7651855062616417,109,108,217,248,7809,0.02622673434856176,0.029973410684070584,0.9437998549673676,-0.004250754287191483,0.014652507057400187,0.01532784558614817,scale1p25_seed43022_dense,scale1p75_seed43022_reference,chck_84M->chck_86M,chck_86M->chck_88M
fall,BLiMP,59875,986,859,127,0.21210855949895616,3.0814196242171192,751,669,82,0.1369519832985386,2.3716075156576197,33,16,49,42,1754,0.026558265582655827,0.022764227642276424,0.9506775067750678,0.004324696975679078,0.01936619718309859,0.010582010582010581,scale1p25_seed43022_dense,scale1p75_seed43022_reference,chck_84M->chck_86M,chck_86M->chck_88M
fall,Supplement,5218,64,47,17,0.32579532387888077,2.1272518206209274,36,44,-8,-0.15331544653123802,1.5331544653123803,4,2,6,3,102,0.05405405405405406,0.02702702702702703,0.918918918918919,0.03183572699835066,0.041666666666666664,0.02247191011235955,scale1p25_seed43022_dense,scale1p75_seed43022_reference,chck_84M->chck_86M,chck_86M->chck_88M
fall,EWoK,7618,234,206,28,0.36755053819900235,5.7757941716986085,140,150,-10,-0.13126804935678654,3.8067734313468105,1,3,4,15,421,0.00909090909090909,0.03409090909090909,0.9568181818181818,-0.030794088102571983,0.002680965147453083,0.0084985835694051,scale1p25_seed43022_dense,scale1p75_seed43022_reference,chck_84M->chck_86M,chck_86M->chck_88M
fall,Entity,6780,119,109,10,0.14749262536873156,3.3628318584070795,97,101,-4,-0.058997050147492625,2.920353982300885,6,3,9,6,213,0.039473684210526314,0.02631578947368421,0.9342105263157895,0.014119562368122625,0.02857142857142857,0.014492753623188406,scale1p25_seed43022_dense,scale1p75_seed43022_reference,chck_84M->chck_86M,chck_86M->chck_88M
fall,COMPS,91028,2820,2822,-2,-0.0021971261589840488,6.198092894494002,2297,2136,161,0.17686865579821595,4.869930131388144,65,83,148,182,5312,0.02623183268344559,0.03225806451612903,0.9415101028004254,-0.0067985063962439024,0.012866191607284245,0.017025641025641025,scale1p25_seed43022_dense,scale1p75_seed43022_reference,chck_84M->chck_86M,chck_86M->chck_88M
fall,GlobalPIQA,203,2,6,-4,-1.9704433497536946,3.9408866995073892,2,5,-3,-1.477832512315271,3.4482758620689653,0,1,1,0,7,0.125,0.0,0.875,0.13363062095621217,0.0,0.1,scale1p25_seed43022_dense,scale1p75_seed43022_reference,chck_84M->chck_86M,chck_86M->chck_88M
