dose_name,dose_label,dose,rho,family,window,n_checkpoints,V_minus_R_mean,median,min,max,stdev,positive_rows,negative_rows,entity_contribution_to_cheap6,entity_contribution_to_cheap5,effect_per_rho,effect_per_dose_multiple,ratio_vs_1x_entity_effect,dose_ratio_vs_1x,rho_ratio_vs_1x
dose1,1x,1.0,0.042352,Entity,common_10M_80M,8,0.5587499999999999,0.8399999999999981,-2.780000000000001,3.75,2.018283836049118,5,3,0.09312499999999997,0.11174999999999997,13.193001511144688,0.5587499999999999,1.0,1.0,1.0
dose1p82,1.82x,1.8209293539856442,0.07712,Entity,common_10M_80M,8,1.0662499999999997,1.1400000000000006,-0.35999999999999943,2.9499999999999993,1.055758867220297,7,1,0.17770833333333327,0.21324999999999994,13.825855809128628,0.5855526452282156,1.9082774049217002,1.8209293539856442,1.820929353985644
dose2p64,2.64x/MAX,2.641480921798262,0.111872,Entity,common_10M_80M,8,2.062499999999999,2.019999999999998,-1.8100000000000023,6.5,2.673690600756084,6,2,0.34374999999999983,0.4124999999999998,18.436248569794042,0.7808119994279172,3.6912751677852342,2.641480921798262,2.641480921798262
