dose_name,dose_label,window,n,mean_V_minus_R_EWoK,median_V_minus_R_EWoK,min_V_minus_R_EWoK,max_V_minus_R_EWoK,mean_view_EWoK,mean_repeat_EWoK,mean_abs_view_deviation_from_50,mean_abs_repeat_deviation_from_50,fraction_pairs_both_within_49_51
dose1,1x,common_10M_80M,8,-0.8825000000000012,-0.4800000000000004,-3.690000000000005,1.269999999999996,49.3825,50.265,1.169999999999999,0.6875,0.25
dose1,1x,available_10M_100M,10,-0.8730000000000011,-0.8350000000000009,-3.690000000000005,1.269999999999996,49.567,50.44,0.9969999999999992,0.7780000000000001,0.2
dose1p82,1.82x,common_10M_80M,8,-1.165,-1.4000000000000021,-2.8200000000000003,1.3500000000000014,48.7875,49.9525,1.4649999999999999,0.6849999999999996,0.125
dose1p82,1.82x,available_10M_100M,10,-1.1789999999999992,-1.3049999999999997,-2.8200000000000003,1.3500000000000014,48.829,50.007999999999996,1.3729999999999998,0.5939999999999991,0.2
dose2p64,2.64x/MAX,common_10M_80M,8,-0.6062499999999993,-0.3149999999999977,-3.210000000000001,0.8399999999999963,49.6525,50.25875,0.6100000000000012,0.7612499999999986,0.75
dose2p64,2.64x/MAX,available_10M_100M,10,-0.41099999999999925,-0.10999999999999588,-3.210000000000001,0.8399999999999963,49.782,50.193,0.5480000000000012,0.622999999999999,0.8
