dose_name,dose_label,dose,rho,arm,data_arm,checkpoint,words,EWoK,EWoK_minus_50,abs_EWoK_minus_50,source_type,per_target
dose1,1x,1.0,0.042352,dose1_repeat,repeat,chck_10M,10000000,48.81,-1.1899999999999977,1.1899999999999977,seed43022_csv,experiments/archive/frontier_consolidation/data/full_deberta_seed_ladder_stable_eval/eval/per_target/ladder_seed43022_repeat_chck_10M.json
dose1,1x,1.0,0.042352,dose1_repeat,repeat,chck_20M,20000000,50.78,0.7800000000000011,0.7800000000000011,seed43022_csv,experiments/archive/frontier_consolidation/data/full_deberta_seed_ladder_stable_eval/eval/per_target/ladder_seed43022_repeat_chck_20M.json
dose1,1x,1.0,0.042352,dose1_repeat,repeat,chck_30M,30000000,50.62,0.6199999999999974,0.6199999999999974,seed43022_csv,experiments/archive/frontier_consolidation/data/full_deberta_seed_ladder_stable_eval/eval/per_target/ladder_seed43022_repeat_chck_30M.json
dose1,1x,1.0,0.042352,dose1_repeat,repeat,chck_40M,40000000,51.92,1.9200000000000017,1.9200000000000017,seed43022_csv,experiments/archive/frontier_consolidation/data/full_deberta_seed_ladder_stable_eval/eval/per_target/ladder_seed43022_repeat_chck_40M.json
dose1,1x,1.0,0.042352,dose1_repeat,repeat,chck_50M,50000000,50.09,0.09000000000000341,0.09000000000000341,seed43022_csv,experiments/archive/frontier_consolidation/data/full_deberta_seed_ladder_stable_eval/eval/per_target/ladder_seed43022_repeat_chck_50M.json
dose1,1x,1.0,0.042352,dose1_repeat,repeat,chck_60M,60000000,49.76,-0.240000000000002,0.240000000000002,seed43022_csv,experiments/archive/frontier_consolidation/data/full_deberta_seed_ladder_stable_eval/eval/per_target/ladder_seed43022_repeat_chck_60M.json
dose1,1x,1.0,0.042352,dose1_repeat,repeat,chck_70M,70000000,50.4,0.3999999999999986,0.3999999999999986,seed43022_csv,experiments/archive/frontier_consolidation/data/full_deberta_seed_ladder_stable_eval/eval/per_target/ladder_seed43022_repeat_chck_70M.json
dose1,1x,1.0,0.042352,dose1_repeat,repeat,chck_80M,80000000,49.74,-0.259999999999998,0.259999999999998,seed43022_csv,experiments/archive/frontier_consolidation/data/architecture_interaction_selected_panel_final/full_repeat/chck_80M/eval/per_target/arch_full_repeat_chck_80M.json
dose1,1x,1.0,0.042352,dose1_repeat,repeat,chck_90M,90000000,51.03,1.0300000000000011,1.0300000000000011,seed43022_csv,experiments/archive/frontier_consolidation/data/full_deberta_seed_ladder_stable_eval/eval/per_target/ladder_seed43022_repeat_chck_90M.json
dose1,1x,1.0,0.042352,dose1_repeat,repeat,chck_100M,100000000,51.25,1.25,1.25,seed43022_csv,experiments/archive/frontier_consolidation/data/architecture_interaction_selected_panel_final/full_repeat/chck_100M/eval/per_target/arch_full_repeat_chck_100M.json
dose1,1x,1.0,0.042352,dose1_view,view,chck_10M,10000000,48.88,-1.1199999999999974,1.1199999999999974,seed43022_csv,experiments/archive/frontier_consolidation/data/full_deberta_seed_ladder_stable_eval/eval/per_target/ladder_seed43022_compact_chck_10M.json
dose1,1x,1.0,0.042352,dose1_view,view,chck_20M,20000000,50.73,0.7299999999999969,0.7299999999999969,seed43022_csv,experiments/archive/frontier_consolidation/data/legal20m_treatment_effect_eval/per_target/complianttok_reinvest_seed43022_20M.json
dose1,1x,1.0,0.042352,dose1_view,view,chck_30M,30000000,48.43,-1.5700000000000003,1.5700000000000003,seed43022_csv,experiments/archive/frontier_consolidation/data/full_deberta_seed_ladder_stable_eval/eval/per_target/ladder_seed43022_compact_chck_30M.json
dose1,1x,1.0,0.042352,dose1_view,view,chck_40M,40000000,48.23,-1.7700000000000031,1.7700000000000031,seed43022_csv,experiments/archive/frontier_consolidation/data/full_deberta_seed_ladder_stable_eval/eval/per_target/ladder_seed43022_compact_chck_40M.json
dose1,1x,1.0,0.042352,dose1_view,view,chck_50M,50000000,48.46,-1.5399999999999991,1.5399999999999991,seed43022_csv,experiments/archive/frontier_consolidation/data/full_deberta_seed_ladder_stable_eval/eval/per_target/ladder_seed43022_compact_chck_50M.json
dose1,1x,1.0,0.042352,dose1_view,view,chck_60M,60000000,48.85,-1.1499999999999986,1.1499999999999986,seed43022_csv,experiments/archive/frontier_consolidation/data/full_deberta_seed_ladder_stable_eval/eval/per_target/ladder_seed43022_compact_chck_60M.json
