dose_name,dose_label,data_arm,n,mean_EWoK,min_EWoK,max_EWoK,mean_abs_deviation_from_50,chck_80M,chck_90M,chck_100M
dose1,1x,repeat,10,50.44,48.81,51.92,0.7780000000000001,49.74,51.03,51.25
dose1,1x,view,10,49.567,48.23,51.01,0.9969999999999992,51.01,50.22,50.39
dose1p82,1.82x,repeat,10,50.007999999999996,48.79,50.86,0.5939999999999991,50.43,50.3,50.16
dose1p82,1.82x,view,10,48.829,47.81,51.01,1.3729999999999998,48.64,49.03,48.96
dose2p64,2.64x/MAX,repeat,10,50.193,48.89,51.68,0.622999999999999,50.73,49.98,49.88
dose2p64,2.64x/MAX,view,10,49.782,48.47,50.47,0.5480000000000012,49.8,50.45,50.15
