model,by_domain,n,saved_model_accuracy,interaction_sum_median,interaction_sum_positive_frac,interaction_mean_median,interaction_mean_positive_frac,both_within_context_sum_positive_frac,stable_nonpositive_interaction_frac,conditional_reversal_failure_stable_count,saved_wrong_count,stable_failure_fraction_among_saved_wrong,deletion_interaction_sum_median,interaction_minus_deletion_sum_median,local_min_actual_over_swapped_sum_median,local_both_actual_over_swapped_positive_frac,official_t1_sign_match_frac
legal40_depth_12x384_43022,agent-properties,2210,0.5217194570135747,0.05840688198804855,0.5257918552036199,0.008099617185786556,0.5366515837104072,0.18823529411764706,0.4597285067873303,745,1057,0.7048249763481551,0.0,0.05933880805969238,-2.210984230041504,0.02895927601809955,1.0
legal40_depth_12x384_43022,material-dynamics,770,0.5298701298701298,0.31957101821899414,0.5818181818181818,0.09033048152923584,0.5844155844155844,0.01818181818181818,0.4,184,362,0.5082872928176796,0.0,0.31957101821899414,-2.7098731994628906,0.0,1.0
legal40_depth_12x384_43022,material-properties,170,0.5176470588235295,0.314719432964921,0.611764705882353,0.05727572838465278,0.6,0.08235294117647059,0.38823529411764707,41,82,0.5,0.0,0.314719432964921,-3.424441337585449,0.0,1.0
legal40_depth_12x384_43022,physical-dynamics,120,0.4083333333333333,-0.15009568282403052,0.43333333333333335,-0.0280628497091433,0.43333333333333335,0.1,0.5666666666666667,47,71,0.6619718309859155,0.0,-0.15009568282403052,-1.3818297386169434,0.0,1.0
legal40_depth_12x384_43022,physical-interactions,556,0.539568345323741,0.17812563618645072,0.5503597122302158,0.029002778775369276,0.5467625899280576,0.1474820143884892,0.44964028776978415,173,256,0.67578125,0.0,0.17401667265221477,-2.4296224489808083,0.1079136690647482,1.0
legal40_depth_12x384_43022,physical-relations,818,0.4779951100244499,-0.19338462268933654,0.4621026894865526,-0.02822331665083766,0.4572127139364303,0.1980440097799511,0.5378973105134475,337,427,0.7892271662763466,0.0,-0.16501233726739883,-1.4344053268432617,0.1466992665036675,1.0
legal40_depth_12x384_43022,quantitative-properties,314,0.5159235668789809,0.20083308219909668,0.554140127388535,0.019021115132741073,0.535031847133758,0.07006369426751592,0.445859872611465,91,152,0.5986842105263158,0.0,0.20083308219909668,-2.7924631973728538,0.0,1.0
legal40_depth_12x384_43022,social-interactions,294,0.54421768707483,0.35585132241249084,0.6054421768707483,0.07993779877821616,0.5782312925170068,0.061224489795918366,0.3945578231292517,80,134,0.5970149253731343,0.0,0.35585132241249084,-2.1136064529418945,0.0,1.0
legal40_depth_12x384_43022,social-properties,328,0.5274390243902439,0.2545134052634239,0.5487804878048781,0.0625741679531826,0.5609756097560976,0.09146341463414634,0.43902439024390244,96,155,0.6193548387096774,0.0,0.2545134052634239,-3.064119338989258,0.0,1.0
legal40_depth_12x384_43022,social-relations,1548,0.5142118863049095,0.16595044825226068,0.5400516795865633,0.022476467481326257,0.5348837209302325,0.12919896640826872,0.45478036175710596,488,752,0.648936170212766,0.0,0.15534836240112782,-2.7036995887756348,0.0,1.0
legal40_depth_12x384_43022,spatial-relations,490,0.463265306122449,-0.32695500552654266,0.4530612244897959,-0.031605352275072995,0.45714285714285713,0.20816326530612245,0.5387755102040817,212,263,0.8060836501901141,0.0,-0.4286038540303707,-1.134692668914795,0.20816326530612245,1.0
legal40_8x480_43022,agent-properties,2210,0.5149321266968325,0.02262457855977118,0.5122171945701357,0.0027796527784724745,0.5158371040723982,0.16289592760180996,0.4760180995475113,758,1072,0.707089552238806,0.0,0.021797520574182272,-2.623340606689453,0.02986425339366516,1.0
legal40_8x480_43022,material-dynamics,770,0.5077922077922078,0.0068628787994384766,0.5064935064935064,0.022990107536315918,0.535064935064935,0.05974025974025974,0.45194805194805193,215,379,0.5672823218997362,0.0,0.0068628787994384766,-2.9241456985473633,0.0,1.0
legal40_8x480_43022,material-properties,170,0.5941176470588235,0.3939395546913147,0.6470588235294118,0.06900967913679779,0.6470588235294118,0.023529411764705882,0.35294117647058826,33,69,0.4782608695652174,0.0,0.3939395546913147,-2.6945600509643555,0.0,1.0
legal40_8x480_43022,physical-dynamics,120,0.5,0.2720967158675194,0.55,0.05441934317350405,0.55,0.1,0.45,34,60,0.5666666666666667,0.0,0.2720967158675194,-3.221872627735138,0.0,1.0
legal40_8x480_43022,physical-interactions,556,0.49460431654676257,-0.165011802688241,0.42805755395683454,-0.02661659444371889,0.4244604316546763,0.1223021582733813,0.5683453237410072,212,281,0.7544483985765125,0.0,-0.16833525151014328,-2.04044970870018,0.07553956834532374,1.0
legal40_8x480_43022,physical-relations,818,0.5122249388753056,0.05469484254717827,0.511002444987775,0.0068368553183972836,0.508557457212714,0.20293398533007334,0.4889975550122249,298,399,0.7468671679197995,0.0,0.0680775378132239,-2.2620279788970947,0.13202933985330073,1.0
legal40_8x480_43022,quantitative-properties,314,0.5605095541401274,0.3966069594025612,0.5987261146496815,0.06843095592090043,0.5859872611464968,0.2229299363057325,0.4012738853503185,86,138,0.6231884057971014,0.0,0.3966069594025612,-2.5821003913879395,0.0,1.0
legal40_8x480_43022,social-interactions,294,0.4931972789115646,-0.43304978031665087,0.3945578231292517,-0.06198171041905809,0.4217687074829932,0.027210884353741496,0.5714285714285714,105,149,0.7046979865771812,0.0,-0.43304978031665087,-2.777388632297516,0.0,1.0
legal40_8x480_43022,social-properties,328,0.49085365853658536,-0.16001270711421967,0.43902439024390244,-0.02004708237946007,0.4634146341463415,0.07317073170731707,0.5304878048780488,112,167,0.6706586826347305,0.0,-0.16001270711421967,-3.0465203737840056,0.0,1.0
legal40_8x480_43022,social-relations,1548,0.5122739018087855,0.1920134201645851,0.5284237726098191,0.023761714498202302,0.5219638242894057,0.165374677002584,0.4689922480620155,498,755,0.6596026490066225,0.0,0.1788990329951048,-3.648956775665283,0.0,1.0
legal40_8x480_43022,spatial-relations,490,0.4816326530612245,-0.01548417005687952,0.49795918367346936,-0.0017204633396534774,0.49795918367346936,0.14285714285714285,0.49795918367346936,199,254,0.7834645669291339,0.0,0.03801271319389343,-0.7833361625671387,0.15918367346938775,1.0
