target,label,mode,n,accuracy,chance_adjusted_accuracy,rank1,rank2,rank3,rank4,always_wrong_n,always_wrong_rank2,always_wrong_rank3,always_wrong_rank4,always_wrong_mean_top_minus_correct,always_wrong_median_top_minus_correct,always_wrong_small_margin_le_0p25,always_wrong_small_margin_le_0p50,choice_counts_json
legal40k8x480_43022,"legal40k 8x480 seed43022, best compliant endpoint",parallel,103,22.33009708737864,-0.03559870550161811,23,24,26,30,52,11,18,23,1.953398905689513,1.6818720499674482,3,8,"{""0"": 24, ""1"": 28, ""2"": 29, ""3"": 22}"
legal16k8x480_43022,legal16k 8x480 seed43022,parallel,103,26.21359223300971,0.016181229773462775,27,22,28,26,52,10,20,22,1.7828714988464314,1.4288204511006672,1,7,"{""0"": 25, ""1"": 23, ""2"": 27, ""3"": 28}"
depth12x384_43022,legal40k 12x384 depth seed43022,parallel,103,24.271844660194176,-0.009708737864077666,25,28,26,24,52,13,18,21,1.858921292610368,1.4699113152243877,4,10,"{""0"": 26, ""1"": 21, ""2"": 27, ""3"": 29}"
inherited16k_noncompliant_43022,inherited-tokenizer compact reinvest seed43022 (non-submission mechanism evidence),parallel,103,25.24271844660194,0.003236245954692555,26,18,36,23,52,10,24,18,1.8377760893575519,1.6507193778242384,3,7,"{""0"": 20, ""1"": 27, ""2"": 21, ""3"": 35}"
