arm,sentences,words,mean_words,median_words,source_words,length_bin_words,bucket_words,required_capability_words,all_capability_words,match_modes,mean_core_score,mean_relation_markers
treatment,7,200,28.571428571428573,28,"{""fw_compact_rewrites"": 41, ""fw_frozen_sources_38167"": 72, ""compact_experience_aligned_10m_rows"": 87}","{""16_25"": 66, ""26_35"": 94, ""36_50"": 40}","{""physical_material_transition"": 48, ""spatial_transition"": 46, ""temporal_quantity_transition"": 106}","{""physical_anchor"": 48, ""quantity_anchor"": 106, ""spatial_anchor"": 46}",,,12.07857142857143,2.142857142857143
anchor_control,9,232,25.77777777777778,25,"{""fw_compact_rewrites"": 41, ""fw_frozen_sources_38167"": 88, ""compact_experience_aligned_10m_rows"": 103}","{""16_25"": 98, ""26_35"": 94, ""36_50"": 40}",,"{""physical_anchor"": 48, ""quantity_anchor"": 106, ""spatial_anchor"": 46, ""topup"": 32}","{""physical_anchor"": 232, ""quantity_anchor"": 163, ""spatial_anchor"": 207}","{""budget_topup_anchor_control"": 32, ""same_source_lenbin_cap"": 200}",,
