tokenizer,length,chunks,active_tokens,microbatches,synthetic_masked_targets,loss_full,loss_weighted_micro,abs_loss_diff_weighted,max_abs_grad_diff_weighted,max_abs_grad_diff_naive,micro_target_count_min,micro_target_count_max
legal40k,64,998,54461,16,8118,4.9256157875061035,4.925615747094184,4.0411919144389685e-08,1.1641532182693481e-09,0.00031151343137025833,317,560
legal40k,128,555,49987,9,7488,4.92264986038208,4.922649792435332,6.794674778376475e-08,9.313225746154785e-10,0.00043111469130963087,546,905
legal40k,256,302,54397,5,8154,4.914453029632568,4.914453302378277,2.727457086848517e-07,9.313225746154785e-10,0.0005394348409026861,1230,1779
minfreq25,64,1011,55457,16,8289,4.9250383377075195,4.925038962215203,6.245076837885222e-07,1.1641532182693481e-09,0.0002415599301457405,410,574
minfreq25,128,559,51798,9,7828,4.923842906951904,4.923844167573391,1.2606214863097875e-06,1.0477378964424133e-09,0.0002749408595263958,651,954
minfreq25,256,305,56380,5,8465,4.923089027404785,4.923088793689797,2.337149878073319e-07,9.313225746154785e-10,0.0003860686265397817,1344,1822
