frame_id,base_id,condition,family,object,alt_a,alt_b,delta1,delta2,interaction,min_signed_margin,crossed_success,same_a_bias,same_b_bias
IF_00001,BASE_0001,no_context,empty_full,glass,empty,full,-0.35724449157714844,-0.35724449157714844,0.0,-0.35724449157714844,False,False,True
IF_00002,BASE_0001,explicit_final,empty_full,glass,empty,full,-0.20606231689453125,-0.17798900604248047,-0.02807331085205078,-0.20606231689453125,False,False,True
IF_00003,BASE_0001,last_event,empty_full,glass,empty,full,-0.2879033088684082,-0.2727680206298828,-0.01513528823852539,-0.2879033088684082,False,False,True
IF_00004,BASE_0001,consistent_prior,empty_full,glass,empty,full,-0.12399721145629883,-0.21714210510253906,0.09314489364624023,-0.12399721145629883,False,False,True
IF_00005,BASE_0001,distractor_event,empty_full,glass,empty,full,-0.36295223236083984,-0.36295032501220703,-1.9073486328125e-06,-0.36295223236083984,False,False,True
IF_00006,BASE_0001,contradict_bare,empty_full,glass,empty,full,-0.30080127716064453,-0.2612190246582031,-0.039582252502441406,-0.30080127716064453,False,False,True
IF_00007,BASE_0001,contradict_temporal,empty_full,glass,empty,full,-0.06637144088745117,-0.21648311614990234,0.15011167526245117,-0.06637144088745117,False,False,True
IF_00008,BASE_0001,contradict_reinforced,empty_full,glass,empty,full,-0.4263181686401367,-0.2029714584350586,-0.22334671020507812,-0.4263181686401367,False,False,True
IF_00009,BASE_0001,explicit_override,empty_full,glass,empty,full,-0.2319631576538086,-0.18646621704101562,-0.04549694061279297,-0.2319631576538086,False,False,True
IF_00010,BASE_0001,reported_event,empty_full,glass,empty,full,-0.23215103149414062,-0.2334909439086914,0.0013399124145507812,-0.23215103149414062,False,False,True
IF_00011,BASE_0002,no_context,empty_full,glass,empty,full,-0.35724449157714844,-0.35724449157714844,0.0,-0.35724449157714844,False,False,True
IF_00012,BASE_0002,explicit_final,empty_full,glass,empty,full,-0.20606231689453125,-0.17798900604248047,-0.02807331085205078,-0.20606231689453125,False,False,True
IF_00013,BASE_0002,last_event,empty_full,glass,empty,full,-0.23523902893066406,-0.2673225402832031,0.03208351135253906,-0.23523902893066406,False,False,True
IF_00014,BASE_0002,consistent_prior,empty_full,glass,empty,full,-0.14786148071289062,-0.26509666442871094,0.11723518371582031,-0.14786148071289062,False,False,True
IF_00015,BASE_0002,distractor_event,empty_full,glass,empty,full,-0.34322071075439453,-0.3606386184692383,0.01741790771484375,-0.34322071075439453,False,False,True
IF_00016,BASE_0002,contradict_bare,empty_full,glass,empty,full,-0.2713046073913574,-0.24436664581298828,-0.02693796157836914,-0.2713046073913574,False,False,True
IF_00017,BASE_0002,contradict_temporal,empty_full,glass,empty,full,-0.07567119598388672,-0.2522916793823242,0.1766204833984375,-0.07567119598388672,False,False,True
IF_00018,BASE_0002,contradict_reinforced,empty_full,glass,empty,full,-0.4420452117919922,-0.22734832763671875,-0.21469688415527344,-0.4420452117919922,False,False,True
IF_00019,BASE_0002,explicit_override,empty_full,glass,empty,full,-0.2319631576538086,-0.18646621704101562,-0.04549694061279297,-0.2319631576538086,False,False,True
IF_00020,BASE_0002,reported_event,empty_full,glass,empty,full,-0.23854732513427734,-0.2905588150024414,0.05201148986816406,-0.23854732513427734,False,False,True
IF_00021,BASE_0003,no_context,empty_full,glass,empty,full,-0.35724449157714844,-0.35724449157714844,0.0,-0.35724449157714844,False,False,True
IF_00022,BASE_0003,explicit_final,empty_full,glass,empty,full,-0.20606231689453125,-0.17798900604248047,-0.02807331085205078,-0.20606231689453125,False,False,True
IF_00023,BASE_0003,last_event,empty_full,glass,empty,full,-0.2516050338745117,-0.31815242767333984,0.06654739379882812,-0.2516050338745117,False,False,True
IF_00024,BASE_0003,consistent_prior,empty_full,glass,empty,full,-0.14751291275024414,-0.28466796875,0.13715505599975586,-0.14751291275024414,False,False,True
IF_00025,BASE_0003,distractor_event,empty_full,glass,empty,full,-0.3802456855773926,-0.40987586975097656,0.029630184173583984,-0.3802456855773926,False,False,True
IF_00026,BASE_0003,contradict_bare,empty_full,glass,empty,full,-0.28665590286254883,-0.2568225860595703,-0.029833316802978516,-0.28665590286254883,False,False,True
IF_00027,BASE_0003,contradict_temporal,empty_full,glass,empty,full,-0.09345626831054688,-0.2768583297729492,0.18340206146240234,-0.09345626831054688,False,False,True
IF_00028,BASE_0003,contradict_reinforced,empty_full,glass,empty,full,-0.4482426643371582,-0.2449812889099121,-0.2032613754272461,-0.4482426643371582,False,False,True
IF_00029,BASE_0003,explicit_override,empty_full,glass,empty,full,-0.2319631576538086,-0.18646621704101562,-0.04549694061279297,-0.2319631576538086,False,False,True
IF_00030,BASE_0003,reported_event,empty_full,glass,empty,full,-0.22228336334228516,-0.24584579467773438,0.02356243133544922,-0.22228336334228516,False,False,True
IF_00031,BASE_0004,no_context,empty_full,glass,empty,full,-0.35724449157714844,-0.35724449157714844,0.0,-0.35724449157714844,False,False,True
IF_00032,BASE_0004,explicit_final,empty_full,glass,empty,full,-0.20606231689453125,-0.17798900604248047,-0.02807331085205078,-0.20606231689453125,False,False,True
IF_00033,BASE_0004,last_event,empty_full,glass,empty,full,-0.23298215866088867,-0.3424253463745117,0.10944318771362305,-0.23298215866088867,False,False,True
IF_00034,BASE_0004,consistent_prior,empty_full,glass,empty,full,-0.15495061874389648,-0.30937862396240234,0.15442800521850586,-0.15495061874389648,False,False,True
IF_00035,BASE_0004,distractor_event,empty_full,glass,empty,full,-0.417816162109375,-0.4688262939453125,0.0510101318359375,-0.417816162109375,False,False,True
IF_00036,BASE_0004,contradict_bare,empty_full,glass,empty,full,-0.30820226669311523,-0.2662954330444336,-0.04190683364868164,-0.30820226669311523,False,False,True
IF_00037,BASE_0004,contradict_temporal,empty_full,glass,empty,full,-0.0823221206665039,-0.2717576026916504,0.18943548202514648,-0.0823221206665039,False,False,True
IF_00038,BASE_0004,contradict_reinforced,empty_full,glass,empty,full,-0.43898868560791016,-0.23817920684814453,-0.20080947875976562,-0.43898868560791016,False,False,True
IF_00039,BASE_0004,explicit_override,empty_full,glass,empty,full,-0.2319631576538086,-0.18646621704101562,-0.04549694061279297,-0.2319631576538086,False,False,True
IF_00040,BASE_0004,reported_event,empty_full,glass,empty,full,-0.2572336196899414,-0.28429746627807617,0.027063846588134766,-0.2572336196899414,False,False,True
IF_00041,BASE_0005,no_context,empty_full,glass,empty,full,-0.35724449157714844,-0.35724449157714844,0.0,-0.35724449157714844,False,False,True
IF_00042,BASE_0005,explicit_final,empty_full,glass,empty,full,-0.20606231689453125,-0.17798900604248047,-0.02807331085205078,-0.20606231689453125,False,False,True
IF_00043,BASE_0005,last_event,empty_full,glass,empty,full,-0.21768856048583984,-0.2872047424316406,0.06951618194580078,-0.21768856048583984,False,False,True
IF_00044,BASE_0005,consistent_prior,empty_full,glass,empty,full,-0.13951921463012695,-0.28029823303222656,0.1407790184020996,-0.13951921463012695,False,False,True
IF_00045,BASE_0005,distractor_event,empty_full,glass,empty,full,-0.3476228713989258,-0.36807918548583984,0.020456314086914062,-0.3476228713989258,False,False,True
IF_00046,BASE_0005,contradict_bare,empty_full,glass,empty,full,-0.2549009323120117,-0.2600579261779785,0.005156993865966797,-0.2549009323120117,False,False,True
IF_00047,BASE_0005,contradict_temporal,empty_full,glass,empty,full,-0.10106229782104492,-0.28840065002441406,0.18733835220336914,-0.10106229782104492,False,False,True
IF_00048,BASE_0005,contradict_reinforced,empty_full,glass,empty,full,-0.44890308380126953,-0.2567744255065918,-0.19212865829467773,-0.44890308380126953,False,False,True
IF_00049,BASE_0005,explicit_override,empty_full,glass,empty,full,-0.2319631576538086,-0.18646621704101562,-0.04549694061279297,-0.2319631576538086,False,False,True
IF_00050,BASE_0005,reported_event,empty_full,glass,empty,full,-0.24514102935791016,-0.31207847595214844,0.06693744659423828,-0.24514102935791016,False,False,True
IF_00051,BASE_0006,no_context,empty_full,glass,empty,full,-0.35724449157714844,-0.35724449157714844,0.0,-0.35724449157714844,False,False,True
IF_00052,BASE_0006,explicit_final,empty_full,glass,empty,full,-0.20606231689453125,-0.17798900604248047,-0.02807331085205078,-0.20606231689453125,False,False,True
IF_00053,BASE_0006,last_event,empty_full,glass,empty,full,-0.30376195907592773,-0.3838930130004883,0.08013105392456055,-0.30376195907592773,False,False,True
IF_00054,BASE_0006,consistent_prior,empty_full,glass,empty,full,-0.1728963851928711,-0.31167030334472656,0.13877391815185547,-0.1728963851928711,False,False,True
IF_00055,BASE_0006,distractor_event,empty_full,glass,empty,full,-0.4189767837524414,-0.45976972579956055,0.04079294204711914,-0.4189767837524414,False,False,True
IF_00056,BASE_0006,contradict_bare,empty_full,glass,empty,full,-0.3210744857788086,-0.3265361785888672,0.005461692810058594,-0.3210744857788086,False,False,True
IF_00057,BASE_0006,contradict_temporal,empty_full,glass,empty,full,-0.0965108871459961,-0.2884984016418457,0.1919875144958496,-0.0965108871459961,False,False,True
IF_00058,BASE_0006,contradict_reinforced,empty_full,glass,empty,full,-0.43746185302734375,-0.24580001831054688,-0.19166183471679688,-0.43746185302734375,False,False,True
IF_00059,BASE_0006,explicit_override,empty_full,glass,empty,full,-0.2319631576538086,-0.18646621704101562,-0.04549694061279297,-0.2319631576538086,False,False,True
IF_00060,BASE_0006,reported_event,empty_full,glass,empty,full,-0.27446794509887695,-0.31884288787841797,0.044374942779541016,-0.27446794509887695,False,False,True
IF_00061,BASE_0007,no_context,empty_full,glass,empty,full,-0.35724449157714844,-0.35724449157714844,0.0,-0.35724449157714844,False,False,True
IF_00062,BASE_0007,explicit_final,empty_full,glass,empty,full,-0.20606231689453125,-0.17798900604248047,-0.02807331085205078,-0.20606231689453125,False,False,True
IF_00063,BASE_0007,last_event,empty_full,glass,empty,full,-0.2404642105102539,-0.30091333389282227,0.06044912338256836,-0.2404642105102539,False,False,True
IF_00064,BASE_0007,consistent_prior,empty_full,glass,empty,full,-0.14573240280151367,-0.2686586380004883,0.12292623519897461,-0.14573240280151367,False,False,True
IF_00065,BASE_0007,distractor_event,empty_full,glass,empty,full,-0.336794376373291,-0.3422670364379883,0.005472660064697266,-0.336794376373291,False,False,True
IF_00066,BASE_0007,contradict_bare,empty_full,glass,empty,full,-0.2752532958984375,-0.19135475158691406,-0.08389854431152344,-0.2752532958984375,False,False,True
IF_00067,BASE_0007,contradict_temporal,empty_full,glass,empty,full,-0.08933448791503906,-0.2665443420410156,0.17720985412597656,-0.08933448791503906,False,False,True
IF_00068,BASE_0007,contradict_reinforced,empty_full,glass,empty,full,-0.4455137252807617,-0.2304821014404297,-0.21503162384033203,-0.4455137252807617,False,False,True
IF_00069,BASE_0007,explicit_override,empty_full,glass,empty,full,-0.2319631576538086,-0.18646621704101562,-0.04549694061279297,-0.2319631576538086,False,False,True
IF_00070,BASE_0007,reported_event,empty_full,glass,empty,full,-0.24028301239013672,-0.26851606369018555,0.028233051300048828,-0.24028301239013672,False,False,True
IF_00071,BASE_0008,no_context,empty_full,glass,empty,full,-0.35724449157714844,-0.35724449157714844,0.0,-0.35724449157714844,False,False,True
