endpoint,form,source_id,row_index,position,token_id,token,token_kind,distance_to_nearest_special,row_active_tokens,row_length_bin,kl
dense64_private_scale_0p55,short_add_special,28266,41,2,12490,ĠFull,content,2,10,0-15,1.1445913314819336
dense64_private_scale_0p55,short_add_special,1800,16,22,292,ĠW,content,22,56,32-63,0.4103742837905884
dense64_private_scale_0p55,coherent_add_special,303252,43,188,2,</s>,special,0,189,128-255,0.29545122385025024
dense64_private_scale_0p55,coherent_add_special,1308,31,152,9378,ĠKid,content,65,218,128-255,0.26329290866851807
dense64_private_scale_0p55,short_add_special,950870,19,28,329,ĠD,content,7,36,32-63,0.23522122204303741
dense64_private_scale_0p55,coherent_no_special,311951,34,14,305,Ġan,content,-1,166,128-255,0.21319587528705597
dense64_private_scale_0p55,short_add_special,950870,19,18,1913,Ġdead,content,17,36,32-63,0.20981547236442566
dense64_private_scale_0p55,short_add_special,28266,37,0,1,<s>,special,0,20,16-31,0.19254043698310852
dense64_private_scale_0p55,coherent_add_special,950870,2,18,1913,Ġdead,content,18,205,128-255,0.182543084025383
dense64_private_scale_0p55,coherent_no_special,311951,34,4,604,urn,content,-1,166,128-255,0.16972123086452484
dense64_private_scale_0p55,short_add_special,28266,41,9,2,</s>,special,0,10,0-15,0.16698259115219116
dense64_private_scale_0p55,short_add_special,950870,20,23,2,</s>,special,0,24,16-31,0.1614663004875183
dense64_private_scale_0p55,coherent_add_special,311951,34,5,604,urn,content,5,168,128-255,0.1607189178466797
dense64_private_scale_0p55,coherent_add_special,311951,34,143,720,Ġch,content,24,168,128-255,0.15656925737857819
dense64_private_scale_0p55,coherent_add_special,311951,34,39,8243,Ġclothing,content,39,168,128-255,0.15352702140808105
dense64_private_scale_0p55,coherent_add_special,950870,2,0,1,<s>,special,0,205,128-255,0.1521223932504654
dense64_private_scale_0p55,coherent_add_special,34231,6,44,2612,Ġeverybody,content,44,192,128-255,0.14429786801338196
dense64_private_scale_0p55,coherent_add_special,29417,22,10,1530,ike,content,10,239,128-255,0.1441033035516739
dense64_private_scale_0p55,coherent_no_special,29417,22,9,1530,ike,content,-1,237,128-255,0.14198769629001617
dense64_private_scale_0p55,coherent_no_special,950870,2,27,329,ĠD,content,-1,203,128-255,0.1416647881269455
dense64_private_scale_0p55,coherent_no_special,311951,34,38,8243,Ġclothing,content,-1,166,128-255,0.13776403665542603
dense64_private_scale_0p55,coherent_no_special,951788,17,163,2826,-g,content,-1,212,128-255,0.13277564942836761
dense64_private_scale_0p55,coherent_no_special,950870,2,0,8983,ĠAP,content,-1,203,128-255,0.13099202513694763
dense64_private_scale_0p55,coherent_add_special,308557,13,231,2,</s>,special,0,232,128-255,0.12583690881729126
dense64_private_scale_0p55,short_add_special,28266,33,0,1,<s>,special,0,17,16-31,0.12484396994113922
dense64_private_scale_0p55,coherent_add_special,26786,37,148,12086,Ġcanal,content,36,185,128-255,0.12333384901285172
dense64_private_scale_0p55,short_add_special,950870,19,22,8232,ĠMem,content,13,36,32-63,0.12324601411819458
dense64_private_scale_0p55,coherent_add_special,26786,37,44,4216,Ġswimming,content,44,185,128-255,0.1225561574101448
dense64_private_scale_0p55,coherent_add_special,950870,2,28,329,ĠD,content,28,205,128-255,0.12168823927640915
dense64_private_scale_0p55,coherent_add_special,951788,17,164,2826,-g,content,49,214,128-255,0.11941210925579071
dense64_private_scale_0p55,coherent_no_special,950870,2,17,1913,Ġdead,content,-1,203,128-255,0.11659014970064163
dense64_private_scale_0p55,coherent_no_special,311951,34,142,720,Ġch,content,-1,166,128-255,0.11651261150836945
dense64_private_scale_0p55,coherent_add_special,26786,37,87,5144,ĠBas,content,87,185,128-255,0.11641153693199158
dense64_private_scale_0p55,short_add_special,950870,20,4,371,ell,content,4,24,16-31,0.11622381955385208
dense64_private_scale_0p55,short_add_special,950870,20,0,1,<s>,special,0,24,16-31,0.11310629546642303
dense64_private_scale_0p55,coherent_add_special,16354,20,4,3836,Ġstories,content,4,240,128-255,0.10683580487966537
