domain,n,lost_correct,gained_correct,net_correct_gain_b_minus_a,added_stable_failure,removed_stable_failure,net_stable_failure_b_minus_a,lost_frac,gain_frac
material-dynamics,770,141,127,-14,163,87,76,0.18311688311688312,0.16493506493506493
social-relations,1548,254,231,-23,231,180,51,0.1640826873385013,0.14922480620155038
agent-properties,2210,257,230,-27,253,220,33,0.116289592760181,0.10407239819004525
spatial-relations,490,78,60,-18,69,40,29,0.15918367346938775,0.12244897959183673
social-interactions,294,57,40,-17,53,31,22,0.19387755102040816,0.1360544217687075
physical-dynamics,120,17,25,8,8,28,-20,0.14166666666666666,0.20833333333333334
material-properties,170,39,21,-18,34,20,14,0.22941176470588234,0.12352941176470589
quantitative-properties,314,44,35,-9,36,46,-10,0.14012738853503184,0.11146496815286625
physical-interactions,556,94,85,-9,81,86,-5,0.16906474820143885,0.1528776978417266
social-properties,328,56,71,15,72,70,2,0.17073170731707318,0.21646341463414634
physical-relations,818,92,79,-13,91,90,1,0.11246943765281174,0.09657701711491443
