ContextDiff,n,lost_correct,gained_correct,net_correct_gain_b_minus_a,added_stable_failure,removed_stable_failure,net_stable_failure_b_minus_a,lost_frac,gain_frac
material,840,151,138,-13,176,101,75,0.17976190476190476,0.16428571428571428
variable swap,2564,235,210,-25,256,197,59,0.09165366614664587,0.08190327613104524
antonym,3374,573,525,-48,510,487,23,0.16982809721398934,0.15560165975103735
other,490,86,76,-10,93,76,17,0.17551020408163265,0.15510204081632653
negation,190,55,32,-23,31,17,14,0.2894736842105263,0.16842105263157894
variable_swap,30,10,5,-5,9,4,5,0.3333333333333333,0.16666666666666666
game,20,4,2,-2,3,1,2,0.2,0.1
number,80,11,10,-1,10,12,-2,0.1375,0.125
active-passive,30,4,6,2,3,3,0,0.13333333333333333,0.2
