row_source_class,rows,words,rows_with_any_match_n7,rows_with_any_match_n8,rows_with_any_match_n10,row_ngram_hit_count_n7,row_ngram_hit_count_n8,row_ngram_hit_count_n10,eval_record_hit_count_n7,eval_record_hit_count_n8,eval_record_hit_count_n10,unique_matched_ngrams_n7,unique_matched_ngrams_n8,unique_matched_ngrams_n10,top_dir_hits_n7,top_dir_hits_n8,top_dir_hits_n10
fineweb_source_qwen_compact_rewrite_pair_row,3005,423511,7,1,0,9,1,0,11,1,0,9,1,0,"{""aoa"": 4, ""glue_filtered"": 7}","{""glue_filtered"": 1}",{}
inherited_official_source_qwen_paraphrase_pair_row,12236,1656800,61,16,4,98,34,9,356,74,22,87,33,9,"{""aoa"": 5, ""glue_filtered"": 351}","{""glue_filtered"": 74}","{""glue_filtered"": 22}"
neutral_topup_from_heldout_official_row,1,9,0,0,0,0,0,0,0,0,0,0,0,0,{},{},{}
official_babylm_source_row,49498,7919680,388,91,24,658,242,95,1864,503,187,442,195,84,"{""aoa"": 22, ""blimp_filtered"": 1, ""glue_filtered"": 1788, ""reading"": 50, ""supplement_filtered"": 3}","{""aoa"": 2, ""glue_filtered"": 483, ""reading"": 18}","{""glue_filtered"": 187}"
