primary_domain,category,n_pairs,pair_words,drop_frac,mean_category_retention,mean_content_recall,selected_pair_frac
people_history,spatial_state,43,1839,0.5348837209302325,0.5430232558139535,0.6025363948603563,1.0
media_culture,spatial_state,71,2948,0.5211267605633803,0.5619718309859155,0.6631901566937513,1.0
people_history,quantity_measure,66,2669,0.48484848484848486,0.5654040404040404,0.6725244705879608,1.0
institutions_society,spatial_state,137,5876,0.48175182481751827,0.5877128953771289,0.6524389066391197,1.0
science_physical,spatial_state,265,10993,0.47547169811320755,0.6151752021563343,0.6373307255682128,1.0
people_history,physical_interaction,17,663,0.47058823529411764,0.6441176470588236,0.6296729510397331,1.0
geography_places,mental_state_social,61,2891,0.45901639344262296,0.594535519125683,0.6431088502024787,1.0
causal_relational,mental_state_social,265,10657,0.4528301886792453,0.6488679245283019,0.6388422871479074,1.0
causal_relational,spatial_state,309,13071,0.44660194174757284,0.6591077207582062,0.6364708800018861,1.0
no_domain,spatial_state,1436,53150,0.42618384401114207,0.6340496087014192,0.6582178212940432,1.0
people_history,negation_modality,39,1643,0.41025641025641024,0.6431623931623932,0.6461438246863348,1.0
institutions_society,comparison_order,153,6375,0.40522875816993464,0.6003267973856209,0.6477635533287932,1.0
science_physical,physical_interaction,77,3084,0.4025974025974026,0.6171614100185528,0.6308455803280839,1.0
science_physical,quantity_measure,284,11184,0.397887323943662,0.6263665325285044,0.6441299605287671,1.0
geography_places,spatial_state,264,11017,0.3977272727272727,0.6455808080808081,0.6659498922383675,1.0
quant_numeric,physical_interaction,38,1654,0.39473684210526316,0.6732456140350878,0.6417953856474307,1.0
quant_numeric,spatial_state,150,6478,0.3933333333333333,0.6833333333333333,0.6713870145351973,1.0
geography_places,quantity_measure,189,8155,0.3915343915343915,0.6325396825396825,0.6692722358610919,1.0
media_culture,negation_modality,49,2093,0.3877551020408163,0.6843537414965987,0.6540377458973845,1.0
media_culture,quantity_measure,70,2922,0.38571428571428573,0.6159523809523809,0.6718072456562063,1.0
institutions_society,quantity_measure,179,7183,0.37988826815642457,0.6397579143389199,0.6630852083347024,1.0
media_culture,comparison_order,58,2483,0.3793103448275862,0.6048850574712643,0.6563743036526478,1.0
media_culture,causal_temporal,99,4101,0.36363636363636365,0.6464646464646464,0.659812427915725,1.0
no_domain,negation_modality,1279,46093,0.3635652853792025,0.6581927845414944,0.6465957102213565,1.0
causal_relational,quantity_measure,443,17856,0.36343115124153497,0.6636515102655057,0.6221655190688169,1.0
no_domain,causal_temporal,2273,81880,0.3616366036075671,0.6467936228604948,0.6542560231060284,1.0
causal_relational,negation_modality,374,15366,0.35561497326203206,0.6954036159918513,0.6215167570461916,1.0
geography_places,physical_interaction,48,2092,0.3541666666666667,0.5836805555555555,0.668242592783034,1.0
no_domain,mental_state_social,802,29622,0.3541147132169576,0.6486135850849067,0.6455329748566102,1.0
science_physical,mental_state_social,99,4266,0.35353535353535354,0.6487012987012987,0.6347410020667362,1.0
no_domain,quantity_measure,1968,69360,0.3511178861788618,0.6568234610917538,0.6609939627151434,1.0
institutions_society,mental_state_social,69,2923,0.34782608695652173,0.677536231884058,0.6489143103638487,1.0
institutions_society,causal_temporal,200,8698,0.335,0.66,0.6507313436197393,1.0
science_physical,negation_modality,189,7826,0.3333333333333333,0.677336860670194,0.6292636952223899,1.0
science_physical,causal_temporal,347,14061,0.3285302593659942,0.6392548373816386,0.6366145434360609,1.0
institutions_society,negation_modality,113,5008,0.3274336283185841,0.6710914454277286,0.6623301177757913,1.0
science_physical,comparison_order,245,10043,0.32653061224489793,0.6723323615160349,0.6389976140055723,1.0
causal_relational,comparison_order,369,15218,0.31978319783197834,0.6857207381597625,0.6278987536278345,1.0
geography_places,causal_temporal,182,8016,0.31868131868131866,0.6688644688644688,0.6546104023500372,1.0
institutions_society,physical_interaction,44,1959,0.3181818181818182,0.6481060606060606,0.6481586491736365,1.0
quant_numeric,negation_modality,303,11972,0.31353135313531355,0.7159515951595159,0.6597437305671027,1.0
quant_numeric,mental_state_social,65,2773,0.3076923076923077,0.7392307692307692,0.6513340165413899,1.0
no_domain,comparison_order,1518,54022,0.3069828722002635,0.6936947110860154,0.6640151154349171,1.0
no_domain,physical_interaction,479,17667,0.2985386221294363,0.6791579679888657,0.6645149589372857,1.0
quant_numeric,causal_temporal,252,10458,0.2976190476190476,0.6917989417989417,0.6528627567408463,1.0
people_history,mental_state_social,27,1022,0.2962962962962963,0.667283950617284,0.6386386119318995,1.0
institutions_society,material_property,24,975,0.2916666666666667,0.6465277777777778,0.6312550271789402,1.0
quant_numeric,comparison_order,185,7537,0.2810810810810811,0.7245045045045045,0.6882993564591358,1.0
geography_places,comparison_order,136,5980,0.27941176470588236,0.7464460784313726,0.6628758153809399,1.0
people_history,social_relation,47,1986,0.2765957446808511,0.7351063829787234,0.6488984404270092,1.0
institutions_society,physical_dynamics,33,1422,0.2727272727272727,0.7444444444444445,0.6140576219185845,1.0
media_culture,physical_dynamics,11,568,0.2727272727272727,0.7878787878787878,0.6873550632374161,1.0
causal_relational,causal_temporal,1293,49151,0.2699149265274555,0.6925348948550805,0.6381333205622175,1.0
people_history,causal_temporal,99,4008,0.26262626262626265,0.6698653198653198,0.6824333858520144,1.0
quant_numeric,quantity_measure,264,10422,0.26136363636363635,0.6902777777777778,0.6566462371693483,1.0
people_history,comparison_order,51,2247,0.2549019607843137,0.7196078431372549,0.6917920291590381,1.0
geography_places,negation_modality,76,3433,0.25,0.7368421052631579,0.6444150243467287,1.0
quant_numeric,physical_dynamics,28,1257,0.25,0.6982142857142857,0.6539402246685961,1.0
causal_relational,physical_dynamics,66,2685,0.22727272727272727,0.705050505050505,0.6428069257008519,1.0
media_culture,mental_state_social,23,972,0.21739130434782608,0.6086956521739131,0.7077772744356988,1.0
people_history,material_property,14,529,0.21428571428571427,0.7083333333333334,0.6052588284731142,1.0
causal_relational,physical_interaction,109,4564,0.21100917431192662,0.7070336391437309,0.6308702548686075,1.0
media_culture,material_property,19,713,0.21052631578947367,0.6578947368421053,0.7249740999118439,1.0
media_culture,physical_interaction,20,884,0.2,0.7316666666666667,0.6703483019388592,1.0
no_domain,physical_dynamics,223,8449,0.17937219730941703,0.7377001921844971,0.6586868617804075,1.0
geography_places,physical_dynamics,24,1090,0.16666666666666666,0.7034722222222223,0.6457239699083739,1.0
causal_relational,material_property,124,5077,0.16129032258064516,0.7444700460829493,0.6232943348784847,1.0
media_culture,social_relation,25,1080,0.16,0.7426666666666667,0.6548627365066993,1.0
science_physical,material_property,82,3267,0.15853658536585366,0.7189024390243902,0.6512558448757311,1.0
