primary_domain,category,n_pairs,pair_words,drop_frac,mean_category_retention,mean_content_recall,selected_pair_frac
science_physical,social_relation,57,2371,0.15789473684210525,0.7292397660818714,0.6384650465559386,1.0
quant_numeric,social_relation,71,3011,0.15492957746478872,0.7262910798122065,0.6794446280618429,1.0
no_domain,material_property,421,14672,0.14726840855106887,0.7508992195453003,0.6549719947298097,1.0
causal_relational,social_relation,136,5574,0.13970588235294118,0.7199579831932773,0.6375946968452764,1.0
quant_numeric,material_property,29,1139,0.13793103448275862,0.8005747126436782,0.7103936181015289,1.0
science_physical,physical_dynamics,52,2183,0.1346153846153846,0.735989010989011,0.6509684299717641,1.0
institutions_society,social_relation,122,4976,0.13114754098360656,0.7699453551912568,0.6769582847312624,1.0
geography_places,social_relation,55,2554,0.12727272727272726,0.7260606060606061,0.6749352241091616,1.0
people_history,physical_dynamics,8,398,0.125,0.725,0.7049084595959596,1.0
no_domain,social_relation,616,22332,0.11363636363636363,0.7560335497835498,0.6608641289449176,1.0
geography_places,material_property,36,1598,0.1111111111111111,0.7407407407407407,0.610692017791448,1.0
