row_pos,masked_tokens_cpu_proxy,masked_source_tokens_cpu_proxy,masked_view_tokens_cpu_proxy,masked_other_tokens_cpu_proxy,selected_groups_cpu_proxy
0,23,14,9,0,18
1,38,23,15,0,25
2,36,19,17,0,23
3,22,12,10,0,16
4,25,13,12,0,20
5,28,19,9,0,20
6,27,9,18,0,21
7,22,16,6,0,20
8,17,13,4,0,16
9,36,17,19,0,24
10,35,22,13,0,27
11,43,23,8,12,24
12,27,17,10,0,20
13,22,15,7,0,18
14,25,13,12,0,20
15,31,23,8,0,26
16,41,32,9,0,25
17,25,16,9,0,20
18,28,10,18,0,19
19,33,18,15,0,18
20,15,9,6,0,13
21,33,24,9,0,22
22,23,14,9,0,18
23,17,13,4,0,16
24,28,16,12,0,20
25,17,15,2,0,14
26,21,12,9,0,19
27,40,19,21,0,22
28,24,15,9,0,18
29,33,14,19,0,23
30,22,17,5,0,16
31,37,19,18,0,23
32,47,25,22,0,25
33,22,11,11,0,17
34,27,16,11,0,20
35,26,14,12,0,18
36,18,7,11,0,16
37,27,11,13,3,19
38,29,15,14,0,25
39,38,26,12,0,24
40,27,18,9,0,18
41,45,31,14,0,28
42,36,16,20,0,20
43,17,10,7,0,15
44,32,21,11,0,24
45,37,18,19,0,30
46,35,23,12,0,22
47,27,12,15,0,19
48,19,16,3,0,18
49,29,19,10,0,20
50,35,23,12,0,25
51,36,28,8,0,23
52,40,29,11,0,25
53,31,18,13,0,21
54,19,12,7,0,15
55,20,11,9,0,14
56,32,16,16,0,20
57,34,23,11,0,27
58,29,20,9,0,22
59,19,12,7,0,18
60,33,17,16,0,20
61,21,12,9,0,17
62,29,15,14,0,16
63,40,19,21,0,24
64,19,11,8,0,14
65,26,16,10,0,15
66,23,10,13,0,19
67,29,15,14,0,20
68,23,17,6,0,20
69,23,13,10,0,19
70,31,20,11,0,21
71,34,20,14,0,23
72,26,21,5,0,18
73,27,19,8,0,16
74,40,14,26,0,26
75,29,11,18,0,18
76,21,10,11,0,14
77,26,20,6,0,19
78,37,22,15,0,22
79,33,16,17,0,17
80,32,15,17,0,20
81,33,24,9,0,23
82,24,14,10,0,16
83,39,24,15,0,30
84,36,27,9,0,31
85,37,19,18,0,26
86,31,27,4,0,25
87,28,19,9,0,18
88,41,31,10,0,30
89,28,15,13,0,21
90,23,18,5,0,18
91,21,6,15,0,15
92,27,18,9,0,18
93,27,11,16,0,19
94,39,23,16,0,23
95,27,15,12,0,23
96,15,10,5,0,13
97,20,10,10,0,18
98,31,19,12,0,23
99,27,17,10,0,20
100,32,22,10,0,20
101,35,11,24,0,26
102,26,15,11,0,22
103,30,19,11,0,21
104,17,10,7,0,15
105,30,10,20,0,22
106,24,18,6,0,17
107,36,20,16,0,30
108,22,14,8,0,19
109,35,26,9,0,29
110,31,20,11,0,22
111,35,22,13,0,25
112,35,29,6,0,21
113,24,13,11,0,16
114,37,20,17,0,29
115,24,16,8,0,17
116,42,19,23,0,22
117,36,21,15,0,27
118,33,19,14,0,25
119,33,20,13,0,25
120,16,7,9,0,12
121,30,16,14,0,25
122,30,20,10,0,24
123,32,24,8,0,22
124,33,17,16,0,21
