row_pos,masked_tokens_cpu_proxy,masked_source_tokens_cpu_proxy,masked_view_tokens_cpu_proxy,masked_other_tokens_cpu_proxy,selected_groups_cpu_proxy
0,22,14,8,0,18
1,39,23,16,0,25
2,36,19,17,0,23
3,20,12,8,0,16
4,24,13,11,0,20
5,28,19,9,0,20
6,25,9,16,0,21
7,23,16,7,0,20
8,17,13,4,0,16
9,32,17,15,0,24
10,39,22,17,0,27
11,31,23,8,0,24
12,25,17,8,0,20
13,19,15,4,0,18
14,26,13,13,0,20
15,30,23,7,0,26
16,43,32,11,0,25
17,23,16,7,0,20
18,25,10,15,0,19
19,34,18,16,0,18
20,14,9,5,0,13
21,30,24,6,0,22
22,22,14,8,0,18
23,17,13,4,0,16
24,26,16,10,0,20
25,17,15,2,0,14
26,20,12,8,0,19
27,33,19,14,0,22
28,22,15,7,0,18
29,31,14,17,0,23
30,22,17,5,0,16
31,30,19,11,0,23
32,45,25,20,0,25
33,21,11,10,0,17
34,27,16,11,0,20
35,24,14,10,0,18
36,19,9,10,0,16
37,26,13,13,0,19
38,32,19,13,0,26
39,32,24,8,0,23
40,20,12,8,0,18
41,35,24,11,0,28
42,43,23,20,0,21
43,20,13,7,0,15
44,27,16,11,0,23
45,34,20,14,0,30
46,29,22,7,0,22
47,25,12,13,0,19
48,20,15,5,0,18
49,28,15,13,0,21
50,31,25,6,0,24
51,30,23,7,0,24
52,31,21,10,0,24
53,33,24,9,0,21
54,18,10,8,0,16
55,15,8,7,0,13
56,27,10,17,0,20
57,36,24,12,0,27
58,30,21,9,0,22
59,21,11,10,0,18
60,31,17,14,0,20
61,23,15,8,0,17
62,23,11,12,0,17
63,33,14,19,0,23
64,19,12,7,0,14
65,23,13,10,0,15
66,23,14,9,0,19
67,23,14,9,0,20
68,23,18,5,0,20
69,26,15,11,0,19
70,25,11,14,0,22
71,28,20,8,0,22
72,26,22,4,0,18
73,22,12,10,0,16
74,31,19,12,0,26
75,20,10,10,0,18
76,21,13,8,0,14
77,26,19,7,0,19
78,26,15,11,0,22
79,26,16,10,0,17
80,26,10,16,0,20
81,33,22,11,0,23
82,21,13,8,0,16
83,47,31,16,0,31
84,39,29,10,0,30
85,43,31,12,0,26
86,32,28,4,0,25
87,25,15,10,0,18
88,37,23,14,0,30
89,24,13,11,0,21
90,28,20,8,0,18
91,21,8,13,0,15
92,23,14,9,0,18
93,21,6,15,0,19
94,36,28,8,0,23
95,30,17,13,0,23
96,19,15,4,0,13
97,21,11,10,0,18
98,29,18,11,0,23
99,21,14,7,0,20
100,28,18,10,0,20
101,29,12,17,0,26
102,31,24,7,0,22
103,29,19,10,0,21
104,17,12,5,0,15
105,32,16,16,0,22
106,23,14,9,0,17
107,39,26,13,0,30
108,23,13,10,0,20
109,40,23,11,6,28
110,26,18,8,0,22
111,29,20,9,0,25
112,32,19,13,0,21
113,24,14,10,0,16
114,46,25,21,0,30
115,19,13,6,0,16
116,32,13,19,0,22
117,37,24,13,0,28
118,28,18,10,0,24
119,28,18,10,0,25
120,26,8,18,0,13
121,30,16,14,0,24
122,38,26,12,0,25
123,27,20,7,0,22
124,35,26,9,0,20
125,34,26,8,0,27
126,23,17,6,0,18
127,30,25,5,0,24
128,23,17,6,0,20
129,21,11,10,0,19
130,30,17,13,0,19
131,25,16,9,0,20
132,46,30,16,0,24
133,23,17,6,0,18
134,16,12,4,0,14
135,24,18,6,0,22
136,21,16,5,0,18
137,24,15,9,0,19
138,28,20,8,0,22
139,23,13,10,0,22
140,29,18,11,0,19
141,31,20,11,0,21
142,26,21,5,0,18
143,23,13,10,0,19
144,28,17,11,0,20
145,18,11,7,0,14
146,21,13,8,0,19
147,19,14,5,0,19
148,24,21,3,0,14
149,38,22,16,0,32
150,25,17,8,0,18
151,21,7,14,0,17
152,18,12,6,0,15
153,13,10,3,0,10
154,25,13,12,0,19
155,19,12,7,0,17
156,28,15,13,0,22
157,36,19,17,0,21
158,21,9,12,0,15
159,20,9,11,0,17
160,20,12,8,0,17
161,26,17,9,0,22
162,20,13,7,0,17
163,29,17,12,0,20
164,30,20,10,0,23
165,36,27,9,0,27
166,29,22,7,0,25
167,26,15,11,0,22
168,18,10,8,0,17
169,25,13,12,0,22
170,24,13,11,0,19
171,24,19,5,0,21
172,29,20,9,0,22
173,22,9,13,0,18
174,37,28,9,0,27
175,22,13,9,0,19
176,34,20,14,0,19
177,27,11,16,0,19
178,26,14,12,0,22
179,20,13,7,0,18
180,28,17,11,0,26
181,27,18,9,0,19
182,28,17,11,0,23
183,33,20,13,0,23
184,31,16,15,0,25
185,23,9,14,0,18
186,53,37,16,0,31
187,25,17,8,0,21
188,22,13,9,0,15
189,21,11,10,0,18
190,20,13,7,0,13
191,41,19,22,0,29
192,24,16,8,0,21
193,26,21,5,0,20
194,38,17,21,0,26
195,33,23,10,0,18
196,16,8,8,0,16
197,32,21,11,0,26
198,31,19,12,0,20
199,36,15,21,0,20
200,46,29,17,0,32
201,49,33,16,0,28
202,31,17,14,0,26
203,22,18,4,0,15
204,15,10,5,0,14
205,38,21,17,0,25
206,31,17,14,0,24
207,31,17,14,0,22
208,25,10,15,0,19
209,25,15,10,0,18
210,25,18,7,0,18
211,23,10,13,0,20
212,31,18,13,0,26
213,29,20,9,0,22
214,27,18,9,0,26
215,29,20,9,0,20
216,28,22,6,0,19
217,35,28,7,0,24
218,29,16,13,0,19
219,23,16,7,0,21
220,45,33,12,0,28
221,23,20,3,0,19
222,35,21,14,0,21
223,17,13,4,0,11
224,27,18,9,0,15
225,22,12,10,0,17
226,27,17,10,0,23
227,34,14,20,0,21
228,21,13,8,0,17
229,34,23,11,0,25
230,29,18,11,0,22
231,32,24,8,0,26
232,23,12,11,0,18
233,28,20,8,0,22
234,24,17,7,0,22
235,27,20,7,0,19
236,21,14,7,0,18
237,21,17,4,0,18
238,27,13,14,0,17
239,32,24,8,0,28
240,39,28,11,0,32
241,26,13,13,0,16
242,34,22,12,0,22
243,35,21,14,0,30
244,25,10,15,0,19
245,17,10,7,0,17
246,24,13,11,0,22
247,32,23,9,0,29
248,31,19,12,0,16
249,35,22,13,0,31
250,23,15,8,0,21
251,24,14,10,0,15
252,34,23,11,0,23
253,21,16,5,0,18
254,28,25,3,0,20
255,31,19,12,0,21
256,22,12,10,0,18
257,27,17,10,0,23
258,22,14,8,0,20
259,21,14,7,0,14
260,32,24,8,0,23
261,31,19,12,0,23
262,30,21,9,0,24
263,30,21,9,0,22
264,26,9,17,0,15
265,39,29,10,0,26
266,19,10,9,0,14
267,13,7,6,0,13
268,25,18,7,0,17
269,26,17,9,0,16
270,27,21,6,0,19
271,25,17,8,0,19
272,18,12,6,0,12
273,25,9,16,0,18
274,23,11,12,0,16
275,36,22,14,0,28
276,36,23,13,0,26
277,19,14,5,0,16
278,27,15,12,0,22
279,32,22,10,0,21
280,26,13,13,0,19
281,22,15,7,0,19
282,27,15,12,0,22
283,41,26,15,0,30
284,31,20,11,0,24
285,37,23,14,0,20
286,27,14,13,0,21
287,25,17,8,0,20
288,21,8,13,0,14
289,26,20,6,0,19
290,34,12,22,0,24
291,23,16,7,0,17
292,26,21,5,0,22
293,27,19,8,0,18
294,30,21,9,0,23
295,24,18,6,0,18
296,35,30,5,0,24
297,32,23,9,0,22
298,26,19,7,0,19
299,26,11,15,0,22
300,29,14,15,0,21
301,41,22,19,0,28
302,26,18,8,0,20
303,26,15,11,0,21
304,31,23,8,0,17
305,30,21,9,0,23
306,28,19,9,0,26
307,32,13,19,0,21
308,29,18,11,0,23
309,33,21,12,0,27
310,32,12,20,0,23
311,35,24,11,0,18
312,31,18,13,0,25
313,29,13,16,0,20
314,21,14,7,0,16
315,22,15,7,0,15
316,17,10,7,0,15
317,26,19,7,0,20
318,27,20,7,0,16
319,31,21,10,0,22
320,29,18,11,0,24
321,19,9,10,0,16
322,31,19,12,0,23
323,31,20,11,0,19
324,24,11,13,0,17
325,25,14,11,0,19
326,40,18,22,0,25
327,21,13,8,0,17
328,28,16,12,0,21
329,26,20,6,0,20
330,30,23,7,0,22
331,29,20,9,0,18
332,29,14,15,0,21
333,36,20,16,0,22
334,19,10,9,0,16
335,41,27,14,0,28
336,36,23,13,0,26
337,12,7,5,0,8
338,36,20,16,0,26
339,35,22,13,0,25
340,39,27,12,0,29
341,31,24,7,0,23
342,24,6,18,0,16
343,28,19,9,0,21
344,43,31,12,0,33
345,33,18,15,0,24
346,25,17,8,0,15
347,37,20,17,0,24
348,27,13,14,0,22
349,22,13,9,0,19
350,15,10,5,0,12
351,30,25,5,0,17
352,34,19,15,0,27
353,17,13,4,0,15
354,13,8,5,0,12
355,35,19,16,0,23
356,28,21,7,0,18
357,38,21,17,0,29
358,36,25,11,0,28
359,40,29,11,0,28
360,38,22,16,0,25
361,37,17,20,0,30
362,52,30,22,0,27
363,34,15,19,0,23
364,34,20,14,0,24
365,41,33,8,0,27
366,37,22,15,0,26
367,23,12,11,0,20
368,32,15,17,0,20
369,31,14,17,0,21
370,22,15,7,0,16
371,33,18,15,0,21
372,35,24,11,0,18
373,26,18,8,0,22
374,25,14,11,0,20
375,22,14,8,0,21
376,39,24,15,0,22
377,32,19,13,0,28
378,23,21,2,0,17
379,32,22,10,0,17
380,35,22,13,0,24
381,38,22,16,0,28
382,30,16,14,0,22
383,28,19,9,0,20
384,28,17,11,0,21
385,34,20,14,0,22
386,18,13,5,0,13
387,25,12,13,0,20
388,40,27,13,0,31
389,23,13,10,0,19
390,25,14,11,0,21
391,46,31,15,0,33
392,39,24,15,0,20
393,38,25,13,0,23
394,32,20,12,0,26
395,32,22,10,0,21
396,24,13,11,0,18
397,30,13,17,0,28
398,22,12,10,0,19
399,32,21,11,0,24
400,26,17,9,0,20
401,12,10,2,0,9
402,28,21,7,0,26
403,18,13,5,0,14
404,33,23,10,0,21
405,30,16,14,0,25
406,34,19,15,0,22
407,29,16,13,0,22
408,24,18,6,0,19
409,18,9,9,0,15
410,39,25,14,0,29
411,23,11,12,0,17
412,20,11,9,0,16
413,20,13,7,0,18
414,22,9,13,0,16
415,24,15,9,0,19
416,18,10,8,0,16
417,40,16,24,0,23
418,23,17,6,0,17
419,42,32,10,0,30
420,26,20,6,0,14
421,35,19,16,0,24
422,23,15,8,0,18
423,25,18,7,0,20
424,25,13,12,0,20
425,40,30,10,0,28
426,44,32,12,0,31
427,36,17,19,0,28
428,30,19,11,0,24
429,21,9,12,0,18
430,40,24,16,0,30
431,30,14,16,0,20
432,33,25,8,0,22
433,24,13,11,0,17
434,35,30,5,0,21
435,35,23,12,0,26
436,19,12,7,0,17
437,23,16,7,0,20
438,25,20,5,0,17
439,34,16,18,0,25
440,33,22,11,0,19
441,32,21,11,0,24
442,36,20,12,4,20
443,22,12,10,0,16
444,22,15,7,0,18
445,24,11,13,0,22
446,33,19,14,0,25
447,36,21,15,0,25
448,24,17,7,0,19
449,33,21,12,0,29
450,37,22,15,0,24
451,37,23,14,0,21
452,30,21,9,0,23
453,33,22,11,0,27
454,31,23,8,0,22
455,22,18,4,0,17
456,21,11,10,0,18
457,26,18,8,0,18
458,19,9,10,0,17
459,24,16,8,0,19
460,30,19,11,0,25
461,35,21,14,0,28
462,31,14,17,0,18
463,24,15,9,0,20
464,23,10,13,0,16
465,32,24,8,0,18
466,24,11,13,0,23
467,31,18,13,0,22
468,35,25,10,0,26
469,28,20,8,0,23
470,26,20,6,0,20
471,33,25,8,0,26
472,40,32,8,0,27
473,34,19,15,0,25
474,24,15,9,0,19
475,27,17,10,0,21
476,22,13,9,0,21
477,34,21,13,0,22
478,21,11,10,0,19
479,45,33,12,0,26
480,30,15,15,0,20
481,37,19,18,0,23
482,38,28,10,0,28
483,28,19,9,0,24
484,24,19,5,0,15
485,19,16,3,0,17
486,27,20,7,0,22
487,20,12,8,0,12
488,31,27,4,0,23
489,26,13,13,0,18
490,41,33,8,0,28
491,17,10,7,0,13
492,31,19,12,0,27
493,20,8,12,0,18
494,44,27,17,0,24
495,31,16,15,0,27
496,33,18,15,0,25
497,25,16,9,0,18
498,29,21,8,0,24
499,44,27,17,0,37
500,18,12,6,0,15
501,26,13,13,0,20
502,40,24,16,0,23
503,45,28,17,0,30
504,24,14,10,0,21
505,24,19,5,0,17
506,40,29,11,0,26
507,32,21,11,0,23
508,34,28,6,0,18
509,33,16,17,0,29
510,28,21,7,0,22
511,27,20,7,0,20
512,30,23,7,0,22
513,28,22,6,0,18
