row_pos,masked_tokens_cpu_proxy,masked_source_tokens_cpu_proxy,masked_view_tokens_cpu_proxy,masked_other_tokens_cpu_proxy,selected_groups_cpu_proxy
0,24,14,10,0,18
1,40,23,17,0,25
2,36,19,17,0,23
3,20,12,8,0,16
4,24,13,11,0,20
5,29,19,10,0,20
6,29,9,20,0,21
7,24,16,8,0,20
8,21,13,8,0,16
9,34,17,17,0,24
10,38,22,16,0,27
11,39,23,16,0,24
12,27,17,10,0,20
13,21,15,6,0,18
14,27,13,14,0,20
15,33,23,10,0,26
16,45,32,13,0,25
17,26,16,10,0,20
18,26,10,16,0,19
19,30,18,12,0,18
20,16,9,7,0,13
21,34,24,10,0,22
22,26,14,12,0,18
23,17,13,4,0,16
24,30,16,14,0,20
25,18,15,3,0,14
26,25,12,13,0,19
27,35,19,16,0,22
28,26,15,11,0,18
29,39,14,25,0,23
30,22,17,5,0,16
31,39,19,20,0,23
32,41,25,16,0,25
33,23,11,12,0,17
34,31,16,15,0,20
35,29,14,15,0,18
36,19,7,12,0,16
37,22,11,11,0,19
38,31,15,16,0,25
39,38,26,12,0,24
40,27,18,9,0,18
41,43,31,12,0,28
42,34,16,18,0,20
43,18,10,8,0,15
44,34,21,13,0,24
45,33,18,15,0,30
46,31,23,8,0,22
47,24,12,12,0,19
48,19,16,3,0,18
49,33,19,14,0,20
50,35,23,12,0,25
51,33,28,5,0,23
52,46,29,17,0,25
53,34,18,16,0,21
54,17,12,5,0,15
55,19,11,8,0,14
56,30,16,14,0,20
57,39,23,16,0,27
58,37,20,17,0,22
59,23,12,11,0,18
60,29,17,12,0,20
61,22,12,10,0,17
62,28,15,13,0,16
63,35,19,16,0,24
64,17,11,6,0,14
65,26,16,10,0,15
66,28,10,18,0,19
67,27,15,12,0,20
68,24,17,7,0,20
69,21,13,8,0,19
70,30,20,10,0,21
71,27,20,7,0,23
72,29,21,8,0,18
73,31,19,12,0,16
74,29,14,15,0,26
75,30,11,19,0,18
76,18,10,8,0,14
77,28,20,8,0,19
78,35,22,13,0,22
79,34,16,18,0,17
80,33,15,18,0,20
81,33,24,9,0,23
82,22,14,8,0,16
83,40,24,16,0,30
84,35,27,8,0,31
85,37,19,18,0,26
86,32,27,5,0,25
87,32,19,13,0,18
88,44,31,13,0,30
89,26,15,11,0,21
90,25,18,7,0,18
91,26,6,20,0,15
92,27,18,9,0,18
93,25,11,14,0,19
94,37,23,14,0,23
95,28,15,13,0,23
96,14,10,4,0,13
97,21,10,11,0,18
98,31,19,12,0,23
99,27,17,10,0,20
100,33,22,11,0,20
101,32,11,21,0,26
102,28,15,13,0,22
103,28,19,9,0,21
104,16,10,6,0,15
105,30,10,20,0,22
106,26,18,8,0,17
107,37,20,17,0,30
108,25,14,11,0,19
109,43,26,17,0,29
110,33,20,13,0,22
