row_pos,masked_tokens_cpu_proxy,masked_source_tokens_cpu_proxy,masked_view_tokens_cpu_proxy,masked_other_tokens_cpu_proxy,selected_groups_cpu_proxy
259,24,8,16,0,15
260,35,24,11,0,22
261,28,15,13,0,22
262,30,18,12,0,25
263,24,18,6,0,18
264,30,22,8,0,17
265,43,26,17,0,28
266,14,7,7,0,9
267,28,16,12,0,17
268,27,19,8,0,17
269,22,8,14,0,15
270,27,14,13,0,18
271,28,23,5,0,21
272,13,6,7,0,10
273,25,16,9,0,19
274,21,17,4,0,15
275,51,32,19,0,27
276,28,16,12,0,25
277,27,12,15,0,17
278,35,26,9,0,21
279,33,20,13,0,26
280,25,21,4,0,18
281,26,17,9,0,18
282,26,13,13,0,22
283,36,25,11,0,27
284,37,21,16,0,27
285,28,22,6,0,22
286,24,15,9,0,20
287,26,20,6,0,16
288,21,13,8,0,19
289,22,8,14,0,16
290,38,19,19,0,27
291,24,15,9,0,19
292,22,8,14,0,19
293,31,14,17,0,22
294,28,17,11,0,20
295,26,18,8,0,17
296,32,22,10,0,20
297,32,21,11,0,27
298,25,14,11,0,19
299,23,13,10,0,21
300,30,19,11,0,22
301,33,24,9,0,24
302,36,23,13,0,25
303,29,21,8,0,19
304,24,11,13,0,17
305,32,23,9,0,24
306,28,17,11,0,24
307,26,14,12,0,21
308,40,21,19,0,28
309,32,23,9,0,22
310,32,21,11,0,26
311,26,20,6,0,17
312,29,19,10,0,23
313,27,17,10,0,20
314,28,18,10,0,17
315,19,8,11,0,12
316,23,16,7,0,16
317,26,14,12,0,22
318,33,27,6,0,17
319,26,16,10,0,20
320,30,17,13,0,24
321,25,16,9,0,20
322,28,17,11,0,19
323,23,16,7,0,19
324,22,10,12,0,16
325,33,11,22,0,21
326,38,25,13,0,25
327,18,13,5,0,17
328,31,24,7,0,22
329,31,21,10,0,25
330,20,15,5,0,14
331,29,17,12,0,22
332,36,16,20,0,18
333,37,28,9,0,22
334,22,13,9,0,17
335,43,22,21,0,29
336,33,19,14,0,22
337,13,7,6,0,9
338,34,20,14,0,25
339,41,30,11,0,33
340,39,23,16,0,23
341,27,16,11,0,22
342,27,19,8,0,17
343,33,18,15,0,22
344,38,29,9,0,32
345,27,19,8,0,24
346,29,15,14,0,17
347,41,21,20,0,23
348,32,19,13,0,22
349,18,10,8,0,15
350,20,10,10,0,16
351,32,20,12,0,16
352,33,16,17,0,27
353,23,17,6,0,17
354,19,5,14,0,11
355,34,16,18,0,20
356,42,24,18,0,21
357,36,23,13,0,29
358,40,20,20,0,29
359,32,25,7,0,26
360,34,22,12,0,25
361,37,22,15,0,30
362,46,32,14,0,27
363,37,23,14,0,26
364,45,29,16,0,26
365,42,27,15,0,28
366,31,18,13,0,22
367,25,14,11,0,22
368,25,13,12,0,16
369,24,13,11,0,19
370,25,15,10,0,18
371,29,18,11,0,21
372,31,21,10,0,21
373,27,19,8,0,24
374,24,17,7,0,15
375,25,15,10,0,22
376,39,27,12,0,21
377,29,20,9,0,26
378,29,19,10,0,17
379,29,15,14,0,22
380,32,22,10,0,21
381,44,26,18,0,29
382,29,16,13,0,22
383,28,16,12,0,21
384,29,21,8,0,20
385,28,17,11,0,22
386,17,13,4,0,14
387,30,18,12,0,20
388,43,31,12,0,31
389,23,15,8,0,18
390,31,16,15,0,23
391,52,30,22,0,35
392,24,13,11,0,19
393,29,20,9,0,21
394,27,20,7,0,23
395,26,14,12,0,20
396,26,16,10,0,19
397,34,16,18,0,30
398,25,13,12,0,18
399,42,20,22,0,26
400,22,13,9,0,16
401,16,10,6,0,13
402,29,16,13,0,24
403,25,24,1,0,12
404,37,19,18,0,25
405,30,15,15,0,24
406,33,19,14,0,23
407,26,16,10,0,19
