row_pos,masked_tokens_cpu_proxy,masked_source_tokens_cpu_proxy,masked_view_tokens_cpu_proxy,masked_other_tokens_cpu_proxy,selected_groups_cpu_proxy
259,16,11,5,0,13
260,37,22,15,0,25
261,32,27,5,0,21
262,31,21,10,0,25
263,26,16,10,0,21
264,19,7,12,0,17
265,32,25,7,0,24
266,22,14,8,0,14
267,20,7,13,0,14
268,25,14,11,0,18
269,22,17,5,0,15
270,20,10,10,0,19
271,22,17,5,0,19
272,17,13,4,0,11
273,31,16,15,0,20
274,26,14,12,0,15
275,36,19,17,0,28
276,29,17,12,0,26
277,17,12,5,0,15
278,31,16,15,0,22
279,30,26,4,0,21
280,38,23,15,0,21
281,20,9,11,0,19
282,22,12,10,0,21
283,36,22,14,0,30
284,31,20,11,0,24
285,26,21,5,0,19
286,33,27,6,0,23
287,38,24,14,0,19
288,20,8,12,0,15
289,19,14,5,0,17
290,29,19,10,0,25
291,27,21,6,0,20
292,26,11,15,0,20
293,21,12,9,0,19
294,33,15,18,0,23
295,21,17,4,0,16
296,29,17,12,0,24
297,28,16,12,0,23
298,21,11,10,0,17
299,30,21,9,0,23
300,29,19,10,0,20
301,38,28,10,0,28
302,30,18,12,0,23
303,30,13,17,0,20
304,27,16,11,0,16
305,32,21,11,0,25
306,28,16,12,0,24
307,26,14,12,0,21
308,28,19,9,0,25
309,37,19,18,0,26
310,22,12,10,0,21
311,24,18,6,0,19
312,31,21,10,0,25
313,31,19,12,0,21
314,21,6,15,0,17
315,18,12,6,0,13
316,27,15,12,0,15
317,23,19,4,0,20
318,24,12,12,0,17
319,25,15,10,0,20
320,32,24,8,0,25
321,20,12,8,0,17
322,32,21,11,0,21
323,30,19,11,0,19
324,25,16,9,0,18
325,27,15,12,0,20
326,40,23,17,0,27
327,17,9,8,0,14
328,32,19,13,0,22
329,22,15,7,0,21
330,24,20,4,0,19
331,31,21,10,0,20
332,31,17,14,0,19
333,32,20,12,0,22
334,32,11,21,0,18
335,41,27,14,0,26
336,39,23,16,0,26
337,12,7,5,0,10
338,27,15,12,0,24
339,39,19,20,0,29
340,28,15,13,0,26
341,28,22,6,0,22
342,26,14,12,0,17
343,23,16,7,0,20
344,43,32,11,0,34
345,42,35,7,0,24
346,30,18,12,0,15
347,33,24,9,0,24
348,36,25,11,0,24
349,19,11,8,0,16
350,15,11,4,0,12
351,28,16,12,0,19
352,32,20,12,0,27
353,15,11,4,0,14
354,20,15,5,0,13
355,31,17,14,0,21
356,29,17,12,0,18
357,31,17,14,0,29
358,42,34,8,0,29
359,35,21,14,0,30
360,43,26,17,0,23
361,33,25,8,0,29
362,42,25,17,0,28
363,25,16,9,0,23
364,30,16,14,0,24
365,33,21,12,0,28
366,39,28,11,0,25
367,21,12,9,0,19
368,32,18,14,0,20
369,34,20,14,0,22
370,20,9,11,0,16
371,28,14,14,0,22
372,35,26,9,0,17
373,26,15,11,0,24
374,29,21,8,0,19
375,28,14,14,0,20
376,28,15,13,0,21
377,41,21,20,0,29
378,19,13,6,0,17
379,18,14,4,0,16
380,42,24,18,0,26
381,40,16,24,0,27
382,27,18,9,0,23
383,22,18,4,0,18
384,30,19,11,0,22
385,35,17,18,0,23
386,19,9,10,0,14
387,29,25,4,0,17
388,49,33,16,0,34
389,23,14,9,0,16
390,30,16,14,0,23
391,45,31,14,0,32
392,33,21,12,0,21
393,34,17,17,0,21
394,31,23,8,0,26
395,28,17,11,0,22
396,18,11,7,0,17
397,36,20,16,0,29
398,18,13,5,0,18
399,39,25,14,0,26
400,22,15,7,0,18
401,12,8,4,0,11
402,30,22,8,0,25
403,15,7,8,0,13
404,29,19,10,0,22
405,33,24,9,0,26
406,35,25,10,0,20
407,33,19,14,0,23
408,22,15,7,0,20
409,20,12,8,0,15
410,40,28,12,0,29
411,19,9,10,0,16
412,20,10,10,0,15
413,21,18,3,0,18
414,23,11,12,0,17
415,24,13,11,0,19
416,18,12,6,0,16
417,36,19,17,0,23
418,20,14,6,0,17
419,45,29,16,0,32
420,12,7,5,0,12
421,33,26,7,0,24
422,24,13,11,0,19
423,22,13,9,0,18
424,31,20,11,0,21
425,32,21,11,0,29
426,39,23,16,0,32
427,32,18,14,0,25
428,37,25,12,0,26
429,23,14,9,0,16
430,49,36,13,0,30
431,25,18,7,0,20
432,26,14,12,0,23
433,29,11,18,0,17
434,41,31,10,0,22
435,36,21,15,0,25
436,19,10,9,0,17
437,29,23,6,0,20
438,24,16,8,0,17
439,37,19,18,0,25
440,31,21,10,0,21
441,39,31,8,0,22
442,27,15,12,0,19
443,21,15,6,0,16
444,33,27,6,0,18
445,29,19,10,0,24
446,30,20,10,0,25
447,33,17,16,0,24
448,22,17,5,0,18
449,43,23,20,0,30
450,36,21,15,0,24
451,27,12,15,0,23
452,30,22,8,0,22
453,40,29,11,0,25
454,32,24,8,0,23
455,24,14,10,0,16
456,26,12,14,0,20
457,23,21,2,0,17
458,23,14,9,0,16
459,26,16,10,0,22
460,28,14,14,0,23
461,32,26,6,0,27
462,26,20,6,0,18
463,27,22,5,0,21
464,24,13,11,0,17
465,23,16,7,0,16
466,29,19,10,0,25
467,36,20,16,0,24
468,31,23,8,0,22
469,28,16,12,0,25
470,24,14,10,0,19
471,42,39,3,0,27
472,44,35,9,0,25
473,36,22,14,0,27
474,20,16,4,0,17
475,30,20,10,0,22
476,31,13,18,0,22
477,28,13,15,0,21
478,28,14,14,0,20
479,39,26,13,0,25
480,30,16,14,0,21
481,32,18,14,0,22
482,36,27,9,0,29
483,38,21,17,0,25
484,17,8,9,0,15
485,17,10,7,0,15
486,33,24,9,0,22
487,26,16,10,0,13
488,30,24,6,0,21
489,26,13,13,0,20
490,32,21,11,0,26
491,20,14,6,0,13
492,38,25,13,0,30
493,18,4,14,0,17
494,47,12,35,0,23
495,37,24,13,0,29
496,34,19,15,0,23
497,26,17,9,0,19
498,35,25,10,0,25
499,43,28,15,0,36
500,20,9,11,0,14
501,26,17,9,0,20
502,46,33,13,0,24
503,46,22,24,0,29
504,38,24,14,0,21
505,22,14,8,0,17
506,36,21,15,0,28
507,24,10,14,0,21
508,37,27,10,0,18
509,44,24,20,0,30
510,23,14,9,0,21
511,26,19,7,0,19
512,35,21,14,0,22
513,33,18,15,0,19
514,32,24,8,0,25
515,46,32,14,0,30
516,24,12,12,0,20
517,31,12,19,0,25
518,34,17,17,0,26
519,38,18,20,0,24
520,22,17,5,0,19
521,20,10,10,0,15
522,32,22,10,0,23
523,22,8,14,0,17
524,15,9,6,0,10
525,27,15,12,0,20
526,29,15,14,0,23
527,27,16,11,0,23
528,39,24,15,0,23
529,27,21,6,0,19
530,33,15,18,0,29
531,46,29,17,0,24
532,24,14,10,0,15
533,26,11,15,0,17
534,29,22,7,0,13
535,27,16,11,0,24
536,32,24,8,0,20
537,21,11,10,0,20
538,32,20,12,0,21
539,37,22,15,0,27
540,32,17,15,0,19
541,20,15,5,0,12
542,24,20,4,0,16
543,25,10,15,0,18
544,18,8,10,0,16
545,32,22,10,0,21
546,22,16,6,0,15
547,30,14,16,0,19
548,41,28,13,0,29
549,32,23,9,0,24
550,23,17,6,0,19
