task_group,exposure_m,seed43022,seed43122,gap_43122_minus_43022
blimp_worst,1,47.55,40.55,-7.0
blimp_worst,10,40.1,42.25,2.1499999999999986
blimp_worst,40,46.45,45.15,-1.3000000000000043
blimp_worst,100,57.15,43.1,-14.049999999999997
blimp_control,1,58.5625,66.5,7.9375
blimp_control,10,55.875,57.5625,1.6875
blimp_control,40,55.5625,56.625,1.0625
blimp_control,100,51.75,61.8125,10.0625
supplement_all,1,56.4,50.4,-6.0
supplement_all,10,57.6,54.4,-3.200000000000003
supplement_all,40,60.8,63.2,2.4000000000000057
supplement_all,100,66.4,63.2,-3.200000000000003
ewok_all,1,50.18181818181818,50.63636363636363,0.45454545454545325
ewok_all,10,49.81818181818182,49.81818181818182,0.0
ewok_all,40,52.18181818181818,49.72727272727273,-2.4545454545454533
ewok_all,100,53.09090909090909,49.36363636363637,-3.7272727272727266
entity_full,1,16.257791595937697,16.878068700725205,0.6202771047875082
entity_full,10,17.219813131360826,15.886104986822374,-1.333708144538452
entity_full,40,26.42549505118535,23.52253463669688,-2.902960414488472
entity_full,100,27.745741097952372,26.285338959270963,-1.4604021386814097
