family,arch,seed,group,contrast,n,n_checkpoints,late_mean_delta_mean_gain_a_minus_b
rewrite,D,43022,ALL,CminusR,5892,3,0.43116012648650887
rewrite,D,43022,ALL,RminusC,5892,3,-0.43116012648650887
rewrite,D,43022,token_nonoverlap,CminusR,2732,3,0.03127240654897667
rewrite,D,43022,token_nonoverlap,RminusC,2732,3,-0.03127240654897667
rewrite,D,43022,token_overlap,CminusR,3160,3,0.7768858387869321
rewrite,D,43022,token_overlap,RminusC,3160,3,-0.7768858387869321
