family,arch,seed,group,contrast,n,n_checkpoints,late_mean_delta_mean_gain_a_minus_b
copy,D,43022,ALL,CminusR,2000,3,0.2005041727565402
copy,D,43022,ALL,RminusC,2000,3,-0.2005041727565402
copy,D,43022,domain_bnc_spoken,CminusR,180,3,0.40618984883810666
copy,D,43022,domain_bnc_spoken,RminusC,180,3,-0.40618984883810666
copy,D,43022,domain_childes,CminusR,642,3,0.08522396506610397
copy,D,43022,domain_childes,RminusC,642,3,-0.08522396506610397
copy,D,43022,domain_gutenberg,CminusR,468,3,0.2307877979895617
copy,D,43022,domain_gutenberg,RminusC,468,3,-0.2307877979895617
copy,D,43022,domain_open_subtitles,CminusR,434,3,0.39246525368858026
copy,D,43022,domain_open_subtitles,RminusC,434,3,-0.39246525368858026
copy,D,43022,domain_simple_wiki,CminusR,272,3,-0.021419886165122026
copy,D,43022,domain_simple_wiki,RminusC,272,3,0.021419886165122026
copy,D,43022,domain_switchboard,CminusR,4,3,0.16699665668420494
copy,D,43022,domain_switchboard,RminusC,4,3,-0.16699665668420494
copy,D,43022,span_1,CminusR,1000,3,0.25529166354765787
copy,D,43022,span_1,RminusC,1000,3,-0.25529166354765787
copy,D,43022,span_4,CminusR,1000,3,0.1457166819654224
copy,D,43022,span_4,RminusC,1000,3,-0.1457166819654224
