family,arch,arm_a,arm_b,checkpoint,seed,group,contrast,n,delta_mean_margin_full_a_minus_b,delta_mean_effect_no_initial_qbox_a_minus_b,delta_mean_effect_no_last_relevant_update_a_minus_b,delta_mean_effect_no_all_relevant_updates_a_minus_b,mean_effect_no_all_relevant_updates_a,mean_effect_no_all_relevant_updates_b,mean_effect_no_initial_qbox_a,mean_effect_no_initial_qbox_b,mean_effect_no_last_relevant_update_a,mean_effect_no_last_relevant_update_b,mean_margin_full_a,mean_margin_full_b
entity_ablation,D,D_RS_43022,D_C_43022,chck_100M,43022,ALL,RminusC,1221,-0.4555116840115734,0.4641611937320594,0.061277761268234976,0.7542970991776576,-1.0639195594079274,-1.818216658585585,0.6449973295693706,0.18083613583731123,-0.4704169386556947,-0.5316946999239297,-0.013258239841675973,0.4422534441698974
entity_ablation,D,D_C_43022,D_RS_43022,chck_100M,43022,ALL,CminusR,1221,0.4555116840115734,-0.4641611937320594,-0.061277761268234976,-0.7542970991776576,-1.818216658585585,-1.0639195594079274,0.18083613583731123,0.6449973295693706,-0.5316946999239297,-0.4704169386556947,0.4422534441698974,-0.013258239841675973
entity_ablation,D,D_RS_43022,D_C_43022,chck_100M,43022,rel_ge2,RminusC,1205,-0.4523740056144746,0.458575927172459,0.06870978457922755,0.7709310390086095,-1.0789044413390991,-1.8498354803477086,0.6332560394314809,0.17468011225902194,-0.4775212878631853,-0.5462310724424129,-0.011974732992065399,0.4403992726224092
entity_ablation,D,D_C_43022,D_RS_43022,chck_100M,43022,rel_ge2,CminusR,1205,0.4523740056144746,-0.458575927172459,-0.06870978457922755,-0.7709310390086095,-1.8498354803477086,-1.0789044413390991,0.17468011225902194,0.6332560394314809,-0.5462310724424129,-0.4775212878631853,0.4403992726224092,-0.011974732992065399
entity_ablation,D,D_RS_43022,D_C_43022,chck_100M,43022,rel_ge3,RminusC,716,-0.4779557354706625,0.5757500114304392,0.06734699166936586,0.9863057702561249,-1.237436201662741,-2.223741971918866,0.6574810398274293,0.08173102839699005,-0.4574202831688873,-0.5247672748382531,0.18868135296682406,0.6666370884374866
entity_ablation,D,D_C_43022,D_RS_43022,chck_100M,43022,rel_ge3,CminusR,716,0.4779557354706625,-0.5757500114304392,-0.06734699166936586,-0.9863057702561249,-2.223741971918866,-1.237436201662741,0.08173102839699005,0.6574810398274293,-0.5247672748382531,-0.4574202831688873,0.6666370884374866,0.18868135296682406
entity_ablation,D,D_RS_43022,D_C_43022,chck_100M,43022,rel_updates_1,RminusC,16,-0.6918180882930756,0.8848015815019608,-0.4984464943408966,-0.4984464943408966,0.06462936103343964,0.5630758553743362,1.5292632430791855,0.6444616615772247,0.06462936103343964,0.5630758553743362,-0.10992234945297241,0.5818957388401031
entity_ablation,D,D_C_43022,D_RS_43022,chck_100M,43022,rel_updates_1,CminusR,16,0.6918180882930756,-0.8848015815019608,0.4984464943408966,0.4984464943408966,0.5630758553743362,0.06462936103343964,0.6444616615772247,1.5292632430791855,0.5630758553743362,0.06462936103343964,0.5818957388401031,-0.10992234945297241
entity_ablation,D,D_RS_43022,D_C_43022,chck_100M,43022,rel_updates_2,RminusC,489,-0.4149169124099131,0.2870081473591381,0.070705203236612,0.4555766267934339,-0.8467802278590836,-1.3023568546525175,0.5977854867044889,0.31077733934535084,-0.5069534337959407,-0.5776586370325527,-0.3057779181588647,0.1091389942510484
entity_ablation,D,D_C_43022,D_RS_43022,chck_100M,43022,rel_updates_2,CminusR,489,0.4149169124099131,-0.2870081473591381,-0.070705203236612,-0.4555766267934339,-1.3023568546525175,-0.8467802278590836,0.31077733934535084,0.5977854867044889,-0.5776586370325527,-0.5069534337959407,0.1091389942510484,-0.3057779181588647
entity_ablation,D,D_RS_43022,D_C_43022,chck_100M,43022,rel_updates_3,RminusC,296,-0.3185967007098166,0.6546723441145307,0.10253891119783798,1.0386941675474315,-1.116255948773107,-2.1549501163205385,0.581847598826563,-0.0728247452879677,-0.41808965691440814,-0.5206285681122461,0.12145664804690592,0.44005334875672253
entity_ablation,D,D_C_43022,D_RS_43022,chck_100M,43022,rel_updates_3,CminusR,296,0.3185967007098166,-0.6546723441145307,-0.10253891119783798,-1.0386941675474315,-2.1549501163205385,-1.116255948773107,-0.0728247452879677,0.581847598826563,-0.5206285681122461,-0.41808965691440814,0.44005334875672253,0.12145664804690592
