family,arch,arm_a,arm_b,checkpoint,seed,group,contrast,n,delta_mean_gain_a_minus_b,mean_gain_a,mean_gain_b
copy,D,D_RS_43022,D_C_43022,chck_90M,43022,domain_open_subtitles,RminusC,434,-0.3979123104102822,4.120032220065335,4.517944530475617
copy,D,D_C_43022,D_RS_43022,chck_90M,43022,domain_open_subtitles,CminusR,434,0.3979123104102822,4.517944530475617,4.120032220065335
copy,D,D_RS_43022,D_C_43022,chck_90M,43022,domain_simple_wiki,RminusC,272,0.0063030854542320824,3.918688705620077,3.912385620165845
copy,D,D_C_43022,D_RS_43022,chck_90M,43022,domain_simple_wiki,CminusR,272,-0.0063030854542320824,3.912385620165845,3.918688705620077
copy,D,D_RS_43022,D_C_43022,chck_90M,43022,domain_switchboard,RminusC,4,-0.13234170724172145,1.4934743193443865,1.625816026586108
copy,D,D_C_43022,D_RS_43022,chck_90M,43022,domain_switchboard,CminusR,4,0.13234170724172145,1.625816026586108,1.4934743193443865
copy,D,D_RS_43022,D_C_43022,chck_90M,43022,span_1,RminusC,1000,-0.24341829067318876,3.5316987843038747,3.7751170749770635
copy,D,D_C_43022,D_RS_43022,chck_90M,43022,span_1,CminusR,1000,0.24341829067318876,3.7751170749770635,3.5316987843038747
copy,D,D_RS_43022,D_C_43022,chck_90M,43022,span_4,RminusC,1000,-0.15899366488121336,3.4884835686015654,3.6474772334827787
copy,D,D_C_43022,D_RS_43022,chck_90M,43022,span_4,CminusR,1000,0.15899366488121336,3.6474772334827787,3.4884835686015654
