aggregation,token_class,contrast,n_seeds,delta_gain_T_vs_N_mean,delta_gain_T_vs_N_seed_sd,delta_gain_U_vs_N_mean,delta_gain_U_vs_N_seed_sd,delta_gain_T_vs_U_mean,delta_gain_T_vs_U_seed_sd,mean_pairs_effective,max_abs_identity_error,mean_targets_effective,mean_overlap_targets,mean_nonoverlap_targets
class_balanced_pair_mean,ALL_class_balanced,RminusC,3,-0.054044249536131315,0.0539963596499698,0.011646993861003362,0.0382594302813875,-0.06569124339713468,0.026714483403114872,1200.0,2.7755575615628914e-17,,,
class_balanced_pair_mean,ALL_class_balanced,VminusC,3,0.13462665475259908,0.053889291971608924,0.000817216404276321,0.016779364280638198,0.1338094383483228,0.05741979786018622,1200.0,5.551115123125783e-17,,,
class_balanced_pair_mean,ALL_class_balanced,VminusR,3,0.18867090428873037,0.011575779087615555,-0.010829777456727042,0.03139948464042158,0.19950068174545743,0.03179238478807268,1200.0,2.7755575615628914e-17,,,
pair_mean_by_target_class,nonoverlap,RminusC,3,-0.2171304292915738,0.028540934972082772,0.010987230509520112,0.04987515110479279,-0.22811765980109397,0.05301333933670471,1200.0,1.9984014443252818e-15,,,
pair_mean_by_target_class,nonoverlap,VminusC,3,0.031614504085758846,0.039849526203438436,-0.00522242830046539,0.02549566446269115,0.03683693238622423,0.044721599997110555,1200.0,1.7763568394002505e-15,,,
pair_mean_by_target_class,nonoverlap,VminusR,3,0.24874493337733264,0.06458110370604019,-0.0162096588099855,0.028014002318452476,0.26495459218731815,0.0832590551892621,1200.0,1.4988010832439613e-15,,,
pair_mean_by_target_class,overlap,RminusC,3,0.1090419302193112,0.12158641209066771,0.012306757212486613,0.02707023451213881,0.09673517300682459,0.0996208411522855,1200.0,7.549516567451064e-15,,,
pair_mean_by_target_class,overlap,VminusC,3,0.23763880541943935,0.07055365454433404,0.006856861109018032,0.015853352504972374,0.23078194431042132,0.08184154979775188,1200.0,5.88418203051333e-15,,,
pair_mean_by_target_class,overlap,VminusR,3,0.1285968752001281,0.053339723883606756,-0.005449896103468579,0.035507952935699666,0.13404677130359674,0.023184991035204685,1200.0,6.439293542825908e-15,,,
token_weighted_target_mean,ALL_token_weighted,RminusC,3,-0.10840630945461215,0.03361674380534983,0.011427072743842283,0.042101116166993906,-0.11983338219845442,0.012498112263372234,,3.1086244689504383e-15,3600.0,1200.0,2400.0
token_weighted_target_mean,ALL_token_weighted,VminusC,3,0.10028927119698566,0.04879731051482964,-0.0011959984973042485,0.01915174941948358,0.1014852696942899,0.051292482912262204,,4.107825191113079e-15,3600.0,1200.0,2400.0
token_weighted_target_mean,ALL_token_weighted,VminusR,3,0.20869558065159785,0.027015018579555256,-0.012623071241146531,0.03017757632486086,0.22131865189274436,0.048776864480358895,,3.552713678800501e-15,3600.0,1200.0,2400.0
