aggregation,seed,token_class,contrast,n_pairs_effective,delta_gain_T_vs_N,delta_gain_U_vs_N,delta_gain_T_vs_U,se_gain_T_vs_N,fraction_positive_gain_T_vs_N,max_abs_identity_error,n_targets_effective,overlap_targets,nonoverlap_targets
pair_mean_by_target_class,43022,overlap,RminusC,1200.0,0.1955432667939143,0.04165747196487953,0.15388579482903475,0.05230896172393808,0.57,7.549516567451064e-15,,,
pair_mean_by_target_class,43122,overlap,RminusC,1200.0,0.16155866078562317,0.006942643264798482,0.15461601752082463,0.05433094684585462,0.5475,4.884981308350689e-15,,,
pair_mean_by_target_class,43222,overlap,RminusC,1200.0,-0.029976136921603853,-0.011679843592218176,-0.01829629332938565,0.05273622000155461,0.51,7.105427357601002e-15,,,
pair_mean_by_target_class,43022,nonoverlap,RminusC,1200.0,-0.20726262486630329,0.0680883571621315,-0.27535098202843483,0.036691688221760055,0.4475,1.1102230246251565e-15,,,
pair_mean_by_target_class,43122,nonoverlap,RminusC,1200.0,-0.24929583524434648,-0.011072824440877106,-0.23822301080346933,0.0383799816027892,0.44166666666666665,1.9984014443252818e-15,,,
pair_mean_by_target_class,43222,nonoverlap,RminusC,1200.0,-0.19483282776407174,-0.024053841192694058,-0.17077898657137766,0.03355705227647521,0.43333333333333335,1.3322676295501878e-15,,,
class_balanced_pair_mean,43022,ALL_class_balanced,RminusC,1200.0,-0.005859679036194498,0.054872914563505515,-0.06073259359970004,,,2.7755575615628914e-17,,,
class_balanced_pair_mean,43122,ALL_class_balanced,RminusC,1200.0,-0.043868587229361655,-0.002065090588039312,-0.04180349664132235,,,6.938893903907228e-18,,,
class_balanced_pair_mean,43222,ALL_class_balanced,RminusC,1200.0,-0.1124044823428378,-0.017866842392456117,-0.09453763995038166,,,2.7755575615628914e-17,,,
token_weighted_target_mean,43022,ALL_token_weighted,RminusC,,-0.07299399431289742,0.05927806209638085,-0.13227205640927825,0.030374146335399442,0.4963888888888889,3.1086244689504383e-15,3600.0,1200.0,2400.0
