seed,contrast,token_n_units_probe_ids,pair_n_units_pair_ids,token_delta_gain_U_minus_T,pair_delta_gain_U_minus_T,token_delta_true_adv_N_minus_T,pair_delta_true_adv_N_minus_T,same_probe_table,explanation
43022,RminusC,2732,1465,-0.7517085695681751,-0.7851721007435183,-0.6828344001320203,-0.7133127899484474,split_seed43022_common,token rows weight every selected masked token; pair rows average tokens within a pair before contrasting
43022,RSminusC,2732,1465,-0.0312724065489766,-0.04702389039087561,0.009380781227595952,-0.004299765518486108,split_seed43022_common,token rows weight every selected masked token; pair rows average tokens within a pair before contrasting
43022,RminusRS,2732,1465,-0.7204361630191984,-0.7381482103526427,-0.6922151813596162,-0.7090130244299613,split_seed43022_common,token rows weight every selected masked token; pair rows average tokens within a pair before contrasting
43022,VminusC,2732,1465,0.683689026198788,0.6710659184934417,0.7115230445294168,0.7011917950062079,split_seed43022_common,token rows weight every selected masked token; pair rows average tokens within a pair before contrasting
43022,VSminusC,2732,1465,0.0298078421783066,0.003990551359226794,0.11574156393522915,0.08741934774708386,split_seed43022_common,token rows weight every selected masked token; pair rows average tokens within a pair before contrasting
43022,VminusVS,2732,1465,0.6538811840204815,0.6670753671342149,0.5957814805941877,0.613772447259124,split_seed43022_common,token rows weight every selected masked token; pair rows average tokens within a pair before contrasting
43122,RminusC,2732,1465,-1.0433110410895625,-1.0550364341236655,-1.0097796378882553,-1.03371132875727,split_seed43122_common,token rows weight every selected masked token; pair rows average tokens within a pair before contrasting
43122,RSminusC,2732,1465,-0.18977514577270682,-0.19128634298990552,-0.13425399259261409,-0.14421176229115149,split_seed43122_common,token rows weight every selected masked token; pair rows average tokens within a pair before contrasting
43122,RminusRS,2732,1465,-0.8535358953168557,-0.86375009113376,-0.8755256452956411,-0.8894995664661185,split_seed43122_common,token rows weight every selected masked token; pair rows average tokens within a pair before contrasting
43122,VminusC,2732,1465,0.8937887530378441,0.8890517222888946,0.8236423937551902,0.8068117359741586,split_seed43122_common,token rows weight every selected masked token; pair rows average tokens within a pair before contrasting
43122,VSminusC,2732,1465,-0.03547575452393163,-0.05306706506159238,0.028403171420694154,0.0005047057907333364,split_seed43122_common,token rows weight every selected masked token; pair rows average tokens within a pair before contrasting
43122,VminusVS,2732,1465,0.9292645075617757,0.9421187873504869,0.7952392223344961,0.8063070301834252,split_seed43122_common,token rows weight every selected masked token; pair rows average tokens within a pair before contrasting
