source_tables,level,seed,token_class,contrast,n_rows_joined,n_units,n_checkpoints,delta_true_source_nll_mean,delta_true_source_nll_median,delta_true_source_nll_se,delta_true_source_nll_frac_positive,delta_unrelated_source_nll_mean,delta_unrelated_source_nll_median,delta_unrelated_source_nll_se,delta_unrelated_source_nll_frac_positive,delta_neutral_nll_mean,delta_neutral_nll_median,delta_neutral_nll_se,delta_neutral_nll_frac_positive,delta_true_adv_N_minus_T_mean,delta_true_adv_N_minus_T_median,delta_true_adv_N_minus_T_se,delta_true_adv_N_minus_T_frac_positive,delta_unrel_adv_N_minus_U_mean,delta_unrel_adv_N_minus_U_median,delta_unrel_adv_N_minus_U_se,delta_unrel_adv_N_minus_U_frac_positive,delta_gain_U_minus_T_mean,delta_gain_U_minus_T_median,delta_gain_U_minus_T_se,delta_gain_U_minus_T_frac_positive,max_abs_identity_error,mean_identity_error
original_three_seed,token,43022,nonoverlap,RminusC,8196,2732,3,0.44799824108598274,0.303853839635849,0.025185171038469217,0.5632015617374329,-0.3037103284821923,-0.2444847524166105,0.018000963916984716,0.43692044899951193,-0.23483615904603755,-0.18015003204345703,0.018619825954862418,0.44973157637872135,-0.6828344001320203,-0.4684890508651729,0.026911648990321103,0.39604685212298685,0.06887416943615478,0.02153086662292547,0.016831601453837445,0.5102489019033675,-0.7517085695681751,-0.5336040258407602,0.02614295200715731,0.38530990727183995,1.7763568394002505e-15,-8.042885808579633e-20
original_three_seed,pair,43022,nonoverlap,RminusC,4395,1465,3,0.4837496102750471,0.3586275577545166,0.02644103957539011,0.5956769055745165,-0.30142249046847125,-0.25884246826171875,0.018098926514032478,0.4116040955631399,-0.22956317967340029,-0.21864533424377441,0.018648781658497437,0.4334470989761092,-0.7133127899484474,-0.6288819313049316,0.027710982302615733,0.34425483503981796,0.07185931079507095,0.04625892639160156,0.017190496149901195,0.5199089874857793,-0.7851721007435183,-0.6188458204269411,0.027424761865285977,0.340386803185438,1.7763568394002505e-15,-1.8377411841064876e-18
original_three_seed,token,43022,nonoverlap,VminusC,8196,2732,3,-1.178756618376625,-0.929435670375824,0.028574266071715898,0.32186432406051735,-0.49506759217783686,-0.4402768611907959,0.019838579276882182,0.3945827232796486,-0.46723357384720804,-0.4004302024841304,0.019661730059252966,0.3999511957052221,0.7115230445294168,0.5962142944335938,0.028289598689628374,0.6096876525134212,0.027834018330628808,0.03622138500213623,0.01762149045100271,0.5104929233772572,0.683689026198788,0.6080256700515729,0.02763942916291463,0.612249877989263,1.7763568394002505e-15,-3.428809213131317e-19
original_three_seed,pair,43022,nonoverlap,VminusC,4395,1465,3,-1.1550487909175717,-1.035352349281312,0.029501139724177006,0.2712172923777019,-0.4839828724241302,-0.4139399528503418,0.02021348523363885,0.36496018202502845,-0.4538569959113639,-0.3859083652496338,0.02017873298510316,0.3802047781569966,0.7011917950062079,0.6122266054153442,0.029048703696631394,0.6484641638225256,0.030125876512766228,0.008728027343751776,0.01775639129741085,0.5032992036405005,0.6710659184934417,0.6363589763641357,0.028493571899682806,0.6511945392491467,1.7763568394002505e-15,-7.894077251316528e-19
original_three_seed,token,43022,nonoverlap,VminusR,8196,2732,3,-1.6267548594626078,-1.2737782001495352,0.03027728442242599,0.2720839433870181,-0.19135726369564454,-0.16850513219833374,0.017969593363329144,0.45192776964372866,-0.2323974148011705,-0.19413471221923828,0.01760625850933142,0.43997071742313326,1.394357444661437,1.0507488250732417,0.03147437062653249,0.683626159102001,-0.04104015110552597,-0.026409626007080078,0.016641733485547754,0.4910932162030259,1.4353975957669631,1.0952229499816912,0.031168381763414698,0.6971693509028795,1.7763568394002505e-15,1.9895559631749618e-19
original_three_seed,pair,43022,nonoverlap,VminusR,4395,1465,3,-1.6387984011926189,-1.3360795974731445,0.03142242432946574,0.2018202502844141,-0.18256038195565893,-0.1490328311920166,0.01820948743976518,0.4434584755403868,-0.22429381623796366,-0.18683433532714844,0.01819197402066146,0.42662116040955633,1.4145045849546554,1.1505188047885895,0.032380971885187265,0.7508532423208191,-0.04173343428230471,-0.06314373016357422,0.01681316473667617,0.47394766780432307,1.45623801923696,1.211326360702515,0.031928338336450576,0.7711035267349261,1.1102230246251565e-15,2.6255700937878773e-18
original_three_seed,token,43022,overlap,RminusC,9480,3160,3,-0.09194928021200899,-0.041335747228004045,0.01907853257793967,0.3010548523206751,-0.35983289498759663,-0.2871718406677246,0.017474142769495712,0.42362869198312236,-0.2824277594549491,-0.23340082168579102,0.01768232938205238,0.4369198312236287,-0.19047847924294015,-0.10754535254091024,0.023843805489726196,0.4742616033755274,0.07740513553264756,0.09370970726013228,0.015836187646940763,0.5308016877637131,-0.26788361477558764,-0.1700079264119267,0.023837599104643746,0.460337552742616,1.7763568394002505e-15,1.5041589633469784e-19
original_three_seed,pair,43022,overlap,RminusC,4857,1619,3,-0.09864119121200873,-0.066888848785311,0.019218254265798214,0.338686431953881,-0.36288526809025273,-0.32975316047668457,0.017963224018938784,0.38439365863701874,-0.28059020918318056,-0.24925684928894043,0.018171631352160076,0.40786493720403544,-0.18194901797117183,-0.1407124660909176,0.024242074161440492,0.459337039324686,0.08229505890707217,0.0856332778930664,0.016461863039005313,0.5373687461395923,-0.264244076878244,-0.20747673138976008,0.02420112729690962,0.43668931439159975,2.6645352591003757e-15,-7.391772093641342e-18
original_three_seed,token,43022,overlap,VminusC,9480,3160,3,-0.9362133596122856,-0.10025756550021465,0.023935969535700086,0.20263713080168777,-0.3849840490211328,-0.3056824207305908,0.01867119362314044,0.41835443037974684,-0.3230341366397901,-0.23430156707763672,0.01841501184778221,0.4409282700421941,0.6131792229724955,0.27274578902870417,0.02783467780774542,0.5602320675105485,0.061949912381342724,0.08623075485229492,0.016691314115146863,0.5264767932489451,0.5512293105911528,0.20848953630775213,0.028086870763543277,0.5498945147679325,1.7763568394002505e-15,-7.209715712393059e-20
original_three_seed,pair,43022,overlap,VminusC,4857,1619,3,-0.9520558076001726,-0.26121940463781357,0.025191465872421055,0.17232859789993824,-0.38171088173442835,-0.33744382858276367,0.018979143623584986,0.3876878731727404,-0.3238690358011172,-0.25873851776123047,0.019131728446303873,0.40992382128886146,0.6281867717990555,0.3900109399110079,0.029131346911123096,0.5989293802758905,0.057841845933311126,0.0972132682800293,0.017179405362501024,0.5346921968293185,0.5703449258657444,0.3338682586327195,0.02917596522834456,0.5851348569075561,3.552713678800501e-15,-3.6030245883578406e-18
