label,checkpoint,group,n,accuracy_pct,mean_relevant_updates,mean_total_ops,mean_irrelevant_ops,mean_ops_after_last_relevant,stale_available_not_gold_n,stale_pick_pct_among_wrong_stale_available_not_gold
chck82,eval,ALL,6780,27.89085545722714,1.9960176991150442,7.359587020648967,5.363569321533923,2.0887905604719763,1221,37.47178329571106
chck82,eval,rel1_postrel_ops0,345,19.71014492753623,1.0,4.573913043478261,3.5739130434782607,0.0,4,100.0
chck82,eval,rel1_postrel_ops_gt0,978,15.74642126789366,1.0,6.931492842535787,5.931492842535787,3.355828220858896,12,30.0
chck82,eval,rel1_stale_available_not_gold,16,31.25,1.0,8.5,7.5,2.25,16,36.36363636363637
chck82,eval,rel2_postrel_ops0,391,27.877237851662404,2.0,7.040920716112532,5.040920716112532,0.0,140,47.57281553398058
chck82,eval,rel2_postrel_ops_gt0,875,21.02857142857143,2.0,8.676571428571428,6.676571428571428,2.672,349,35.0
chck82,eval,rel2_stale_available_not_gold,489,21.676891615541923,2.0,8.366053169734151,6.366053169734151,1.822085889570552,489,38.38120104438642
chck82,eval,rel3_postrel_ops0,469,32.6226012793177,3.0,8.867803837953092,5.867803837953092,0.0,109,30.434782608695652
chck82,eval,rel3_postrel_ops_gt0,761,24.83574244415243,3.0,9.797634691195794,6.797634691195795,2.38107752956636,187,36.87943262411348
chck82,eval,rel3_stale_available_not_gold,296,29.054054054054053,3.0,9.54054054054054,6.54054054054054,1.4256756756756757,296,34.76190476190476
chck82,eval,rel4_postrel_ops0,501,34.3313373253493,4.0,9.684630738522953,5.684630738522954,0.0,153,38.23529411764706
chck82,eval,rel4_postrel_ops_gt0,611,30.114566284779052,4.0,10.297872340425531,6.297872340425532,2.009819967266776,173,42.14876033057851
chck82,eval,rel4_stale_available_not_gold,326,31.595092024539877,4.0,10.13803680981595,6.138036809815951,0.9785276073619632,326,40.35874439461883
chck82,eval,rel5_postrel_ops0,144,41.666666666666664,5.0,10.083333333333334,5.083333333333333,0.0,40,23.80952380952381
chck82,eval,rel5_postrel_ops_gt0,164,25.0,5.0,10.75609756097561,5.7560975609756095,1.7134146341463414,54,34.21052631578947
chck82,eval,rel5_stale_available_not_gold,94,37.234042553191486,5.0,10.106382978723405,5.1063829787234045,1.053191489361702,94,30.508474576271187
chck82,eval,rel_eq0,1541,37.44321868916288,0.0,3.388059701492537,3.388059701492537,3.388059701492537,0,nan
chck82,eval,rel_eq0_irrelevant_ops_1,257,38.91050583657587,0.0,1.0,1.0,1.0,0,nan
chck82,eval,rel_eq0_irrelevant_ops_10,36,25.0,0.0,10.0,10.0,10.0,0,nan
chck82,eval,rel_eq0_irrelevant_ops_11,32,28.125,0.0,11.0,11.0,11.0,0,nan
chck82,eval,rel_eq0_irrelevant_ops_12,30,23.333333333333332,0.0,12.0,12.0,12.0,0,nan
chck82,eval,rel_eq0_irrelevant_ops_1to3,641,39.0015600624025,0.0,1.8673946957878316,1.8673946957878316,1.8673946957878316,0,nan
chck82,eval,rel_eq0_irrelevant_ops_2,212,39.15094339622642,0.0,2.0,2.0,2.0,0,nan
chck82,eval,rel_eq0_irrelevant_ops_3,172,38.95348837209303,0.0,3.0,3.0,3.0,0,nan
