label,baseline,checkpoint,group,n,baseline_accuracy_pct,label_accuracy_pct,delta_accuracy_pct,mean_relevant_updates,mean_total_ops
coherent86,chck82,eval,ALL,6780,27.89085545722714,27.831858407079647,-0.05899705014749301,1.9960176991150442,7.359587020648967
coherent86,chck82,eval,rel1_postrel_ops0,345,19.71014492753623,19.130434782608695,-0.5797101449275353,1.0,4.573913043478261
coherent86,chck82,eval,rel1_postrel_ops_gt0,978,15.74642126789366,16.05316973415133,0.30674846625766783,1.0,6.931492842535787
coherent86,chck82,eval,rel1_stale_available_not_gold,16,31.25,31.25,0.0,1.0,8.5
coherent86,chck82,eval,rel2_postrel_ops0,391,27.877237851662404,29.41176470588235,1.5345268542199477,2.0,7.040920716112532
coherent86,chck82,eval,rel2_postrel_ops_gt0,875,21.02857142857143,20.685714285714287,-0.34285714285714164,2.0,8.676571428571428
coherent86,chck82,eval,rel2_stale_available_not_gold,489,21.676891615541923,22.494887525562373,0.8179959100204499,2.0,8.366053169734151
coherent86,chck82,eval,rel3_postrel_ops0,469,32.6226012793177,32.19616204690831,-0.4264392324093862,3.0,8.867803837953092
coherent86,chck82,eval,rel3_postrel_ops_gt0,761,24.83574244415243,24.441524310118265,-0.3942181340341655,3.0,9.797634691195794
coherent86,chck82,eval,rel3_stale_available_not_gold,296,29.054054054054053,28.04054054054054,-1.0135135135135123,3.0,9.54054054054054
coherent86,chck82,eval,rel4_postrel_ops0,501,34.3313373253493,34.131736526946106,-0.19960079840319622,4.0,9.684630738522953
coherent86,chck82,eval,rel4_postrel_ops_gt0,611,30.114566284779052,30.27823240589198,0.16366612111292866,4.0,10.297872340425531
coherent86,chck82,eval,rel4_stale_available_not_gold,326,31.595092024539877,30.368098159509202,-1.2269938650306749,4.0,10.13803680981595
coherent86,chck82,eval,rel5_postrel_ops0,144,41.666666666666664,41.666666666666664,0.0,5.0,10.083333333333334
coherent86,chck82,eval,rel5_postrel_ops_gt0,164,25.0,25.609756097560975,0.6097560975609753,5.0,10.75609756097561
coherent86,chck82,eval,rel5_stale_available_not_gold,94,37.234042553191486,39.361702127659576,2.1276595744680904,5.0,10.106382978723405
coherent86,chck82,eval,rel_eq0,1541,37.44321868916288,37.18364698247891,-0.2595717066839711,0.0,3.388059701492537
coherent86,chck82,eval,rel_eq0_irrelevant_ops_1,257,38.91050583657587,38.521400778210115,-0.3891050583657574,0.0,1.0
coherent86,chck82,eval,rel_eq0_irrelevant_ops_10,36,25.0,27.77777777777778,2.7777777777777786,0.0,10.0
coherent86,chck82,eval,rel_eq0_irrelevant_ops_11,32,28.125,25.0,-3.125,0.0,11.0
coherent86,chck82,eval,rel_eq0_irrelevant_ops_12,30,23.333333333333332,26.666666666666668,3.3333333333333357,0.0,12.0
coherent86,chck82,eval,rel_eq0_irrelevant_ops_1to3,641,39.0015600624025,38.68954758190328,-0.31201248049922015,0.0,1.8673946957878316
coherent86,chck82,eval,rel_eq0_irrelevant_ops_2,212,39.15094339622642,39.62264150943396,0.4716981132075446,0.0,2.0
coherent86,chck82,eval,rel_eq0_irrelevant_ops_3,172,38.95348837209303,37.7906976744186,-1.1627906976744242,0.0,3.0
coherent86,chck82,eval,rel_eq0_irrelevant_ops_4,131,39.69465648854962,40.458015267175576,0.7633587786259568,0.0,4.0
coherent86,chck82,eval,rel_eq0_irrelevant_ops_4to6,323,43.03405572755418,42.10526315789474,-0.9287925696594428,0.0,4.86687306501548
coherent86,chck82,eval,rel_eq0_irrelevant_ops_5,104,44.23076923076923,41.34615384615385,-2.884615384615387,0.0,5.0
coherent86,chck82,eval,rel_eq0_irrelevant_ops_6,88,46.59090909090909,45.45454545454545,-1.1363636363636402,0.0,6.0
coherent86,chck82,eval,rel_eq0_irrelevant_ops_7,66,28.78787878787879,27.272727272727273,-1.5151515151515156,0.0,7.0
coherent86,chck82,eval,rel_eq0_irrelevant_ops_8,63,28.571428571428573,28.571428571428573,0.0,0.0,8.0
coherent86,chck82,eval,rel_eq0_irrelevant_ops_9,46,41.30434782608695,41.30434782608695,0.0,0.0,9.0
