label,items,disc_token_share,disc_residual_share,disc_over_shared_mean_residual,shared_tokens,shared_unique_types,shared_mean_legal40k_pool_count,shared_mean_sgcr_residual_weight,shared_mean_decomp_len,shared_mean_component_min_pool_count16,shared_frac_lt50,shared_lt50_component_ge50_occurrence_fraction,shared_lt50_component_ge50_residual_fraction,shared_component_ge50_residual_fraction,disc_tokens,disc_unique_types,disc_mean_legal40k_pool_count,disc_mean_sgcr_residual_weight,disc_mean_decomp_len,disc_mean_component_min_pool_count16,disc_frac_lt50,disc_lt50_component_ge50_occurrence_fraction,disc_lt50_component_ge50_residual_fraction,disc_component_ge50_residual_fraction,disc_over_shared_frac_lt20,disc_share_of_lt20_occurrences,disc_share_of_lt20_residual,disc_over_shared_frac_lt50,disc_share_of_lt50_occurrences,disc_share_of_lt50_residual,disc_over_shared_frac_lt100,disc_share_of_lt100_occurrences,disc_share_of_lt100_residual
COMPS,91028,0.21871978574295547,0.421139710234526,2.5987900215439748,1099773,3609,168597.86862743495,0.08951597050907387,1.0518106918427712,169429.3149740901,0.0640059357703817,0.9837481531992271,0.982276759615273,0.9915683713896868,307882,672,10973.47054390968,0.2326332109278059,1.1754146068948492,11716.933977952593,0.18705867832481277,0.9846853729684678,0.9815446570465853,0.9900846968127256,3.5010549217085662,0.4949806306493939,0.49755098093273387,2.922520795506795,0.4499937492186523,0.45103636034305367,2.9392194741666087,0.451404282674233,0.4523457515165441
COMPS::comps_base,49340,0.3632705491604332,0.6645323713996383,3.472084374503587,269157,3255,189067.0210397649,0.07543971296440316,1.061807792477996,189665.6800083223,0.05134549723767169,0.9701881331403762,0.968832366496116,0.986312037914014,153561,666,17256.775314044582,0.2619330486007399,1.2685121873392333,17802.44787413471,0.21073058914698392,0.9792336217552534,0.9749243574856645,0.9867056341361603,4.633232092569099,0.7255294570658452,0.7291843706092224,4.104168826558231,0.7007362494586401,0.7051335963833416,3.76686829126982,0.6824484864756024,0.6912292151097044
COMPS::comps_wugs,13896,0.16851440375821525,0.4175135188742027,3.536733973691092,212926,1164,164980.43218770841,0.08256903417991353,1.0231629768088444,165898.17330434048,0.05303250894677024,0.9907899397803754,0.9913105791706236,0.9961840365636809,43153,666,14839.167056751558,0.29202470835896116,1.2960164994322527,15436.899056844251,0.2626932078882117,0.9814749470712774,0.9761949568281486,0.9860785763700781,10.023124642313837,0.6701143168209036,0.6751741521566517,4.953437299221163,0.5009722467739084,0.48836598286149485,5.9144028316108095,0.5451759105285467,0.5222856427147049
COMPS::comps_wugs_dist-before,13896,0.15252353682061526,0.23688378096316476,1.7247868020477681,308845,1700,160925.46113422592,0.09804436924755713,1.0573297285045897,161828.59708591687,0.07330537972121938,0.9861307420494699,0.9839372539785918,0.9919907894902094,55584,8,793.5,0.1691056340932846,1.0,1866.75,0.125,1.0,1.0,1.0,0.0,0.0,0.0,1.7051954505300353,0.23482492902528052,0.24475270563222332,1.2577580308855152,0.1845810530790075,0.2097762525199339
COMPS::comps_wugs_dist-in-between,13896,0.15252353682061526,0.23688378096316476,1.7247868020477681,308845,1700,160925.46113422592,0.09804436924755713,1.0573297285045897,161828.59708591687,0.07330537972121938,0.9861307420494699,0.9839372539785918,0.9919907894902094,55584,8,793.5,0.1691056340932846,1.0,1866.75,0.125,1.0,1.0,1.0,0.0,0.0,0.0,1.7051954505300353,0.23482492902528052,0.24475270563222332,1.2577580308855152,0.1845810530790075,0.2097762525199339
COMPS_negative::co-occurrence,22757,0.21306020052522603,0.41349023512631644,2.603929306976045,274786,3443,168886.16086336278,0.08850043872770233,1.0505993755140364,169714.55529757703,0.0617644275909253,0.9847395710582135,0.9835636740505701,0.9923555783309826,74397,672,10408.558302082074,0.23044888608330186,1.173501619688966,11118.219229269998,0.1795905748887724,0.9827857196317641,0.9794998240248938,0.989356138364405,3.2781448185725237,0.4702104887620407,0.4724725958003405,2.907670027774347,0.44047736788316355,0.4404125681602456,2.931818671356991,0.44251677076104556,0.44221377461219746
COMPS_negative::overlap,22757,0.21785229098940578,0.4265669565972616,2.6707371129329713,276928,3415,168122.86834122948,0.0913819060269507,1.0538190432170094,168963.1392997458,0.06780101687081118,0.9815189603749468,0.9792173358721213,0.9897615051249095,77133,672,8998.891719497491,0.2440570478767304,1.1906188012912762,9776.425524742976,0.20713572660210286,0.9828503473743506,0.9788632832780214,0.9880196481262369,3.8236334642759906,0.5157384987893463,0.5179723345454749,3.05505339244073,0.4597300952435761,0.4611656307338959,3.03150086344896,0.4578084446413876,0.4600280814522324
COMPS_negative::random,22757,0.22458866207749406,0.4262983509381187,2.5654991396718536,273386,3609,168525.74457360656,0.08984142643519198,1.0532946090875173,169353.76655717558,0.06390597909183353,0.9841451548280007,0.9830493483422795,0.9919599937555369,79183,672,14593.26489271687,0.23048810222637714,1.1811752522637435,15343.810413851457,0.18877789424497682,0.9850816162697351,0.9822302002059886,0.9902757711044549,3.4536648024205014,0.5000782105427811,0.5023921827996861,2.9539942416608795,0.4610876337949968,0.4615825216217795,2.92524814869767,0.45865865426791824,0.46024798501071185
COMPS_negative::taxonomic,22757,0.21932856225237465,0.4177029659346726,2.5532661022074166,274673,3388,168860.14382556712,0.08832673469471876,1.0495207027993287,169689.15459837698,0.06252161661320917,0.9848017236359401,0.9835553308186844,0.9922675318542309,77169,672,9777.482369863546,0.22552165761469317,1.1561507859373583,10512.21268903316,0.17242675167489535,0.988351119795581,0.986024449787062,0.9928357820911748,3.4096645157411447,0.4892592592592593,0.49281253781799544,2.757874172410093,0.43656287935955906,0.4388458715304019,2.862595672375778,0.44575071782234177,0.4457014803465244
EWoK,7618,0.10503062848339959,0.11765961274199163,1.1362750340158727,123163,669,154970.31463182936,0.11802059511986485,1.0965468525450013,155465.86922208781,0.08784293984394664,0.9891856918384324,0.9875987263001049,0.9944444771487632,14454,498,26123.328490383286,0.13410385573439798,1.107513491075135,26399.81818181818,0.08648125086481251,0.9232,0.9127105206595973,0.9641670872586641,1.3649710066768006,0.13807106598984772,0.14270655541040428,0.9844985950885389,0.1035711326539067,0.10888913731810687,1.136137632028043,0.11764705882352941,0.11768796490731366
