subset,arm,dose,seed,checkpoint,n,mean_loss,sd_loss,mean_masked
heldout2647_full,base43022,base0,43022,chck_100M,2647,2.574555183508552,1.0921039263823689,34.54854552323385
heldout2647_full,base43022,base0,43022,chck_80M,2647,2.6038962877825225,1.0960432797227566,34.54854552323385
heldout2647_full,base43022,base0,43022,chck_90M,2647,2.5789094706557476,1.0920376805046261,34.54854552323385
heldout2647_full,dose21_43022,dose21,43022,chck_100M,2647,2.5777455817200496,1.0852843024566503,34.54854552323385
heldout2647_full,dose21_43022,dose21,43022,chck_80M,2647,2.612473050511502,1.091503151211875,34.54854552323385
heldout2647_full,dose21_43022,dose21,43022,chck_90M,2647,2.5813901380741,1.0848246821144054,34.54854552323385
heldout2647_full,dose25_43022,dose25,43022,chck_100M,2647,2.595493593448115,1.0890044508270396,34.54854552323385
heldout2647_full,dose25_43022,dose25,43022,chck_80M,2647,2.6335579778367184,1.0987535123595717,34.54854552323385
heldout2647_full,dose25_43022,dose25,43022,chck_90M,2647,2.600020860659235,1.0887331790522823,34.54854552323385
heldout2647_inherited_aln_text_hit,base43022,base0,43022,chck_100M,904,2.9432361370232782,0.9862845911229489,33.317477876106196
heldout2647_inherited_aln_text_hit,base43022,base0,43022,chck_80M,904,2.9753038981121724,0.9875391144337322,33.317477876106196
heldout2647_inherited_aln_text_hit,base43022,base0,43022,chck_90M,904,2.9477408189425427,0.9852500059531034,33.317477876106196
heldout2647_inherited_aln_text_hit,dose21_43022,dose21,43022,chck_100M,904,2.9472423301333874,0.9838336906282706,33.317477876106196
heldout2647_inherited_aln_text_hit,dose21_43022,dose21,43022,chck_80M,904,2.9857722717971926,0.9858348283991605,33.317477876106196
heldout2647_inherited_aln_text_hit,dose21_43022,dose21,43022,chck_90M,904,2.951161678352978,0.9835591270311319,33.317477876106196
heldout2647_inherited_aln_text_hit,dose25_43022,dose25,43022,chck_100M,904,2.9651617257468468,0.9839958960697769,33.317477876106196
heldout2647_inherited_aln_text_hit,dose25_43022,dose25,43022,chck_80M,904,3.006708222581486,0.991602383532096,33.317477876106196
heldout2647_inherited_aln_text_hit,dose25_43022,dose25,43022,chck_90M,904,2.9705760555457226,0.9835478628455314,33.317477876106196
heldout2647_no_inherited_aln_text,base43022,base0,43022,chck_100M,1743,2.383340277038493,1.095564110488807,35.187033849684454
heldout2647_no_inherited_aln_text,base43022,base0,43022,chck_80M,1743,2.411267211627615,1.1002181173458903,35.187033849684454
heldout2647_no_inherited_aln_text,base43022,base0,43022,chck_90M,1743,2.3876165625368357,1.0959064099367524,35.187033849684454
heldout2647_no_inherited_aln_text,dose21_43022,dose21,43022,chck_100M,1743,2.386107566478709,1.0861557728227995,35.187033849684454
heldout2647_no_inherited_aln_text,dose21_43022,dose21,43022,chck_80M,1743,2.4188628978768127,1.0936303509985505,35.187033849684454
heldout2647_no_inherited_aln_text,dose21_43022,dose21,43022,chck_90M,1743,2.3896096031273952,1.0855133539997552,35.187033849684454
heldout2647_no_inherited_aln_text,dose25_43022,dose25,43022,chck_100M,1743,2.403766690637987,1.0916754608239558,35.187033849684454
heldout2647_no_inherited_aln_text,dose25_43022,dose25,43022,chck_80M,1743,2.440025091290953,1.1019637223695218,35.187033849684454
heldout2647_no_inherited_aln_text,dose25_43022,dose25,43022,chck_90M,1743,2.4078338863750215,1.0912366644921419,35.187033849684454
strict_complement_ngram_3000,base43022,base0,43022,chck_100M,3000,3.1139369182785352,1.0197441856411873,35.293
strict_complement_ngram_3000,base43022,base0,43022,chck_80M,3000,3.175314061224461,0.9990293257327822,35.293
strict_complement_ngram_3000,base43022,base0,43022,chck_90M,3000,3.1284377134044967,1.0112582497625895,35.293
strict_complement_ngram_3000,dose21_43022,dose21,43022,chck_100M,3000,3.1502731038133303,0.9929317457664408,35.293
strict_complement_ngram_3000,dose21_43022,dose21,43022,chck_80M,3000,3.2245683299303054,0.974629038307505,35.293
strict_complement_ngram_3000,dose21_43022,dose21,43022,chck_90M,3000,3.1593435866038004,0.982982813007084,35.293
strict_complement_ngram_3000,dose25_43022,dose25,43022,chck_100M,3000,3.1454181838432946,1.0398325205862913,35.293
strict_complement_ngram_3000,dose25_43022,dose25,43022,chck_80M,3000,3.210096969306469,1.0254599151891854,35.293
strict_complement_ngram_3000,dose25_43022,dose25,43022,chck_90M,3000,3.1565481625000635,1.031637518686079,35.293
