arm,dose,seed,checkpoint,subset,n,mean_loss,elapsed_sec_since_model_load,device,loaded_class,total_params_loaded,adapter_params_loaded,adapter_scale_config
base43022,base0,43022,chck_80M,heldout2647_full,2647,2.6038962877825225,127.21,cpu,transformers_modules.chck_80M.adapter_scaled_modeling.AdapterDebertaV2ForMaskedLM,35463008,995584,1.75
base43022,base0,43022,chck_80M,heldout2647_no_inherited_aln_text,1743,2.411267211627615,212.66,cpu,transformers_modules.chck_80M.adapter_scaled_modeling.AdapterDebertaV2ForMaskedLM,35463008,995584,1.75
base43022,base0,43022,chck_80M,heldout2647_inherited_aln_text_hit,904,2.9753038981121724,256.0,cpu,transformers_modules.chck_80M.adapter_scaled_modeling.AdapterDebertaV2ForMaskedLM,35463008,995584,1.75
base43022,base0,43022,chck_80M,strict_complement_ngram_3000,3000,3.175314061224461,410.39,cpu,transformers_modules.chck_80M.adapter_scaled_modeling.AdapterDebertaV2ForMaskedLM,35463008,995584,1.75
base43022,base0,43022,chck_90M,heldout2647_full,2647,2.5789094706557476,123.15,cpu,transformers_modules.chck_90M.adapter_scaled_modeling.AdapterDebertaV2ForMaskedLM,35463008,995584,1.75
base43022,base0,43022,chck_90M,heldout2647_no_inherited_aln_text,1743,2.3876165625368357,208.97,cpu,transformers_modules.chck_90M.adapter_scaled_modeling.AdapterDebertaV2ForMaskedLM,35463008,995584,1.75
base43022,base0,43022,chck_90M,heldout2647_inherited_aln_text_hit,904,2.9477408189425427,253.18,cpu,transformers_modules.chck_90M.adapter_scaled_modeling.AdapterDebertaV2ForMaskedLM,35463008,995584,1.75
base43022,base0,43022,chck_90M,strict_complement_ngram_3000,3000,3.1284377134044967,397.12,cpu,transformers_modules.chck_90M.adapter_scaled_modeling.AdapterDebertaV2ForMaskedLM,35463008,995584,1.75
base43022,base0,43022,chck_100M,heldout2647_full,2647,2.574555183508552,133.9,cpu,transformers_modules.chck_100M.adapter_scaled_modeling.AdapterDebertaV2ForMaskedLM,35463008,995584,1.75
base43022,base0,43022,chck_100M,heldout2647_no_inherited_aln_text,1743,2.383340277038493,224.17,cpu,transformers_modules.chck_100M.adapter_scaled_modeling.AdapterDebertaV2ForMaskedLM,35463008,995584,1.75
base43022,base0,43022,chck_100M,heldout2647_inherited_aln_text_hit,904,2.9432361370232782,275.32,cpu,transformers_modules.chck_100M.adapter_scaled_modeling.AdapterDebertaV2ForMaskedLM,35463008,995584,1.75
base43022,base0,43022,chck_100M,strict_complement_ngram_3000,3000,3.1139369182785352,469.79,cpu,transformers_modules.chck_100M.adapter_scaled_modeling.AdapterDebertaV2ForMaskedLM,35463008,995584,1.75
dose21_43022,dose21,43022,chck_80M,heldout2647_full,2647,2.612473050511502,149.43,cpu,transformers_modules.chck_80M.adapter_scaled_modeling.AdapterDebertaV2ForMaskedLM,35463008,995584,1.75
dose21_43022,dose21,43022,chck_80M,heldout2647_no_inherited_aln_text,1743,2.4188628978768127,245.93,cpu,transformers_modules.chck_80M.adapter_scaled_modeling.AdapterDebertaV2ForMaskedLM,35463008,995584,1.75
dose21_43022,dose21,43022,chck_80M,heldout2647_inherited_aln_text_hit,904,2.9857722717971926,292.6,cpu,transformers_modules.chck_80M.adapter_scaled_modeling.AdapterDebertaV2ForMaskedLM,35463008,995584,1.75
