example_id,source,words,loss,n_masked,subset,subset_path,arm,dose,seed,family,checkpoint
5270,childes,160,1.2686704397201538,39,heldout2647_full,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/heldout_cleanqwen_rows.jsonl,base43022,base0,43022,compact_view_reinvest,chck_80M
35672,gutenberg,160,4.293533802032471,44,heldout2647_full,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/heldout_cleanqwen_rows.jsonl,base43022,base0,43022,compact_view_reinvest,chck_80M
46059,open_subtitles,160,2.249211549758911,42,heldout2647_full,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/heldout_cleanqwen_rows.jsonl,base43022,base0,43022,compact_view_reinvest,chck_80M
8853,childes,160,0.7793847322463989,33,heldout2647_full,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/heldout_cleanqwen_rows.jsonl,base43022,base0,43022,compact_view_reinvest,chck_80M
26023,gutenberg,160,2.380308151245117,28,heldout2647_full,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/heldout_cleanqwen_rows.jsonl,base43022,base0,43022,compact_view_reinvest,chck_80M
36292,gutenberg,160,4.072854042053223,40,heldout2647_full,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/heldout_cleanqwen_rows.jsonl,base43022,base0,43022,compact_view_reinvest,chck_80M
8662,childes,160,1.1169649362564087,36,heldout2647_full,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/heldout_cleanqwen_rows.jsonl,base43022,base0,43022,compact_view_reinvest,chck_80M
23685,gutenberg,160,3.4170382022857666,33,heldout2647_full,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/heldout_cleanqwen_rows.jsonl,base43022,base0,43022,compact_view_reinvest,chck_80M
35358,gutenberg,160,4.1812744140625,31,heldout2647_full,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/heldout_cleanqwen_rows.jsonl,base43022,base0,43022,compact_view_reinvest,chck_80M
35850,gutenberg,160,3.2963953018188477,38,heldout2647_full,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/heldout_cleanqwen_rows.jsonl,base43022,base0,43022,compact_view_reinvest,chck_80M
14371,childes,160,1.751294732093811,40,heldout2647_full,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/heldout_cleanqwen_rows.jsonl,base43022,base0,43022,compact_view_reinvest,chck_80M
14405,childes,160,1.2288451194763184,37,heldout2647_full,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/heldout_cleanqwen_rows.jsonl,base43022,base0,43022,compact_view_reinvest,chck_80M
42988,open_subtitles,160,1.9217875003814697,41,heldout2647_full,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/heldout_cleanqwen_rows.jsonl,base43022,base0,43022,compact_view_reinvest,chck_80M
5232,childes,160,1.3001773357391357,35,heldout2647_full,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/heldout_cleanqwen_rows.jsonl,base43022,base0,43022,compact_view_reinvest,chck_80M
4840,childes,160,1.9418739080429077,34,heldout2647_full,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/heldout_cleanqwen_rows.jsonl,base43022,base0,43022,compact_view_reinvest,chck_80M
43943,open_subtitles,160,3.019380569458008,34,heldout2647_full,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/heldout_cleanqwen_rows.jsonl,base43022,base0,43022,compact_view_reinvest,chck_80M
47410,open_subtitles,160,3.3841731548309326,36,heldout2647_full,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/heldout_cleanqwen_rows.jsonl,base43022,base0,43022,compact_view_reinvest,chck_80M
38182,gutenberg,160,2.0458316802978516,32,heldout2647_full,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/heldout_cleanqwen_rows.jsonl,base43022,base0,43022,compact_view_reinvest,chck_80M
24965,gutenberg,160,2.8617825508117676,26,heldout2647_full,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/heldout_cleanqwen_rows.jsonl,base43022,base0,43022,compact_view_reinvest,chck_80M
5082,childes,160,1.154213786125183,36,heldout2647_full,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/heldout_cleanqwen_rows.jsonl,base43022,base0,43022,compact_view_reinvest,chck_80M
29146,gutenberg,160,4.962343215942383,29,heldout2647_full,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/heldout_cleanqwen_rows.jsonl,base43022,base0,43022,compact_view_reinvest,chck_80M
48955,open_subtitles,160,4.198012351989746,30,heldout2647_full,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/heldout_cleanqwen_rows.jsonl,base43022,base0,43022,compact_view_reinvest,chck_80M
41567,open_subtitles,160,3.4423391819000244,36,heldout2647_full,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/heldout_cleanqwen_rows.jsonl,base43022,base0,43022,compact_view_reinvest,chck_80M
13103,childes,160,1.374787449836731,29,heldout2647_full,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/heldout_cleanqwen_rows.jsonl,base43022,base0,43022,compact_view_reinvest,chck_80M
47039,open_subtitles,160,3.527012586593628,25,heldout2647_full,experiments/archive/frontier_consolidation/data/density_cleanqwen_overlay_medium_riskhard/heldout_cleanqwen_rows.jsonl,base43022,base0,43022,compact_view_reinvest,chck_80M
