subset,arm,dose,seed,n_min,mean_loss,sd_across_checkpoints,mean_masked
heldout2647_full,base43022,base0,43022,2647,2.585786980648941,0.01583351533247924,34.54854552323385
heldout2647_full,dose21_43022,dose21,43022,2647,2.5905362567685506,0.019085017357735302,34.54854552323385
heldout2647_full,dose25_43022,dose25,43022,2647,2.6096908106480226,0.02079315486668826,34.54854552323385
heldout2647_inherited_aln_text_hit,base43022,base0,43022,904,2.9554269513593314,0.01736066815995011,33.317477876106196
heldout2647_inherited_aln_text_hit,dose21_43022,dose21,43022,904,2.9613920934278526,0.02120460199124762,33.317477876106196
heldout2647_inherited_aln_text_hit,dose25_43022,dose25,43022,904,2.980815334624685,0.02258672125055614,33.317477876106196
heldout2647_no_inherited_aln_text,base43022,base0,43022,1743,2.3940746837343148,0.015041905329354718,35.187033849684454
heldout2647_no_inherited_aln_text,dose21_43022,dose21,43022,1743,2.398193355827639,0.01798578721001965,35.187033849684454
heldout2647_no_inherited_aln_text,dose25_43022,dose25,43022,1743,2.4172085561013206,0.0198640687885348,35.187033849684454
strict_complement_ngram_3000,base43022,base0,43022,3000,3.139229564302498,0.03208015669233327,35.293
strict_complement_ngram_3000,dose21_43022,dose21,43022,3000,3.1780616734491454,0.04053048528337062,35.293
strict_complement_ngram_3000,dose25_43022,dose25,43022,3000,3.170687771883276,0.03458009163348466,35.293
