subset,seed,checkpoint,base0_loss,dose21_loss,dose25_loss,dose21_minus_base0,dose25_minus_base0,dose25_minus_dose21
heldout2647_full,43022,chck_100M,2.574555183508552,2.5777455817200496,2.595493593448115,0.0031903982114975804,0.020938409939562863,0.017748011728065283
heldout2647_full,43022,chck_80M,2.6038962877825225,2.612473050511502,2.6335579778367184,0.00857676272897967,0.029661690054195944,0.021084927325216274
heldout2647_full,43022,chck_90M,2.5789094706557476,2.5813901380741,2.600020860659235,0.0024806674183524002,0.021111390003487607,0.018630722585135207
heldout2647_inherited_aln_text_hit,43022,chck_100M,2.9432361370232782,2.9472423301333874,2.9651617257468468,0.004006193110109191,0.021925588723568534,0.017919395613459344
heldout2647_inherited_aln_text_hit,43022,chck_80M,2.9753038981121724,2.9857722717971926,3.006708222581486,0.010468373685020183,0.031404324469313405,0.020935950784293222
heldout2647_inherited_aln_text_hit,43022,chck_90M,2.9477408189425427,2.951161678352978,2.9705760555457226,0.0034208594104354617,0.022835236603179876,0.019414377192744414
heldout2647_no_inherited_aln_text,43022,chck_100M,2.383340277038493,2.386107566478709,2.403766690637987,0.002767289440215759,0.02042641359949382,0.01765912415927806
heldout2647_no_inherited_aln_text,43022,chck_80M,2.411267211627615,2.4188628978768127,2.440025091290953,0.007595686249197708,0.02875787966333787,0.021162193414140162
heldout2647_no_inherited_aln_text,43022,chck_90M,2.3876165625368357,2.3896096031273952,2.4078338863750215,0.0019930405905594917,0.020217323838185752,0.01822428324762626
strict_complement_ngram_3000,43022,chck_100M,3.1139369182785352,3.1502731038133303,3.1454181838432946,0.03633618553479501,0.031481265564759386,-0.0048549199700356205
strict_complement_ngram_3000,43022,chck_80M,3.175314061224461,3.2245683299303054,3.210096969306469,0.049254268705844595,0.034782908082008124,-0.014471360623836471
strict_complement_ngram_3000,43022,chck_90M,3.1284377134044967,3.1593435866038004,3.1565481625000635,0.030905873199303713,0.028110449095566814,-0.0027954241037368988
