mode,mean_abs_dlog_1M,mean_dlog_1M,mean_abs_dlog_10M,mean_abs_dlog_20M,mean_abs_dlog_50M,max_abs_dlog_final
current,0.0,0.0,0.0,0.0,0.0,0.0
source_childes_taper_f25_d15,0.0,0.0,0.0,0.0,0.0,0.0
source_childes_taper_f25_d25,0.0,0.0,0.0,0.0,0.0,0.0
source_childes_taper_f25_d40,0.0,0.0,0.0,0.0,0.0,0.0
source_childes_taper_f25_d60,0.0,0.0,0.0,0.0,0.0,0.0
source_childes_taper_f40_d15,0.0,0.0,0.0,0.0,0.0,0.0
source_childes_taper_f40_d25,0.0,0.0,0.0,0.0,0.0,0.0
source_childes_taper_f40_d40,0.0,0.0,0.0,0.0,0.0,0.0
source_childes_taper_f40_d60,0.0,0.0,0.0,0.0,0.0,0.0
source_childes_taper_f55_d15,0.0,0.0,0.0,0.0,0.0,0.0
source_childes_taper_f55_d25,0.0,0.0,0.0,0.0,0.0,0.0
source_childes_taper_f55_d40,0.0,0.0,0.0,0.0,0.0,0.0
source_childes_taper_f55_d60,0.0,0.0,0.0,0.0,0.0,0.0
source_childes_taper_f70_d15,0.0,0.0,0.0,0.0,0.0,0.0
source_childes_taper_f70_d25,0.0,0.0,0.0,0.0,0.0,0.0
source_childes_taper_f70_d40,0.0,0.0,0.0,0.0,0.0,0.0
source_childes_taper_f70_d60,0.0,0.0,0.0,0.0,0.0,0.0
source_childes_taper_rowsort_ratio_f40_d25,0.0,0.0,0.0,0.0,0.0,0.0
source_childes_taper_rowsort_comp_f40_d25,0.0,0.0,0.0,0.0,0.0,0.0
source_childes_taper_rowsort_ratio_f40_d40,0.0,0.0,0.0,0.0,0.0,0.0
source_childes_taper_rowsort_comp_f40_d40,0.0,0.0,0.0,0.0,0.0,0.0
source_childes_taper_rowsort_ratio_f55_d25,0.0,0.0,0.0,0.0,0.0,0.0
source_childes_taper_rowsort_comp_f55_d25,0.0,0.0,0.0,0.0,0.0,0.0
source_childes_taper_rowsort_ratio_f55_d40,0.0,0.0,0.0,0.0,0.0,0.0
source_childes_taper_rowsort_comp_f55_d40,0.0,0.0,0.0,0.0,0.0,0.0
global_sort__childes_ratio,0.0,0.0,0.0,0.0,0.0,0.0
global_sort__childes_composite,0.0,0.0,0.0,0.0,0.0,0.0
global_sort__childes_freq,0.0,0.0,0.0,0.0,0.0,0.0
global_sort__spoken_freq,0.0,0.0,0.0,0.0,0.0,0.0
global_sort__whole_freq,0.0,0.0,0.0,0.0,0.0,0.0
global_sort__cdi_density,0.0,0.0,0.0,0.0,0.0,0.0
global_sort__child_early,0.0,0.0,0.0,0.0,0.0,0.0
global_sort__written_control,0.0,0.0,0.0,0.0,0.0,0.0
