arm,checkpoint,predictions,source_payload,score_from_payload,is_clean_reference,group,numops_group,split_group,macro_score_pp,micro_accuracy_pp,n_scored,subtask_count,pred_correct_option_frac_micro,pred_not_in_options_frac_micro
regmax_adultprose,chck_100M,experiments/archive/frontier_consolidation/data/register_decisive_gpu_eval/official_outputs/regmax_adultprose_chck_100M/Entity/chck_100M/regmax_adultprose_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,experiments/archive/frontier_consolidation/data/register_decisive_gpu_eval/per_target/regmax_adultprose_chck_100M.json,26.96,False,all_18_subtasks,all,all,26.958726886027165,26.386430678466077,6780,18,,
regmax_adultprose,chck_100M,experiments/archive/frontier_consolidation/data/register_decisive_gpu_eval/official_outputs/regmax_adultprose_chck_100M/Entity/chck_100M/regmax_adultprose_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,experiments/archive/frontier_consolidation/data/register_decisive_gpu_eval/per_target/regmax_adultprose_chck_100M.json,26.96,False,numops_0,0,all,38.296513625149565,38.35171966255678,1541,3,0.3835171966255678,0.0
regmax_adultprose,chck_100M,experiments/archive/frontier_consolidation/data/register_decisive_gpu_eval/official_outputs/regmax_adultprose_chck_100M/Entity/chck_100M/regmax_adultprose_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,experiments/archive/frontier_consolidation/data/register_decisive_gpu_eval/per_target/regmax_adultprose_chck_100M.json,26.96,False,numops_1,1,all,17.327528594184056,17.346938775510203,1274,3,0.17346938775510204,0.0
regmax_adultprose,chck_100M,experiments/archive/frontier_consolidation/data/register_decisive_gpu_eval/official_outputs/regmax_adultprose_chck_100M/Entity/chck_100M/regmax_adultprose_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,experiments/archive/frontier_consolidation/data/register_decisive_gpu_eval/per_target/regmax_adultprose_chck_100M.json,26.96,False,numops_2,2,all,19.105589879700297,19.14543960558751,1217,3,0.1914543960558751,0.0
regmax_adultprose,chck_100M,experiments/archive/frontier_consolidation/data/register_decisive_gpu_eval/official_outputs/regmax_adultprose_chck_100M/Entity/chck_100M/regmax_adultprose_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,experiments/archive/frontier_consolidation/data/register_decisive_gpu_eval/per_target/regmax_adultprose_chck_100M.json,26.96,False,numops_3,3,all,24.202674915341742,24.193548387096776,1240,3,0.24193548387096775,0.0
regmax_adultprose,chck_100M,experiments/archive/frontier_consolidation/data/register_decisive_gpu_eval/official_outputs/regmax_adultprose_chck_100M/Entity/chck_100M/regmax_adultprose_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,experiments/archive/frontier_consolidation/data/register_decisive_gpu_eval/per_target/regmax_adultprose_chck_100M.json,26.96,False,numops_4,4,all,27.5505328611584,27.829787234042552,1175,3,0.2782978723404255,0.0
regmax_adultprose,chck_100M,experiments/archive/frontier_consolidation/data/register_decisive_gpu_eval/official_outputs/regmax_adultprose_chck_100M/Entity/chck_100M/regmax_adultprose_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,experiments/archive/frontier_consolidation/data/register_decisive_gpu_eval/per_target/regmax_adultprose_chck_100M.json,26.96,False,numops_5,5,all,35.26952144062893,35.13513513513514,333,3,0.35135135135135137,0.0
regmax_adultprose,chck_100M,experiments/archive/frontier_consolidation/data/register_decisive_gpu_eval/official_outputs/regmax_adultprose_chck_100M/Entity/chck_100M/regmax_adultprose_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,experiments/archive/frontier_consolidation/data/register_decisive_gpu_eval/per_target/regmax_adultprose_chck_100M.json,26.96,False,zero_ops,zero,all,38.296513625149565,38.35171966255678,1541,3,0.3835171966255678,0.0
regmax_adultprose,chck_100M,experiments/archive/frontier_consolidation/data/register_decisive_gpu_eval/official_outputs/regmax_adultprose_chck_100M/Entity/chck_100M/regmax_adultprose_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,experiments/archive/frontier_consolidation/data/register_decisive_gpu_eval/per_target/regmax_adultprose_chck_100M.json,26.96,False,nonzero_ops,nonzero,all,24.691169538202686,22.866959343386142,5239,15,0.22866959343386142,0.0
regmax_adultprose,chck_100M,experiments/archive/frontier_consolidation/data/register_decisive_gpu_eval/official_outputs/regmax_adultprose_chck_100M/Entity/chck_100M/regmax_adultprose_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,experiments/archive/frontier_consolidation/data/register_decisive_gpu_eval/per_target/regmax_adultprose_chck_100M.json,26.96,False,split_ambiref,all,ambiref,26.23007176117027,25.615550755939523,2315,6,0.25615550755939526,0.0
