arm,checkpoint,predictions,source_payload,score_from_payload,is_clean_reference,split,numops,n_gold_filtered,n_pred,n_scored,correct,score_pp,pred_correct_option_frac,pred_wrong_option_frac,pred_not_in_options_frac
regmax_adultprose,chck_100M,experiments/archive/frontier_consolidation/data/register_decisive_gpu_eval/official_outputs/regmax_adultprose_chck_100M/Entity/chck_100M/regmax_adultprose_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,experiments/archive/frontier_consolidation/data/register_decisive_gpu_eval/per_target/regmax_adultprose_chck_100M.json,26.96,False,ambiref,0,508,508,508,142,27.95275590551181,0.2795275590551181,0.281496062992126,0.0
regmax_adultprose,chck_100M,experiments/archive/frontier_consolidation/data/register_decisive_gpu_eval/official_outputs/regmax_adultprose_chck_100M/Entity/chck_100M/regmax_adultprose_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,experiments/archive/frontier_consolidation/data/register_decisive_gpu_eval/per_target/regmax_adultprose_chck_100M.json,26.96,False,ambiref,1,428,428,428,75,17.523364485981308,0.17523364485981308,0.3621495327102804,0.0
regmax_adultprose,chck_100M,experiments/archive/frontier_consolidation/data/register_decisive_gpu_eval/official_outputs/regmax_adultprose_chck_100M/Entity/chck_100M/regmax_adultprose_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,experiments/archive/frontier_consolidation/data/register_decisive_gpu_eval/per_target/regmax_adultprose_chck_100M.json,26.96,False,ambiref,2,413,413,413,96,23.24455205811138,0.2324455205811138,0.24939467312348668,0.0
regmax_adultprose,chck_100M,experiments/archive/frontier_consolidation/data/register_decisive_gpu_eval/official_outputs/regmax_adultprose_chck_100M/Entity/chck_100M/regmax_adultprose_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,experiments/archive/frontier_consolidation/data/register_decisive_gpu_eval/per_target/regmax_adultprose_chck_100M.json,26.96,False,ambiref,3,409,409,409,101,24.69437652811736,0.2469437652811736,0.2176039119804401,0.0
regmax_adultprose,chck_100M,experiments/archive/frontier_consolidation/data/register_decisive_gpu_eval/official_outputs/regmax_adultprose_chck_100M/Entity/chck_100M/regmax_adultprose_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,experiments/archive/frontier_consolidation/data/register_decisive_gpu_eval/per_target/regmax_adultprose_chck_100M.json,26.96,False,ambiref,4,434,434,434,140,32.25806451612903,0.3225806451612903,0.15898617511520738,0.0
regmax_adultprose,chck_100M,experiments/archive/frontier_consolidation/data/register_decisive_gpu_eval/official_outputs/regmax_adultprose_chck_100M/Entity/chck_100M/regmax_adultprose_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,experiments/archive/frontier_consolidation/data/register_decisive_gpu_eval/per_target/regmax_adultprose_chck_100M.json,26.96,False,ambiref,5,123,123,123,39,31.70731707317073,0.3170731707317073,0.14634146341463414,0.0
regmax_adultprose,chck_100M,experiments/archive/frontier_consolidation/data/register_decisive_gpu_eval/official_outputs/regmax_adultprose_chck_100M/Entity/chck_100M/regmax_adultprose_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,experiments/archive/frontier_consolidation/data/register_decisive_gpu_eval/per_target/regmax_adultprose_chck_100M.json,26.96,False,regular,0,517,517,517,210,40.61895551257253,0.40618955512572535,0.2804642166344294,0.0
regmax_adultprose,chck_100M,experiments/archive/frontier_consolidation/data/register_decisive_gpu_eval/official_outputs/regmax_adultprose_chck_100M/Entity/chck_100M/regmax_adultprose_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,experiments/archive/frontier_consolidation/data/register_decisive_gpu_eval/per_target/regmax_adultprose_chck_100M.json,26.96,False,regular,1,409,409,409,67,16.381418092909534,0.16381418092909536,0.3105134474327628,0.0
regmax_adultprose,chck_100M,experiments/archive/frontier_consolidation/data/register_decisive_gpu_eval/official_outputs/regmax_adultprose_chck_100M/Entity/chck_100M/regmax_adultprose_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,experiments/archive/frontier_consolidation/data/register_decisive_gpu_eval/per_target/regmax_adultprose_chck_100M.json,26.96,False,regular,2,405,405,405,71,17.530864197530864,0.17530864197530865,0.345679012345679,0.0
regmax_adultprose,chck_100M,experiments/archive/frontier_consolidation/data/register_decisive_gpu_eval/official_outputs/regmax_adultprose_chck_100M/Entity/chck_100M/regmax_adultprose_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,experiments/archive/frontier_consolidation/data/register_decisive_gpu_eval/per_target/regmax_adultprose_chck_100M.json,26.96,False,regular,3,425,425,425,100,23.529411764705884,0.23529411764705882,0.2611764705882353,0.0
