contrast_name,contrast,checkpoint,arm_A,arm_B,group,numops_group,split_group,A_macro_pp,B_macro_pp,delta_macro_pp,A_micro_pp,B_micro_pp,delta_micro_pp,A_n_scored,B_n_scored
regmax_adultprose_minus_clean,arm_minus_clean,chck_100M,regmax_adultprose,clean_maxgeom,all_18_subtasks,all,all,26.958726886027165,24.824557595722908,2.134169290304257,26.386430678466077,25.206489675516224,1.1799410029498532,6780,6780
regmax_adultprose_minus_clean,arm_minus_clean,chck_100M,regmax_adultprose,clean_maxgeom,ambiref_nonzero_ops,nonzero,ambiref,25.885534932301958,22.357075086091577,3.5284598462103816,24.958494742667405,22.02545655783066,2.9330381848367466,1807,1807
regmax_adultprose_minus_clean,arm_minus_clean,chck_100M,regmax_adultprose,clean_maxgeom,ambiref_zero_ops,zero,ambiref,27.95275590551181,30.511811023622048,-2.559055118110237,27.95275590551181,30.511811023622048,-2.559055118110237,508,508
regmax_adultprose_minus_clean,arm_minus_clean,chck_100M,regmax_adultprose,clean_maxgeom,move_contents_nonzero_ops,nonzero,move_contents,24.259406751075037,22.07613668511332,2.183270065961718,21.858562244301577,20.631209818819404,1.2273524254821737,1711,1711
regmax_adultprose_minus_clean,arm_minus_clean,chck_100M,regmax_adultprose,clean_maxgeom,move_contents_zero_ops,zero,move_contents,46.31782945736434,44.76744186046512,1.5503875968992205,46.31782945736434,44.76744186046512,1.5503875968992205,516,516
regmax_adultprose_minus_clean,arm_minus_clean,chck_100M,regmax_adultprose,clean_maxgeom,nonzero_ops,nonzero,all,24.691169538202686,21.88239319725652,2.8087763409461672,22.866959343386142,20.977285741553732,1.8896736018324098,5239,5239
regmax_adultprose_minus_clean,arm_minus_clean,chck_100M,regmax_adultprose,clean_maxgeom,numops_0,0,all,38.296513625149565,39.535379588054845,-1.2388659629052796,38.35171966255678,39.584685269305645,-1.2329656067488628,1541,1541
regmax_adultprose_minus_clean,arm_minus_clean,chck_100M,regmax_adultprose,clean_maxgeom,numops_1,1,all,17.327528594184056,14.78705301088435,2.540475583299706,17.346938775510203,14.835164835164836,2.5117739403453676,1274,1274
regmax_adultprose_minus_clean,arm_minus_clean,chck_100M,regmax_adultprose,clean_maxgeom,numops_2,2,all,19.105589879700297,19.29675622410284,-0.19116634440254288,19.14543960558751,19.309778142974526,-0.16433853738701742,1217,1217
regmax_adultprose_minus_clean,arm_minus_clean,chck_100M,regmax_adultprose,clean_maxgeom,numops_3,3,all,24.202674915341742,23.874869904120487,0.3278050112212547,24.193548387096776,23.870967741935484,0.3225806451612918,1240,1240
regmax_adultprose_minus_clean,arm_minus_clean,chck_100M,regmax_adultprose,clean_maxgeom,numops_4,4,all,27.5505328611584,24.40048605504374,3.150046806114659,27.829787234042552,24.595744680851062,3.2340425531914896,1175,1175
regmax_adultprose_minus_clean,arm_minus_clean,chck_100M,regmax_adultprose,clean_maxgeom,numops_5,5,all,35.26952144062893,27.05280079213118,8.216720648497748,35.13513513513514,27.027027027027028,8.108108108108109,333,333
regmax_adultprose_minus_clean,arm_minus_clean,chck_100M,regmax_adultprose,clean_maxgeom,regular_nonzero_ops,nonzero,regular,23.928566931231053,21.213967820564662,2.7145991106663914,21.673445671121442,20.22080185938408,1.4526438117373637,1721,1721
