budget,arm,sentences,words,mean_words,source_words
50k,treatment,1437,49999,34.79401530967293,"{""fw_compact_rewrites"": 872, ""fw_breadth_whole_sentence_companions"": 1925, ""compact_experience_aligned_10m_rows"": 40552, ""fw_frozen_sources_38167"": 6650}"
50k,neutral,3108,49999,16.087194337194337,"{""fw_compact_rewrites"": 872, ""fw_breadth_whole_sentence_companions"": 1925, ""compact_experience_aligned_10m_rows"": 40552, ""fw_frozen_sources_38167"": 6650}"
100k,treatment,2570,99992,38.907392996108946,"{""fw_compact_rewrites"": 1258, ""fw_breadth_whole_sentence_companions"": 3760, ""compact_experience_aligned_10m_rows"": 84745, ""fw_frozen_sources_38167"": 10229}"
100k,neutral,6382,99992,15.667815731745534,"{""fw_compact_rewrites"": 1258, ""fw_breadth_whole_sentence_companions"": 3754, ""compact_experience_aligned_10m_rows"": 84755, ""fw_frozen_sources_38167"": 10225}"
200k,treatment,4984,200000,40.12841091492777,"{""fw_compact_rewrites"": 2296, ""fw_breadth_whole_sentence_companions"": 7441, ""compact_experience_aligned_10m_rows"": 170135, ""fw_frozen_sources_38167"": 20128}"
200k,neutral,12867,199996,15.543327893059764,"{""fw_compact_rewrites"": 2296, ""fw_breadth_whole_sentence_companions"": 7452, ""compact_experience_aligned_10m_rows"": 170120, ""fw_frozen_sources_38167"": 20128}"
