role,checkpoint,group,n,margin_full,effect_no_initial,effect_no_last,effect_no_all
C,chck_100M,ALL,1221,0.6616444181678336,0.12781251357970522,-0.8252714136028075,-1.7877145851218583
C,chck_100M,rel1,16,0.46149279177188873,0.8137570768594742,2.136826515197754e-05,2.136826515197754e-05
C,chck_100M,rel2,489,0.19332827591091578,0.27015480262004526,-0.8288063580791155,-1.4109145517104853
C,chck_100M,rel3,296,0.7795119607770765,-0.14065994428017656,-0.9029429125020633,-1.9407231371749092
C,chck_100M,rel4,326,1.0444387129845063,0.1833206008365549,-0.8703965808899125,-2.115552436080447
C,chck_100M,rel5,94,1.4332325762890754,-0.07653090421189652,-0.5462770354240498,-2.4333882103575037
C,chck_100M,rel_ge2,1205,0.6643020331241283,0.11870453597599046,-0.836229658009353,-1.811452157946914
C,chck_100M,rel_ge3,716,0.9859586913325933,0.015269926494226775,-0.8412994815650598,-2.0850036795245868
C,chck_80M,ALL,1221,0.4856296529738655,0.23555321999376275,-0.7613000896599915,-1.6751436403968556
C,chck_80M,rel1,16,0.4303100258111954,0.8223486840724945,-0.06636295095086098,-0.06636295095086098
C,chck_80M,rel2,489,0.06817144292629569,0.39189816164214675,-0.7519813705928974,-1.2892327732758897
C,chck_80M,rel3,296,0.6192411757200151,-0.07367127912270056,-0.8560505277804427,-1.852131374381684
C,chck_80M,rel4,326,0.752585906786787,0.3130352107202349,-0.80489282310009,-1.9768112983120365
C,chck_80M,rel5,94,1.3201554962929258,0.027360867550398443,-0.4785180370858375,-2.3530040586248355
C,chck_80M,rel_ge2,1205,0.4863641874424155,0.22776174495205345,-0.7705274707548846,-1.6965050437421967
C,chck_80M,rel_ge3,716,0.7719734780407151,0.11566299109527185,-0.7831937318990351,-1.9746560776221187
C,chck_90M,ALL,1221,0.6952097280581011,0.05954040839572503,-0.8367350533616826,-1.7750075955453415
C,chck_90M,rel1,16,0.5556176900863647,0.7296370714902878,-0.0016187578439712524,-0.0016187578439712524
C,chck_90M,rel2,489,0.22402787370062557,0.20135869768377707,-0.840024160765919,-1.4110083596015268
C,chck_90M,rel3,296,0.8362290416214917,-0.20437626505421624,-0.9088950556879108,-1.899941908799716
C,chck_90M,rel4,326,1.0588409918034736,0.10993467033640739,-0.8935174044747294,-2.1077371326737975
C,chck_90M,rel5,94,1.4649532450006364,-0.13599027376225653,-0.5376188837467356,-2.423086978019552
C,chck_90M,rel_ge2,1205,0.69706323229673,0.05064285934218727,-0.8478237344639925,-1.79855466724926
C,chck_90M,rel_ge3,716,1.0201278836284269,-0.05229016432965268,-0.8531505382885147,-2.063233639930463
R,chck_100M,ALL,1221,0.11192171127336324,0.7496688820232533,-0.5907339894263887,-2.0369847740590523
R,chck_100M,rel1,16,-0.2031749188899994,1.1444054543972015,0.06765870749950409,0.06765870749950409
R,chck_100M,rel2,489,-0.3378664640165058,0.8273602433213183,-0.6472785148030653,-1.6164097262428339
R,chck_100M,rel3,296,-0.049864211396591085,0.7579913041680246,-0.43725768089093064,-2.1012721368791283
R,chck_100M,rel4,326,0.4789166926332047,0.6412973926385488,-0.7098497054053962,-2.4894402630718573
R,chck_100M,rel5,94,1.7420944026175966,0.6279540708724488,-0.4788326506919049,-2.8115161067627845
R,chck_100M,rel_ge2,1205,0.11610556694358216,0.7444275665394499,-0.5994761331200105,-2.0649302476731077
R,chck_100M,rel_ge3,716,0.42615071099313945,0.6877877914747379,-0.5668289757973655,-2.3712522239013256
R,chck_80M,ALL,1221,0.20081685133199043,0.6912302981625806,-0.5727402273318398,-1.863262936686464
R,chck_80M,rel1,16,0.0158807635307312,0.9102692902088165,0.15639229863882065,0.15639229863882065
R,chck_80M,rel2,489,-0.27329203510820743,0.7630809461412255,-0.5994155778871479,-1.3917333449109444
R,chck_80M,rel3,296,0.1286248117685318,0.6933566091229787,-0.4290852456076725,-2.0112780798730014
R,chck_80M,rel4,326,0.46321487143361495,0.6109938384747944,-0.7224899138226831,-2.3148543525692875
R,chck_80M,rel5,94,2.015979745286576,0.5517420756055954,-0.49109502295230295,-2.6277434705419744
R,chck_80M,rel_ge2,1205,0.20327243424055488,0.6883218966084397,-0.5824216550625706,-1.8900799356617373
R,chck_80M,rel_ge3,716,0.5287473302063995,0.637264389315797,-0.5708154703401986,-2.2304311687303655
R,chck_90M,ALL,1221,0.1077918747621516,0.7279508138025129,-0.582977804539147,-2.007364963162248
R,chck_90M,rel1,16,-0.13726353645324707,1.1158039569854736,0.015275001525878906,0.015275001525878906
R,chck_90M,rel2,489,-0.3289111401649584,0.8077038358325607,-0.651147633882388,-1.608966980868444
R,chck_90M,rel3,296,-0.03979144446753167,0.7224578691294065,-0.4298268764002903,-2.0626015477889292
R,chck_90M,rel4,326,0.4461532551452426,0.6299377515272129,-0.681458053276217,-2.4371942028266154
R,chck_90M,rel5,94,1.7125526552504682,0.6042624293489659,-0.4709045278265121,-2.7595404056792563
R,chck_90M,rel_ge2,1205,0.11104572254592453,0.7228008965486313,-0.590921410262832,-2.034221593398771
R,chck_90M,rel_ge3,716,0.41151905476048006,0.6648155092443834,-0.5497892547461241,-2.324653863688338
V,chck_100M,ALL,1221,0.8639298912738796,-0.19038948282465204,-0.8311354929457718,-1.1887677262836944
V,chck_100M,rel1,16,1.4632858037948608,-0.501224011182785,-0.6662589013576508,-0.6662589013576508
V,chck_100M,rel2,489,0.5237628677383767,-0.25761601481213403,-0.7865767070608393,-0.9789007183293867
V,chck_100M,rel3,296,0.6400566270222535,-0.12220786189710772,-0.8315592587396905,-1.2896730014299218
V,chck_100M,rel4,326,1.2661148975231895,-0.18811758347084187,-0.9930638919578739,-1.3543251760166848
V,chck_100M,rel5,94,1.8416549347816629,-0.010339189083018202,-0.5280842058202053,-1.4775487691798108
V,chck_100M,rel_ge2,1205,0.8559716384935181,-0.1862622193775731,-0.8333247256971493,-1.1957056027972353
V,chck_100M,rel_ge3,716,1.0828572375148369,-0.13753036746765648,-0.8652517942909422,-1.3437748604854725
V,chck_80M,ALL,1221,0.8586841960308691,-0.08582337973158834,-0.9254011515952055,-1.2987795100226254
V,chck_80M,rel1,16,1.3997975885868073,-0.3923428952693939,-0.7118719816207886,-0.7118719816207886
V,chck_80M,rel2,489,0.44825723944022366,-0.09398198962699172,-0.8295489842174975,-1.004506067249063
V,chck_80M,rel3,296,0.6191113206583101,-0.06359475931605778,-0.9591142281487182,-1.4132764180870474
V,chck_80M,rel4,326,1.3555589369469625,-0.11486639493813544,-1.1529630758096836,-1.5726282651439034
V,chck_80M,rel5,94,1.932869015855992,0.03951942667048028,-0.5650173070582938,-1.619252435704495
V,chck_80M,rel_ge2,1205,0.8514992879139437,-0.08175341106054694,-0.9282363936861521,-1.306572473055347
V,chck_80M,rel_ge3,716,1.1268978377793755,-0.07340177011223478,-0.995636035069074,-1.5128720155682978
V,chck_90M,ALL,1221,0.8016995922841565,-0.18508353531604707,-0.7629209482015693,-1.0778684293291394
V,chck_90M,rel1,16,1.4440770745277405,-0.46229296922683716,-0.6099778711795807,-0.6099778711795807
V,chck_90M,rel2,489,0.4991793855567651,-0.25882312862663426,-0.725083371978596,-0.8963491013749733
V,chck_90M,rel3,296,0.5540607883720785,-0.11019589308951352,-0.761324704096124,-1.1617672434328377
V,chck_90M,rel4,326,1.1670621227633002,-0.179154810364261,-0.9120817389224936,-1.2270904896449457
