role,checkpoint,group,n,mean_gain,mean_repeated_nll,mean_unrepeated_nll
C,chck_100M,ALL,2000,3.597287314325895,0.4339666307109487,4.031253945036844
C,chck_100M,span_1,1000,3.6127885651636418,0.5912755194960673,4.204064084659709
C,chck_100M,span_4,1000,3.581786063488149,0.27665774192583015,3.8584438054139794
C,chck_80M,ALL,2000,3.6135650503183854,0.4513260041554254,4.064891054473811
C,chck_80M,span_1,1000,3.612600245387631,0.6130179702242377,4.225618215611869
C,chck_80M,span_4,1000,3.6145298552491396,0.28963403808661314,3.9041638933357525
C,chck_90M,ALL,2000,3.6080782416776604,0.4396818186267387,4.047760060304399
C,chck_90M,span_1,1000,3.6233114583303885,0.5992895076939739,4.222600966024363
C,chck_90M,span_4,1000,3.5928450250249324,0.2800741295595035,3.872919154584436
R,chck_100M,ALL,2000,4.187040071393741,0.20712771157045345,4.394167782964195
R,chck_100M,span_1,1000,4.286957234443788,0.30298055817117103,4.589937792614959
R,chck_100M,span_4,1000,4.087122908343694,0.11127486496973586,4.198397773313431
R,chck_80M,ALL,2000,4.1548929216611175,0.22192374102056,4.376816662681677
R,chck_80M,span_1,1000,4.257136112984391,0.3249448484880541,4.582080961472445
R,chck_80M,span_4,1000,4.052649730337844,0.11890263355306592,4.1715523638909096
R,chck_90M,ALL,2000,4.155117308770289,0.21239698997502524,4.367514298745314
R,chck_90M,span_1,1000,4.244628440600533,0.30898155878914146,4.553609999389675
R,chck_90M,span_4,1000,4.065606176940045,0.11581242116090902,4.1814185981009535
V,chck_100M,ALL,2000,3.945561001403325,0.3973483834187346,4.34290938482206
V,chck_100M,span_1,1000,3.9651609209578096,0.5727513013891328,4.537912222346942
V,chck_100M,span_4,1000,3.925961081848841,0.22194546544833635,4.147906547297177
V,chck_80M,ALL,2000,3.9051383016523586,0.41531961551742086,4.3204579171697794
V,chck_80M,span_1,1000,3.925176381408856,0.5902001724049539,4.51537655381381
V,chck_80M,span_4,1000,3.885100221895861,0.24043905862988776,4.125539280525748
V,chck_90M,ALL,2000,3.9123457525325893,0.407738273813367,4.320084026345956
V,chck_90M,span_1,1000,3.9324508156410865,0.5855013069433085,4.517952122584395
V,chck_90M,span_4,1000,3.892240689424092,0.22997524068342556,4.122215930107518
