family,seed,group,contrast,n_min,margin_full_delta,effect_no_initial_delta,effect_no_last_delta,effect_no_all_delta
entity_ablation,43222,ALL,VminusC,1221,0.2272766267963684,-0.2947341799471601,-0.03205034537268836,0.5574833851428653
entity_ablation,43222,ALL,RminusC,1221,-0.4739844539440983,0.5819812840063846,0.22561817844236864,-0.22324895094790298
entity_ablation,43222,ALL,VminusR,1221,0.7012610807404667,-0.8767154639535447,-0.257668523815057,0.7807323360907683
entity_ablation,43222,rel1,VminusC,16,0.9532466530799866,-1.2405342360337577,-0.6400494712094466,-0.6400494712094466
entity_ablation,43222,rel1,RminusC,16,-0.5906593998273214,0.2682452897230784,0.10242878273129463,0.10242878273129463
entity_ablation,43222,rel1,VminusR,16,1.543906052907308,-1.508779525756836,-0.7424782539407412,-0.7424782539407412
entity_ablation,43222,rel2,VminusC,489,0.3285573000658428,-0.49127759833724305,0.026534275393666484,0.41046659921149287
entity_ablation,43222,rel2,RminusC,489,-0.4751990772758362,0.5115777877830451,0.1743233876217769,-0.16865145581144025
entity_ablation,43222,rel2,VminusR,489,0.8037563773416789,-1.002855386120288,-0.14778911222811042,0.5791180550229331
entity_ablation,43222,rel3,VminusC,296,-0.14058448068864704,0.04090299138480477,0.03863010166196135,0.6093599191355008
entity_ablation,43222,rel3,RminusC,296,-0.7320043407380581,0.864171090292501,0.4572395643571744,-0.16078511472824997
entity_ablation,43222,rel3,VminusR,296,0.591419860049411,-0.8232680989076964,-0.41860946269521304,0.7701450338637508
entity_ablation,43222,rel4,VminusC,326,0.31095678188622855,-0.36280975688881184,-0.1631006327417731,0.6820189787535824
entity_ablation,43222,rel4,RminusC,326,-0.48919359745423485,0.425312833582453,0.1516697119868119,-0.3471293171338261
entity_ablation,43222,rel4,VminusR,326,0.8001503793404634,-0.7881225904712648,-0.314770344728585,1.0291482958874085
entity_ablation,43222,rel5,VminusC,94,0.44499351623210504,0.06788888238106212,-0.0014004749609224376,0.9308629217722737
entity_ablation,43222,rel5,RminusC,94,0.4174284951906677,0.6563729620835883,0.04052725159530096,-0.3297735786607081
entity_ablation,43222,rel5,VminusR,94,0.02756502104143732,-0.5884840797025261,-0.0419277265562234,1.2606365004329818
entity_ablation,43222,rel_ge2,VminusC,1205,0.21763719076272692,-0.2821758389534792,-0.023977327934191828,0.5733842363475432
entity_ablation,43222,rel_ge2,RminusC,1205,-0.472435243044404,0.5861470731420966,0.22725388826093906,-0.22757330259841524
entity_ablation,43222,rel_ge2,VminusR,1205,0.6900724338071309,-0.8683229120955758,-0.2512312161951309,0.8009575389459584
entity_ablation,43222,rel_ge3,VminusC,716,0.14188309376660468,-0.13936751445814327,-0.05847477769302256,0.6846506114306838
entity_ablation,43222,rel_ge3,RminusC,716,-0.4705476523472387,0.6370749789250241,0.26340335028964057,-0.26781461974762033
entity_ablation,43222,rel_ge3,VminusR,716,0.6124307461138434,-0.7764424933831674,-0.32187812798266313,0.9524652311783042
