family,seed,group,contrast,n_min,gain_delta,repeated_nll_delta,unrepeated_nll_delta
copy,43222,ALL,RminusC,2000,0.5593732318344022,-0.22784200364235807,0.33153122819204395
copy,43222,ALL,VminusC,2000,0.3147048164221107,-0.034856060247863474,0.2798487561742471
copy,43222,ALL,RminusV,2000,0.24466841541229156,-0.1929859433944946,0.051682472017796854
copy,43222,span_1,RminusC,1000,0.6466738397156835,-0.28889201065530407,0.3577818290603796
copy,43222,span_1,VminusC,1000,0.32469594970869675,-0.01837673889229452,0.3063192108164028
copy,43222,span_1,RminusV,1000,0.32197789000698673,-0.27051527176300955,0.0514626182439768
copy,43222,span_4,RminusC,1000,0.47207262395312055,-0.16679199662941196,0.30528062732370875
copy,43222,span_4,VminusC,1000,0.30471368313552416,-0.051335381603432345,0.25337830153209184
copy,43222,span_4,RminusV,1000,0.1673589408175964,-0.11545661502597963,0.05190232579161691
