tokenizer,length,rows,charged_words,visible_tokens,full256_tokens,visible_token_fraction,visible_word_groups,full256_word_groups,hidden_group_fraction,masked_tokens_sample,selected_word_groups_sample,visible_groups_per_debited_word
legal16k,64,256,39370,16384,56236,0.2913436233017996,11538,38595,0.7010493587252234,2406,1669,0.29306578613157225
legal16k,128,256,39370,32641,56236,0.5804289067501245,22881,38595,0.40715118538670814,4753,3341,0.5811785623571247
legal16k,256,256,39370,56236,56236,1.0,38595,38595,0.0,8330,5738,0.9803149606299213
minfreq50_supportfloor,64,256,39370,16384,55719,0.29404691397907357,11681,38691,0.698095164250084,2372,1699,0.2966979933959868
minfreq50_supportfloor,128,256,39370,32639,55719,0.585778639243346,23174,38691,0.4010493396397095,4759,3391,0.5886207772415545
minfreq50_supportfloor,256,256,39370,55719,55719,1.0,38691,38691,0.0,8371,5752,0.982753365506731
