tokenizer,length,raw_tokens_per_word,prefix_hidden_word_fraction,prefix_active_tokens_per_epoch,faithful_active_tokens_per_epoch,target_token_ratio,prefix_steps_per_epoch,faithful_steps_per_epoch,step_ratio,faithful_chunks_per_epoch,inverse_scaled_row_batch,faithful_words_charged_per_epoch,overlong_words
legal16k,64,1.4664519,0.7071948,4143305,14578186,3.518492121627541,253,258,1.0197628458498025,263212,1024,10000000,5
legal16k,128,1.4664519,0.4191173,8277792,14578186,1.7611201151224867,253,281,1.1106719367588933,143554,512,10000000,0
legal16k,256,1.4664519,0.0180456,14294893,14578186,1.0198177768801766,253,309,1.2213438735177866,79021,256,10000000,0
minfreq50_supportfloor,64,1.44836,0.7035306,4143305,14397736,3.474939933217564,253,255,1.007905138339921,260319,1024,10000000,5
minfreq50_supportfloor,128,1.44836,0.411745,8276722,14397736,1.739545680040963,253,279,1.1027667984189724,142469,512,10000000,0
minfreq50_supportfloor,256,1.44836,0.0162517,14152904,14397736,1.0172990645594713,253,305,1.2055335968379446,78012,256,10000000,0
