domain,n,accuracy,stable_failure,stable_failure_frac_all,stable_failure_frac_wrong,wrong,interaction_sum_median
agent-properties,2210,0.5149321266968325,754,0.3411764705882353,0.7033582089552238,1072,0.028938942588865757
social-relations,1548,0.5155038759689923,500,0.32299741602067183,0.6666666666666666,750,0.09765443857759237
physical-relations,818,0.5061124694376528,286,0.34963325183374083,0.7079207920792079,404,0.1789603754878044
material-dynamics,770,0.4779220779220779,235,0.3051948051948052,0.5845771144278606,402,0.001484990119934082
physical-interactions,556,0.46402877697841727,222,0.39928057553956836,0.7449664429530202,298,-0.20166705548763275
spatial-relations,490,0.48775510204081635,206,0.4204081632653061,0.8207171314741036,251,-0.12526967929443344
social-interactions,294,0.47959183673469385,114,0.3877551020408163,0.7450980392156863,153,-0.3723302632570267
social-properties,328,0.5060975609756098,91,0.2774390243902439,0.5617283950617284,162,0.14369649440050125
quantitative-properties,314,0.5573248407643312,76,0.24203821656050956,0.5467625899280576,139,0.3234492093324661
material-properties,170,0.5470588235294118,41,0.2411764705882353,0.5324675324675324,77,0.21795395389199257
physical-dynamics,120,0.49166666666666664,36,0.3,0.5901639344262295,61,0.455787873826921
