family,arch,arm,checkpoint,seed,role,group,n,mean_margin_full,mean_effect_no_initial_qbox,mean_effect_no_last_relevant_update,mean_effect_no_all_relevant_updates,mean_margin_no_all_relevant_updates,mean_margin_no_initial_qbox,mean_margin_no_last_relevant_update,mean_relevant_updates,mean_total_ops
entity_ablation,RBT,RBT_RS_43022,chck_100M,43022,R,ALL,1221,0.2585041399962779,0.09685461302451868,-0.24636907395918187,-0.18777427831504503,0.07072986168123288,0.3553587530207966,0.012135066037096028,2.994266994266994,9.25962325962326
entity_ablation,RBT,RBT_RS_43022,chck_100M,43022,R,rel_ge2,1205,0.24955057603195,0.10155308325755645,-0.24439150337361695,-0.1850186855466534,0.0645318904852966,0.3511036592895065,0.005159072658333047,3.020746887966805,9.269709543568466
entity_ablation,RBT,RBT_RS_43022,chck_100M,43022,R,rel_ge3,716,0.29853354519305947,0.11731346226271304,-0.2681300893176201,-0.23146648080655316,0.06706706438650632,0.4158470074557725,0.030403455875439352,3.717877094972067,9.886871508379889
entity_ablation,RBT,RBT_RS_43022,chck_100M,43022,R,rel_updates_1,16,0.9328194260597229,-0.2569989264011383,-0.3953048586845398,-0.3953048586845398,0.5375145673751831,0.6758204996585846,0.5375145673751831,1.0,8.5
entity_ablation,RBT,RBT_RS_43022,chck_100M,43022,R,rel_updates_2,489,0.17782909153429277,0.0784765364933599,-0.20963316485438122,-0.11700923481845661,0.06081985671583617,0.25630562802765267,-0.03180407332008846,2.0,8.366053169734151
entity_ablation,RBT,RBT_RS_43022,chck_100M,43022,R,rel_updates_3,296,0.022277884386681223,0.0284237708594348,-0.34276250568596095,-0.3494387397894988,-0.3271608554028176,0.05070165524611602,-0.3204846212992797,3.0,9.54054054054054
entity_ablation,RBT,RBT_RS_43022,chck_100M,43022,R,rel_updates_4,326,0.5144227304341603,0.18645204722515643,-0.26560696868077377,-0.14204463051872018,0.3723780999154401,0.7008747776593167,0.24881576175338652,4.0,10.13803680981595
entity_ablation,RBT,RBT_RS_43022,chck_100M,43022,R,rel_updates_5,94,0.4197229197684755,0.15744292989690253,-0.04186777104722693,-0.1701019545818897,0.24962096518658577,0.577165849665378,0.37785514872124853,5.0,10.106382978723405
entity_ablation,RBT,RBT_RS_43022,chck_100M,43022,R,type_ambiref,399,0.383516554246869,0.11583996595894185,-0.2647907754831147,-0.22858048620678129,0.1549360680400877,0.49935652020581084,0.11872577876375433,3.0526315789473686,9.230576441102757
entity_ablation,RBT,RBT_RS_43022,chck_100M,43022,R,type_move_contents,381,-0.05998988602105088,0.091427084967846,-0.17307050459654,-0.13068150566631728,-0.19067139168736816,0.03143719894679513,-0.23306039061759087,2.900262467191601,9.401574803149606
entity_ablation,RBT,RBT_RS_43022,chck_100M,43022,R,type_regular,441,0.42055917543078225,0.0843664778062816,-0.29302779509096727,-0.20017942441564027,0.22037975101514198,0.5049256532370638,0.12753138033981495,3.0226757369614514,9.16326530612245
entity_ablation,RBT,RBT_RS_43022,chck_60M,43022,R,ALL,1221,0.2537421789645758,0.03436337036738915,-0.25995829728272585,-0.23889113917495264,0.014851039789623164,0.28810554933196497,-0.006216118318150026,2.994266994266994,9.25962325962326
entity_ablation,RBT,RBT_RS_43022,chck_60M,43022,R,rel_ge2,1205,0.2502312505888246,0.034740193750848414,-0.2593945297462812,-0.23804764173832177,0.012183608850502868,0.28497144433967303,-0.00916327915745652,3.020746887966805,9.269709543568466
entity_ablation,RBT,RBT_RS_43022,chck_60M,43022,R,rel_ge3,716,0.3365304866316598,0.039935232207761795,-0.279738415885904,-0.3148682783435843,0.021662208288075538,0.3764657188394216,0.05679207074575584,3.717877094972067,9.886871508379889
entity_ablation,RBT,RBT_RS_43022,chck_60M,43022,R,rel_updates_1,16,0.5181589722633362,0.005983859300613403,-0.3024170398712158,-0.3024170398712158,0.21574193239212036,0.5241428315639496,0.21574193239212036,1.0,8.5
entity_ablation,RBT,RBT_RS_43022,chck_60M,43022,R,rel_updates_2,489,0.1238708149923625,0.027133552574672582,-0.22960675372180275,-0.1255658916169149,-0.001695076624552409,0.15100436756703509,-0.10573593872944026,2.0,8.366053169734151
