case_id,family,train_group,event_pol,affected_query,mode,layer,alpha,margin_correct_foil,state0_minus_state1,head_correct
P196_00961,clean_dirty,heldout_family,0,1,none,4,1.0,-2.574630632996559,-2.574630632996559,False
P196_00962,clean_dirty,heldout_family,0,0,none,4,1.0,2.876827195286751,-2.876827195286751,True
P196_00963,clean_dirty,heldout_family,0,0,none,4,1.0,2.629231497645378,-2.629231497645378,True
P196_00964,clean_dirty,heldout_family,0,1,none,4,1.0,-2.748654454946518,-2.748654454946518,False
P196_00965,clean_dirty,heldout_family,1,1,none,4,1.0,-2.95156566798687,2.95156566798687,False
P196_00966,clean_dirty,heldout_family,1,0,none,4,1.0,2.5670490860939026,2.5670490860939026,True
P196_00967,clean_dirty,heldout_family,1,0,none,4,1.0,2.948255643248558,2.948255643248558,True
P196_00968,clean_dirty,heldout_family,1,1,none,4,1.0,-2.4812289476394653,2.4812289476394653,False
P196_00969,clean_dirty,heldout_family,0,1,none,4,1.0,-2.4670601189136505,-2.4670601189136505,False
P196_00970,clean_dirty,heldout_family,0,0,none,4,1.0,2.7771415561437607,-2.7771415561437607,True
P196_00971,clean_dirty,heldout_family,0,0,none,4,1.0,2.5374870151281357,-2.5374870151281357,True
P196_00972,clean_dirty,heldout_family,0,1,none,4,1.0,-2.6431665867567062,-2.6431665867567062,False
P196_00973,clean_dirty,heldout_family,1,1,none,4,1.0,-3.163915738463402,3.163915738463402,False
P196_00974,clean_dirty,heldout_family,1,0,none,4,1.0,2.787452757358551,2.787452757358551,True
P196_00975,clean_dirty,heldout_family,1,0,none,4,1.0,3.1534825563430786,3.1534825563430786,True
P196_00976,clean_dirty,heldout_family,1,1,none,4,1.0,-2.697127267718315,2.697127267718315,False
P196_00977,clean_dirty,heldout_family,0,1,none,4,1.0,-2.430123284459114,-2.430123284459114,False
P196_00978,clean_dirty,heldout_family,0,0,none,4,1.0,2.7272216081619263,-2.7272216081619263,True
P196_00979,clean_dirty,heldout_family,0,0,none,4,1.0,2.505434975028038,-2.505434975028038,True
P196_00980,clean_dirty,heldout_family,0,1,none,4,1.0,-2.599240392446518,-2.599240392446518,False
P196_00981,clean_dirty,heldout_family,1,1,none,4,1.0,-3.037428855895996,3.037428855895996,False
P196_00982,clean_dirty,heldout_family,1,0,none,4,1.0,2.657074987888336,2.657074987888336,True
P196_00983,clean_dirty,heldout_family,1,0,none,4,1.0,3.029251143336296,3.029251143336296,True
P196_00984,clean_dirty,heldout_family,1,1,none,4,1.0,-2.5658701956272125,2.5658701956272125,False
P196_00985,clean_dirty,heldout_family,0,1,none,4,1.0,-2.597959414124489,-2.597959414124489,False
P196_00986,clean_dirty,heldout_family,0,0,none,4,1.0,2.8906393349170685,-2.8906393349170685,True
P196_00987,clean_dirty,heldout_family,0,0,none,4,1.0,2.664921745657921,-2.664921745657921,True
P196_00988,clean_dirty,heldout_family,0,1,none,4,1.0,-2.7836333364248276,-2.7836333364248276,False
P196_00989,clean_dirty,heldout_family,1,1,none,4,1.0,-2.9624337255954742,2.9624337255954742,False
P196_00990,clean_dirty,heldout_family,1,0,none,4,1.0,2.5831127911806107,2.5831127911806107,True
P196_00991,clean_dirty,heldout_family,1,0,none,4,1.0,2.952617734670639,2.952617734670639,True
P196_00992,clean_dirty,heldout_family,1,1,none,4,1.0,-2.4974699914455414,2.4974699914455414,False
P196_00993,clean_dirty,heldout_family,0,1,none,4,1.0,-2.4553631991147995,-2.4553631991147995,False
P196_00994,clean_dirty,heldout_family,0,0,none,4,1.0,2.7407903224229813,-2.7407903224229813,True
P196_00995,clean_dirty,heldout_family,0,0,none,4,1.0,2.5127707570791245,-2.5127707570791245,True
P196_00996,clean_dirty,heldout_family,0,1,none,4,1.0,-2.6041316092014313,-2.6041316092014313,False
P196_00997,clean_dirty,heldout_family,1,1,none,4,1.0,-3.085941419005394,3.085941419005394,False
P196_00998,clean_dirty,heldout_family,1,0,none,4,1.0,2.69847971200943,2.69847971200943,True
P196_00999,clean_dirty,heldout_family,1,0,none,4,1.0,3.0802317410707474,3.0802317410707474,True
P196_01000,clean_dirty,heldout_family,1,1,none,4,1.0,-2.6210669428110123,2.6210669428110123,False
P196_01001,clean_dirty,heldout_family,0,1,none,4,1.0,-2.5146723687648773,-2.5146723687648773,False
P196_01002,clean_dirty,heldout_family,0,0,none,4,1.0,2.8105163872241974,-2.8105163872241974,True
P196_01003,clean_dirty,heldout_family,0,0,none,4,1.0,2.5755518972873688,-2.5755518972873688,True
P196_01004,clean_dirty,heldout_family,0,1,none,4,1.0,-2.6777972131967545,-2.6777972131967545,False
P196_01005,clean_dirty,heldout_family,1,1,none,4,1.0,-3.0956001728773117,3.0956001728773117,False
P196_01006,clean_dirty,heldout_family,1,0,none,4,1.0,2.70362089574337,2.70362089574337,True
P196_01007,clean_dirty,heldout_family,1,0,none,4,1.0,3.0859307944774628,3.0859307944774628,True
P196_01008,clean_dirty,heldout_family,1,1,none,4,1.0,-2.6275216042995453,2.6275216042995453,False
P196_01009,clean_dirty,heldout_family,0,1,none,4,1.0,-2.5981293469667435,-2.5981293469667435,False
P196_01010,clean_dirty,heldout_family,0,0,none,4,1.0,2.914633795619011,-2.914633795619011,True
P196_01011,clean_dirty,heldout_family,0,0,none,4,1.0,2.663262262940407,-2.663262262940407,True
P196_01012,clean_dirty,heldout_family,0,1,none,4,1.0,-2.8011273443698883,-2.8011273443698883,False
P196_01013,clean_dirty,heldout_family,1,1,none,4,1.0,-2.9414176791906357,2.9414176791906357,False
P196_01014,clean_dirty,heldout_family,1,0,none,4,1.0,2.539737805724144,2.539737805724144,True
P196_01015,clean_dirty,heldout_family,1,0,none,4,1.0,2.934435948729515,2.934435948729515,True
P196_01016,clean_dirty,heldout_family,1,1,none,4,1.0,-2.4586266577243805,2.4586266577243805,False
P196_01017,clean_dirty,heldout_family,0,1,none,4,1.0,-2.5162686556577682,-2.5162686556577682,False
P196_01018,clean_dirty,heldout_family,0,0,none,4,1.0,2.8140087574720383,-2.8140087574720383,True
