arm,checkpoint,predictions,source_payload,score_from_payload,is_clean_reference,split,numops,n_gold_filtered,n_pred,n_scored,correct,score_pp,pred_correct_option_frac,pred_wrong_option_frac,pred_not_in_options_frac
clean_maxgeom,chck_70M,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_70M/Entity/chck_70M/full_deberta_maxgeom_clean_seed43022_chck_70M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,,,True,ambiref,0,508,508,508,149,29.330708661417322,0.2933070866141732,0.2933070866141732,0.0
clean_maxgeom,chck_70M,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_70M/Entity/chck_70M/full_deberta_maxgeom_clean_seed43022_chck_70M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,,,True,ambiref,1,428,428,428,53,12.383177570093459,0.12383177570093458,0.34813084112149534,0.0
clean_maxgeom,chck_70M,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_70M/Entity/chck_70M/full_deberta_maxgeom_clean_seed43022_chck_70M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,,,True,ambiref,2,413,413,413,79,19.128329297820823,0.19128329297820823,0.2857142857142857,0.0
clean_maxgeom,chck_70M,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_70M/Entity/chck_70M/full_deberta_maxgeom_clean_seed43022_chck_70M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,,,True,ambiref,3,409,409,409,101,24.69437652811736,0.2469437652811736,0.21271393643031786,0.0
clean_maxgeom,chck_70M,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_70M/Entity/chck_70M/full_deberta_maxgeom_clean_seed43022_chck_70M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,,,True,ambiref,4,434,434,434,121,27.880184331797235,0.27880184331797236,0.16129032258064516,0.0
clean_maxgeom,chck_70M,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_70M/Entity/chck_70M/full_deberta_maxgeom_clean_seed43022_chck_70M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,,,True,ambiref,5,123,123,123,29,23.577235772357724,0.23577235772357724,0.17886178861788618,0.0
clean_maxgeom,chck_70M,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_70M/Entity/chck_70M/full_deberta_maxgeom_clean_seed43022_chck_70M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,,,True,regular,0,517,517,517,225,43.520309477756285,0.43520309477756286,0.2862669245647969,0.0
clean_maxgeom,chck_70M,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_70M/Entity/chck_70M/full_deberta_maxgeom_clean_seed43022_chck_70M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,,,True,regular,1,409,409,409,58,14.180929095354523,0.14180929095354522,0.33007334963325186,0.0
clean_maxgeom,chck_70M,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_70M/Entity/chck_70M/full_deberta_maxgeom_clean_seed43022_chck_70M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,,,True,regular,2,405,405,405,76,18.765432098765434,0.18765432098765433,0.3333333333333333,0.0
clean_maxgeom,chck_70M,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_70M/Entity/chck_70M/full_deberta_maxgeom_clean_seed43022_chck_70M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,,,True,regular,3,425,425,425,98,23.058823529411764,0.23058823529411765,0.2611764705882353,0.0
