target,frame_id,subtype,alt_a,alt_b,form,delta1,delta2,correct_margin_c1,correct_margin_c2,interaction,min_signed_margin,crossed_success,same_a_bias,same_b_bias,prior_ratio
fw_rowblock_100M_seed43022,D_0001,open_closed,open,closed,explicit_final_state,2.732941597700119,-3.0361519008874893,2.732941597700119,3.0361519008874893,5.769093498587608,2.732941597700119,True,False,False,4.846875
fw_rowblock_100M_seed43022,D_0001,open_closed,open,closed,full_v3,-3.250011496245861,2.9266099855303764,-3.250011496245861,-2.9266099855303764,-6.1766214817762375,-3.250011496245861,False,False,False,4.846875
fw_rowblock_100M_seed43022,D_0001,open_closed,open,closed,initial_plus_last,-3.1833247616887093,2.6881446540355682,-3.1833247616887093,-2.6881446540355682,-5.8714694157242775,-3.1833247616887093,False,False,False,4.846875
fw_rowblock_100M_seed43022,D_0001,open_closed,open,closed,last_event_only,-1.5584028959274292,-1.9783658385276794,-1.5584028959274292,1.9783658385276794,0.41996294260025024,-1.5584028959274292,False,False,True,4.846875
fw_rowblock_100M_seed43022,D_0001,open_closed,open,closed,no_context,-0.13146305084228516,-0.13146305084228516,-0.13146305084228516,0.13146305084228516,0.0,-0.13146305084228516,False,False,True,4.846875
fw_rowblock_100M_seed43022,D_0002,open_closed,open,closed,explicit_final_state,3.0039443895220757,-2.7408380433917046,3.0039443895220757,2.7408380433917046,5.74478243291378,2.7408380433917046,True,False,False,4.846875
fw_rowblock_100M_seed43022,D_0002,open_closed,open,closed,full_v3,-3.043912850320339,2.724252685904503,-3.043912850320339,-2.724252685904503,-5.768165536224842,-3.043912850320339,False,False,False,4.846875
fw_rowblock_100M_seed43022,D_0002,open_closed,open,closed,initial_plus_last,-2.810053840279579,2.600505769252777,-2.810053840279579,-2.600505769252777,-5.410559609532356,-2.810053840279579,False,False,False,4.846875
fw_rowblock_100M_seed43022,D_0002,open_closed,open,closed,last_event_only,0.19284725189208984,-0.5393705368041992,0.19284725189208984,0.5393705368041992,0.7322177886962891,0.19284725189208984,True,False,False,4.846875
fw_rowblock_100M_seed43022,D_0002,open_closed,open,closed,no_context,0.18109893798828125,0.18109893798828125,0.18109893798828125,-0.18109893798828125,0.0,-0.18109893798828125,False,True,False,4.846875
fw_rowblock_100M_seed43022,D_0003,empty_full,empty,full,explicit_final_state,7.191535860300064,-5.434560343623161,7.191535860300064,5.434560343623161,12.626096203923225,5.434560343623161,True,False,False,4.861915367483296
fw_rowblock_100M_seed43022,D_0003,empty_full,empty,full,full_v3,-6.390746910125017,7.656972885131836,-6.390746910125017,-7.656972885131836,-14.047719795256853,-7.656972885131836,False,False,False,4.861915367483296
fw_rowblock_100M_seed43022,D_0003,empty_full,empty,full,initial_plus_last,-6.529537424445152,7.284986972808838,-6.529537424445152,-7.284986972808838,-13.81452439725399,-7.284986972808838,False,False,False,4.861915367483296
fw_rowblock_100M_seed43022,D_0003,empty_full,empty,full,last_event_only,2.054379463195801,1.8664555549621582,2.054379463195801,-1.8664555549621582,0.18792390823364258,-1.8664555549621582,False,True,False,4.861915367483296
fw_rowblock_100M_seed43022,D_0003,empty_full,empty,full,no_context,1.966815710067749,1.966815710067749,1.966815710067749,-1.966815710067749,0.0,-1.966815710067749,False,True,False,4.861915367483296
fw_rowblock_100M_seed43022,D_0004,open_closed,open,closed,explicit_final_state,2.912830352783203,-2.5060939267277718,2.912830352783203,2.5060939267277718,5.418924279510975,2.5060939267277718,True,False,False,4.846875
fw_rowblock_100M_seed43022,D_0004,open_closed,open,closed,full_v3,-3.038092724978924,2.567177653312683,-3.038092724978924,-2.567177653312683,-5.605270378291607,-3.038092724978924,False,False,False,4.846875
fw_rowblock_100M_seed43022,D_0004,open_closed,open,closed,initial_plus_last,-2.6871939450502396,2.4654398933053017,-2.6871939450502396,-2.4654398933053017,-5.152633838355541,-2.6871939450502396,False,False,False,4.846875
