BLiMP_clean_mean,BLiMP_clean_n,BLiMP_clean_spread,BLiMP_vc_delta,BLiMP_view,COMPS_clean_mean,COMPS_clean_n,COMPS_clean_spread,COMPS_vc_delta,COMPS_view,EWoK_clean_mean,EWoK_clean_n,EWoK_clean_spread,EWoK_vc_delta,EWoK_view,Entity_clean_mean,Entity_clean_n,Entity_clean_spread,Entity_vc_delta,Entity_view,Reading_clean_mean,Reading_clean_n,Reading_clean_spread,Reading_vc_delta,Reading_view,Supplement_clean_mean,Supplement_clean_n,Supplement_clean_spread,Supplement_vc_delta,Supplement_view,cheap5_clean_mean,cheap5_clean_n,cheap5_clean_spread,cheap5_vc_delta,cheap5_view,cheap6_clean_mean,cheap6_clean_n,cheap6_clean_spread,cheap6_vc_delta,cheap6_view,checkpoint,complete_stable6_delta,displaced_clean_words,exEntity5_clean_mean,exEntity5_clean_n,exEntity5_clean_spread,exEntity5_vc_delta,exEntity5_view,label,rho,score_path,unique_docs,words_admitted
60.56,1,,,,50.91,1,,,,48.33,1,,,,25.49,1,,,,7.755000000000001,1,,,,57.29,1,,,,48.516,1,,,,41.7225,1,,,,chck_40M,False,211853,44.969,1,,,,half_1x,0.0211853,experiments/archive/frontier_consolidation/data/subdose_commonwindow_eval/eval/per_target/subdose_half_1x_seed43022_chck_40M.json,4247,211853
60.56,1,,,,50.91,1,,,,48.33,1,,,,25.49,1,,,,7.755000000000001,1,,,,57.29,1,,,,48.516,1,,,,41.7225,1,,,,chck_40M,False,423559,44.969,1,,,,full_1x_maxgeom,0.0423559,experiments/archive/frontier_consolidation/data/subdose_commonwindow_eval/eval/per_target/subdose_full_1x_seed43022_chck_40M.json,4529,423559
60.56,1,,2.729999999999997,63.29,50.91,1,,0.20000000000000284,51.11,48.33,1,,0.8800000000000026,49.21,25.49,1,,2.09,27.58,7.755000000000001,1,,0.03999999999999915,7.795,57.29,1,,2.3500000000000014,59.64,48.516,1,,1.6499999999999986,50.166,41.7225,1,,1.3816666666666677,43.104166666666664,chck_40M,True,1118587,44.969,1,,1.240000000000002,46.209,max_2p64x,0.111872,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_40M.json,5261,1118587
,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,chck_50M,False,105962,,0,,,,quarter_1x,0.0105962,experiments/archive/frontier_consolidation/data/subdose_commonwindow_eval/eval/per_target/subdose_quarter_1x_seed43022_chck_50M.json,2861,105962
,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,chck_50M,False,211853,,0,,,,half_1x,0.0211853,experiments/archive/frontier_consolidation/data/subdose_commonwindow_eval/eval/per_target/subdose_half_1x_seed43022_chck_50M.json,4247,211853
,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,chck_50M,False,423559,,0,,,,full_1x_maxgeom,0.0423559,experiments/archive/frontier_consolidation/data/subdose_commonwindow_eval/eval/per_target/subdose_full_1x_seed43022_chck_50M.json,4529,423559
,0,,,64.99,,0,,,51.03,,0,,,50.38,,0,,,28.04,,0,,,8.309999999999999,,0,,,61.24,,0,,,51.136,,0,,,43.998333333333335,chck_50M,False,1118587,,0,,,47.19,max_2p64x,0.111872,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_50M.json,5261,1118587
,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,chck_60M,False,105962,,0,,,,quarter_1x,0.0105962,experiments/archive/frontier_consolidation/data/subdose_commonwindow_eval/eval/per_target/subdose_quarter_1x_seed43022_chck_60M.json,2861,105962
,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,chck_60M,False,211853,,0,,,,half_1x,0.0211853,experiments/archive/frontier_consolidation/data/subdose_commonwindow_eval/eval/per_target/subdose_half_1x_seed43022_chck_60M.json,4247,211853
,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,chck_60M,False,423559,,0,,,,full_1x_maxgeom,0.0423559,experiments/archive/frontier_consolidation/data/subdose_commonwindow_eval/eval/per_target/subdose_full_1x_seed43022_chck_60M.json,4529,423559
,0,,,65.65,,0,,,51.53,,0,,,50.47,,0,,,28.17,,0,,,7.635,,0,,,60.59,,0,,,51.282000000000004,,0,,,44.0075,chck_60M,False,1118587,,0,,,47.175000000000004,max_2p64x,0.111872,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_60M.json,5261,1118587
,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,chck_70M,False,105962,,0,,,,quarter_1x,0.0105962,experiments/archive/frontier_consolidation/data/subdose_commonwindow_eval/eval/per_target/subdose_quarter_1x_seed43022_chck_70M.json,2861,105962
,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,chck_70M,False,211853,,0,,,,half_1x,0.0211853,experiments/archive/frontier_consolidation/data/subdose_commonwindow_eval/eval/per_target/subdose_half_1x_seed43022_chck_70M.json,4247,211853
,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,chck_70M,False,423559,,0,,,,full_1x_maxgeom,0.0423559,experiments/archive/frontier_consolidation/data/subdose_commonwindow_eval/eval/per_target/subdose_full_1x_seed43022_chck_70M.json,4529,423559
,0,,,66.02,,0,,,51.18,,0,,,48.47,,0,,,27.72,,0,,,7.455,,0,,,58.78,,0,,,50.434,,0,,,43.270833333333336,chck_70M,False,1118587,,0,,,46.381,max_2p64x,0.111872,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_70M.json,5261,1118587
,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,chck_80M,False,105962,,0,,,,quarter_1x,0.0105962,experiments/archive/frontier_consolidation/data/subdose_commonwindow_eval/eval/per_target/subdose_quarter_1x_seed43022_chck_80M.json,2861,105962
,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,chck_80M,False,211853,,0,,,,half_1x,0.0211853,experiments/archive/frontier_consolidation/data/subdose_commonwindow_eval/eval/per_target/subdose_half_1x_seed43022_chck_80M.json,4247,211853
,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,chck_80M,False,423559,,0,,,,full_1x_maxgeom,0.0423559,experiments/archive/frontier_consolidation/data/subdose_commonwindow_eval/eval/per_target/subdose_full_1x_seed43022_chck_80M.json,4529,423559
,0,,,66.3,,0,,,50.93,,0,,,49.8,,0,,,27.98,,0,,,7.6499999999999995,,0,,,60.37,,0,,,51.076,,0,,,43.83833333333333,chck_80M,False,1118587,,0,,,47.01,max_2p64x,0.111872,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_80M.json,5261,1118587
