BLiMP,COMPS,EWoK,Entity,Reading,Supplement,cheap5,cheap6,checkpoint,complete_stable6,displaced_clean_words,exEntity5,exists,kind,label,path,rho,seed,unique_docs,words_admitted
,,,,,,,,chck_20M,False,423559,,False,view,full_1x_maxgeom,experiments/archive/frontier_consolidation/data/subdose_commonwindow_eval/eval/per_target/subdose_full_1x_seed43022_chck_20M.json,0.0423559,43022,4529,423559
59.99,50.27,50.2,17.99,8.305,57.9,47.27,40.77583333333333,chck_20M,True,1118587,45.333,True,view,max_2p64x,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_20M.json,0.111872,43022,5261,1118587
60.98,50.73,48.6,22.02,8.125,57.73,48.012,41.36416666666666,chck_30M,True,0,45.233,True,clean,clean_seed43022,experiments/archive/frontier_consolidation/data/clean_anchor_commonwindow_eval/eval/per_target/deberta_maxgeom_clean_seed43022_chck_30M.json,0.0,43022,0,0
,,,,,,,,chck_30M,False,0,,False,clean,clean_seed43122,experiments/archive/frontier_consolidation/data/clean_anchor_commonwindow_eval/eval/per_target/deberta_maxgeom_clean_seed43122_chck_30M.json,0.0,43122,0,0
,,,,,,,,chck_30M,False,105962,,False,view,quarter_1x,experiments/archive/frontier_consolidation/data/subdose_commonwindow_eval/eval/per_target/subdose_quarter_1x_seed43022_chck_30M.json,0.0105962,43022,2861,105962
,,,,,,,,chck_30M,False,211853,,True,view,half_1x,experiments/archive/frontier_consolidation/data/subdose_commonwindow_eval/eval/per_target/subdose_half_1x_seed43022_chck_30M.json,0.0211853,43022,4247,211853
,,,,,,,,chck_30M,False,423559,,False,view,full_1x_maxgeom,experiments/archive/frontier_consolidation/data/subdose_commonwindow_eval/eval/per_target/subdose_full_1x_seed43022_chck_30M.json,0.0423559,43022,4529,423559
60.3,50.3,49.12,24.82,9.165000000000001,55.09,47.926,41.465833333333336,chck_30M,True,1118587,44.795,True,view,max_2p64x,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_30M.json,0.111872,43022,5261,1118587
60.56,50.91,48.33,25.49,7.755000000000001,57.29,48.516,41.7225,chck_40M,True,0,44.969,True,clean,clean_seed43022,experiments/archive/frontier_consolidation/data/clean_anchor_commonwindow_eval/eval/per_target/deberta_maxgeom_clean_seed43022_chck_40M.json,0.0,43022,0,0
,,,,,,,,chck_40M,False,0,,False,clean,clean_seed43122,experiments/archive/frontier_consolidation/data/clean_anchor_commonwindow_eval/eval/per_target/deberta_maxgeom_clean_seed43122_chck_40M.json,0.0,43122,0,0
,,,,,,,,chck_40M,False,105962,,False,view,quarter_1x,experiments/archive/frontier_consolidation/data/subdose_commonwindow_eval/eval/per_target/subdose_quarter_1x_seed43022_chck_40M.json,0.0105962,43022,2861,105962
,,,,,,,,chck_40M,False,211853,,True,view,half_1x,experiments/archive/frontier_consolidation/data/subdose_commonwindow_eval/eval/per_target/subdose_half_1x_seed43022_chck_40M.json,0.0211853,43022,4247,211853
,,,,,,,,chck_40M,False,423559,,False,view,full_1x_maxgeom,experiments/archive/frontier_consolidation/data/subdose_commonwindow_eval/eval/per_target/subdose_full_1x_seed43022_chck_40M.json,0.0423559,43022,4529,423559
63.29,51.11,49.21,27.58,7.795,59.64,50.166,43.104166666666664,chck_40M,True,1118587,46.209,True,view,max_2p64x,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/per_target/dose_max_view_chck_40M.json,0.111872,43022,5261,1118587
,,,,,,,,chck_50M,False,0,,True,clean,clean_seed43022,experiments/archive/frontier_consolidation/data/clean_anchor_commonwindow_eval/eval/per_target/deberta_maxgeom_clean_seed43022_chck_50M.json,0.0,43022,0,0
,,,,,,,,chck_50M,False,0,,False,clean,clean_seed43122,experiments/archive/frontier_consolidation/data/clean_anchor_commonwindow_eval/eval/per_target/deberta_maxgeom_clean_seed43122_chck_50M.json,0.0,43122,0,0
,,,,,,,,chck_50M,False,105962,,False,view,quarter_1x,experiments/archive/frontier_consolidation/data/subdose_commonwindow_eval/eval/per_target/subdose_quarter_1x_seed43022_chck_50M.json,0.0105962,43022,2861,105962
,,,,,,,,chck_50M,False,211853,,True,view,half_1x,experiments/archive/frontier_consolidation/data/subdose_commonwindow_eval/eval/per_target/subdose_half_1x_seed43022_chck_50M.json,0.0211853,43022,4247,211853
