column,subtask,n_items,gain_prev_to_best,gain_prev_to_best_per_item,loss_prev_to_best,loss_prev_to_best_per_item,gain_best_to_next,gain_best_to_next_per_item,loss_best_to_next,loss_best_to_next_per_item,transient_gain_best_only_vs_neighbors,transient_gain_best_only_vs_neighbors_per_item,persistent_gain_prev_to_best_through_next,persistent_gain_prev_to_best_through_next_per_item,recovered_loss_best_only_vs_neighbors,recovered_loss_best_only_vs_neighbors_per_item,gain_best_to_final,gain_best_to_final_per_item,loss_best_to_final,loss_best_to_final_per_item,net_prev_to_best,net_best_to_next,net_best_to_final,mean_flip_count_all,frac_any_flip_all
BLiMP,existential_there_quantifiers_2,911,2,0.0021953896816684962,73,0.0801317233809001,27,0.029637760702524697,10,0.010976948408342482,1,0.0010976948408342481,1,0.0010976948408342481,23,0.025246981339187707,27,0.029637760702524697,7,0.007683863885839737,-71,17,20,0.7552140504939627,0.2667398463227223
BLiMP,superlative_quantifiers_2,986,19,0.019269776876267748,67,0.06795131845841786,15,0.015212981744421906,10,0.010141987829614604,4,0.004056795131845842,15,0.015212981744421906,10,0.010141987829614604,16,0.016227180527383367,16,0.016227180527383367,-48,5,0,0.9168356997971603,0.3306288032454361
BLiMP,superlative_quantifiers_1,979,45,0.045965270684371805,3,0.0030643513789581204,12,0.012257405515832482,13,0.013278855975485188,9,0.009193054136874362,36,0.03677221654749745,1,0.0010214504596527069,7,0.007150153217568948,32,0.03268641470888662,42,-1,-25,0.48416751787538304,0.1797752808988764
BLiMP,wh_island,960,42,0.04375,9,0.009375,23,0.023958333333333335,11,0.011458333333333333,3,0.003125,39,0.040625,4,0.004166666666666667,31,0.03229166666666667,18,0.01875,33,12,13,0.7239583333333334,0.27395833333333336
BLiMP,only_npi_scope,837,34,0.04062126642771804,6,0.007168458781362007,20,0.023894862604540025,8,0.009557945041816009,4,0.0047789725209080045,30,0.035842293906810034,3,0.0035842293906810036,10,0.011947431302270013,20,0.023894862604540025,28,12,-10,0.9020310633213859,0.36200716845878134
BLiMP,principle_A_reconstruction,967,39,0.04033092037228542,13,0.01344364012409514,11,0.011375387797311272,20,0.020682523267838676,11,0.011375387797311272,28,0.028955532574974147,2,0.002068252326783868,26,0.02688728024819028,10,0.010341261633919338,26,-9,16,0.6918304033092038,0.2761116856256463
BLiMP,principle_A_domain_1,914,28,0.030634573304157548,4,0.00437636761487965,18,0.019693654266958426,12,0.01312910284463895,4,0.00437636761487965,24,0.0262582056892779,1,0.0010940919037199124,24,0.0262582056892779,10,0.010940919037199124,24,6,14,0.7319474835886215,0.2603938730853392
BLiMP,causative,818,24,0.029339853300733496,3,0.003667481662591687,8,0.009779951100244499,12,0.014669926650366748,4,0.004889975550122249,20,0.02444987775061125,0,0.0,14,0.017114914425427872,17,0.02078239608801956,21,-4,-3,0.5012224938875306,0.1784841075794621
BLiMP,npi_present_1,909,27,0.0297029702970297,7,0.007700770077007701,13,0.014301430143014302,9,0.009900990099009901,5,0.005500550055005501,22,0.0242024202420242,2,0.0022002200220022,4,0.0044004400440044,29,0.0319031903190319,20,4,-25,0.6633663366336634,0.2376237623762376
BLiMP,npi_present_2,914,34,0.037199124726477024,14,0.015317286652078774,20,0.02188183807439825,14,0.015317286652078774,8,0.0087527352297593,26,0.028446389496717725,6,0.006564551422319475,12,0.01312910284463895,31,0.03391684901531729,20,6,-19,0.7789934354485777,0.2899343544857768
BLiMP,wh_questions_object_gap,859,25,0.02910360884749709,7,0.008149010477299184,1,0.0011641443538998836,25,0.02910360884749709,10,0.011641443538998836,15,0.017462165308498253,0,0.0,2,0.002328288707799767,33,0.03841676367869616,18,-24,-31,0.7182770663562281,0.27473806752037255
BLiMP,sentential_negation_npi_scope,871,27,0.030998851894374284,10,0.011481056257175661,8,0.009184845005740528,11,0.012629161882893225,5,0.0057405281285878304,22,0.02525832376578645,4,0.004592422502870264,3,0.003444316877152698,28,0.03214695752009185,17,-3,-25,0.5648679678530425,0.21239954075774972
BLiMP,tough_vs_raising_2,920,26,0.02826086956521739,9,0.009782608695652175,12,0.013043478260869565,10,0.010869565217391304,5,0.005434782608695652,21,0.02282608695652174,3,0.003260869565217391,6,0.006521739130434782,11,0.011956521739130435,17,2,-5,0.5228260869565218,0.19021739130434784
BLiMP,left_branch_island_echo_question,947,8,0.008447729672650475,24,0.025343189017951427,5,0.005279831045406547,16,0.01689545934530095,4,0.004223864836325237,4,0.004223864836325237,3,0.0031678986272439284,5,0.005279831045406547,16,0.01689545934530095,-16,-11,-11,0.5079197465681098,0.21013727560718057
BLiMP,existential_there_subject_raising,924,17,0.0183982683982684,4,0.004329004329004329,13,0.01406926406926407,6,0.006493506493506494,3,0.003246753246753247,14,0.015151515151515152,3,0.003246753246753247,9,0.00974025974025974,8,0.008658008658008658,13,7,1,0.34523809523809523,0.12445887445887446
BLiMP,coordinate_structure_constraint_object_extraction,949,21,0.022128556375131718,9,0.009483667017913594,9,0.009483667017913594,17,0.01791359325605901,6,0.006322444678609062,15,0.015806111696522657,2,0.002107481559536354,9,0.009483667017913594,19,0.020021074815595362,12,-8,-10,0.5542676501580611,0.2065331928345627
BLiMP,principle_A_domain_2,915,25,0.0273224043715847,13,0.014207650273224045,25,0.0273224043715847,10,0.01092896174863388,5,0.00546448087431694,20,0.02185792349726776,8,0.008743169398907104,28,0.030601092896174863,19,0.020765027322404372,12,15,9,0.7311475409836066,0.2896174863387978
BLiMP,tough_vs_raising_1,948,9,0.00949367088607595,21,0.022151898734177215,11,0.011603375527426161,9,0.00949367088607595,2,0.002109704641350211,7,0.007383966244725738,4,0.004219409282700422,20,0.02109704641350211,7,0.007383966244725738,-12,2,13,0.5010548523206751,0.1877637130801688
