contrast,n_rows,mean_delta_loss,median_delta_loss,se_delta_loss
ALNminusOFF,6992,-0.012486594347534543,-0.006048997243245369,0.002215881115176444
ALNminusSEP,6992,-0.15088596736737792,-0.10953128337860107,0.0032699286666010683
ALNminusSHUF,6992,-0.025502092369243716,-0.014265378316243638,0.0023505275916053787
SHUFminusOFF,6992,0.013015498021709175,0.010273238023122133,0.0019716968823288977
SEPminusOFF,6992,0.13839937301984334,0.1122752428054814,0.002731597409638033
DUPminusOFF,6992,0.07807362750347105,0.07159773508707667,0.00227749037394917
ALNminusDUP,6992,-0.09056022185100561,-0.0769082705179851,0.0021908196011885166
DUPminusALN,6992,0.09056022185100561,0.0769082705179851,0.0021908196011885166
SHUFminusSEP,6992,-0.12538387499813416,-0.10558374722798658,0.002461925909376108
SEPminusSHUF,6992,0.12538387499813416,0.10558374722798658,0.002461925909376108
